SampleID,true_add,predicted_add
55391_S2092_L006,11.1,54.62744444566007
55427_S2122_L003,25.8,50.327600001280075
55441_S2116_L003,26.1,90.34039444564998
55461_S2026_L003,26.1,53.56385555675006
55462_S1886_L003,26.1,56.262344445740034
55479_S2297_L003,26.1,65.02410000166005
55515_S2105_L006,27.5,60.37012777911004
55569_S2264_L003,31.1,178.37448889066994

45075_S1891_L003,1.4,67.22486111302005
54509_S2061_L003,0.0,54.61646666773
54528_S1905_L003,0.0,66.33870555719008
55551_S2016_L003,0.0,55.94136111238002
55590_S1890_L003,1.4,67.94562777937011
55593_S1952_L003,1.4,210.99928889032984
60431_S2069_L003,6.95,68.3186388903401
60445_S2068_L003,6.95,62.43330000183009
60483_S2287_L003,19.4,54.16690555671005
60501_S2191_L003,19.4,85.95662777896

60502_S1723_L003,0.0,50.79173333505998
60516_S1722_L003,25.55,61.30030555725999
60519_S2087_L003,72.0,49.36798333462997
60536_S1731_L003,49.75,82.27397222508988
60552_S1729_L003,122.55,191.67952778122992
60554_S1727_L003,169.5,54.881944445929975
60574_S1713_L003,193.95,102.03225000165003
60588_S1717_L003,219.2,161.35882777991003
60590_S1714_L003,270.85,163.27708333539996
60608_S1735_L003,244.45,168.33342222445
60624_S1716_L003,322.8,169.27877777992998
60626_S1736_L003,373.85,154.00845000184015
60644_S1715_L003,348.05,153.6509666681302
60646_S1719_L003,398.55,149.7531222243601
60660_S1720_L003,424.7,76.88559444681002
60662_S1734_L003,477.8,177.7064055574799
60680_S1730_L003,451.65,165.91235000225004

45110_S1707_L003,190.95,45.953394446010044
45129_S2271_L003,179.0,58.02049444658005
45131_S2199_L003,200.4,55.92208889061005
45147_S2288_L003,232.9,55.238883334690065
45687_S2101_L003,0.0,58.66354444566003
45707_S2218_L003,12.8,64.8488388905
45721_S2160_L003,28.65,45.726250001589996
45757_S2224_L003,68.95,76.03072778002
45759_S2033_L003,93.95,52.55120555679005
45777_S2209_L003,80.35,40.950255556810006
45779_S2031_L003,107.85,55.01443889096002
45793_S2053_L003,125.05,62.01359444631003
45795_S2178_L003,141.75,47.32558333474001

54995_S2190_L003,0.0,83.34216111130003
55009_S2121_L003,27.5,83.58387777738997
55011_S2238_L003,82.22222222,144.32473333570005
55028_S1571_L003,55.27777778,76.59470000048
55045_S2052_L003,137.5,194.46479444609963
55046_S1481_L003,195.5555556,293.8618111147
55064_S1510_L003,166.38888889999998,193.46980000539983
55067_S2079_L003,223.0555556,213.40942778203987
55081_S2037_L003,250.2777778,300.36036667250033
55082_S1569_L003,306.94444439999995,328.11812778564035
55101_S2018_L003,278.05555560000005,203.49575000369998
55102_S1506_L003,335.55555560000005,183.49861666857993
55116_S1480_L003,364.1666667,331.0326444522903
55119_S2071_L006,422.22222220000003,223.64946667153993
55136_S1468_L003,393.6111111,259.34082778339973
55139_S2149_L003,449.4444444,172.69274444625992
55152_S1471_L003,476.1111111000001,158.10750000167988
55154_S1499_L003,530.8333333,257.23900556147004
55173_S2230_L003,503.33333330000005,141.20661666741

54815_S2153_L003,27.5,63.58893333470007
54828_S1578_L003,55.27777778,68.06003889016004
54831_S2150_L003,109.44444440000001,81.48966666770002
54849_S2279_L003,82.22222222,131.63038889132005
54851_S2200_L003,137.5,150.27720555905995
54865_S2166_L003,166.38888889999998,190.21717778156994
54887_S2265_L003,250.2777778,287.06959444860007
54900_S1470_L003,278.05555560000005,258.5444222270199
54923_S2055_L006,364.1666667,221.70685555920005
54939_S2245_L003,449.4444444,267.85231111395007
54959_S2281_L003,476.1111111000001,277.06911111568985
54973_S2092_L003,503.33333330000005,288.3500388941403
54975_S2147_L003,558.6111111,282.33103889457016

55189_S2181_L003,0.0,65.94905000122006
55191_S2075_L006,58.9,61.92026666770998
55209_S2162_L003,29.2,80.82828333348007
55225_S2077_L003,118.95,82.71987222350003
55227_S2126_L003,173.4,155.8294111150997
55245_S2272_L003,146.15,218.25339444879987
55247_S2156_L003,201.45,168.44999444701983
55261_S2103_L003,229.8,254.50698889272007
55263_S2051_L003,280.6,320.87561667215033
55281_S2047_L003,256.45,253.1891722269401
55316_S1580_L003,348.1,331.62697778380067
55352_S1573_L003,432.5,298.27701111460044
55355_S2015_L003,486.1,304.53294444850036

60878_S1804_L003,19.45,60.191283334790064
60896_S1835_L003,0.0,86.20905555720006
60898_S1837_L003,40.6,102.83537777880997
60912_S1797_L003,62.55,98.65337778012001
60914_S1817_L003,100.6,84.32760555734001
60932_S1842_L003,82.0,74.0596277780001
60934_S1808_L003,117.55,77.89974444471005
60948_S1847_L003,135.35,87.80936111144995
60950_S1836_L003,170.4,142.1710888916701
60969_S2186_L003,154.0,75.6533444449401
60971_S2144_L006,189.05,78.21717777891003
60984_S1815_L003,209.6,247.12366111390983
61004_S1818_L003,230.7,208.37776111558009
61020_S1873_L003,281.0,281.07583889169985
61022_S1876_L003,305.2,169.3546500036799
61040_S1874_L003,289.9,213.3460111141997
61092_S1871_L003,342.45,292.61585000310004

60699_S2212_L003,40.6,60.9925500009601
60771_S2208_L003,189.05,88.81389444593991
60789_S2019_L003,170.4,73.98488333366997
60825_S2044_L003,252.9,143.0022499999998
60826_S1877_L003,281.0,250.23445555909987
60842_S1832_L003,326.9,276.41341111479994
60860_S1831_L003,305.2,238.4482722264998
60862_S1827_L003,342.45,273.17543889175005

61057_S2062_L003,30.55,217.06363889359986
61058_S1843_L003,63.6,253.17977222877997
61076_S1820_L003,47.5,215.8329000034396
61078_S1852_L003,80.3,231.16228333951963
61095_S2071_L003,0.0,70.13406111218004
61114_S1810_L003,15.55,273.0985611182499
61128_S1807_L003,99.45,173.48887222525968
61130_S1849_L003,127.45,94.08776666772008
61148_S1850_L003,116.1,141.81859444580994
61150_S1841_L003,137.75,111.41965000102995
61164_S1822_L003,149.4,139.23263889014
61166_S1801_L003,169.15,196.7258722271501
61184_S1838_L003,159.15,198.52286111532993
61186_S1809_L003,178.6,191.65406111645981
61200_S1828_L003,190.5,177.38537778191974
61202_S1878_L003,210.25,242.5539500072397
61220_S1851_L003,203.0,174.69900000370984
61222_S1824_L003,213.9,128.20832222370996
61237_S2054_L003,219.45,130.9545388921103
61239_S2048_L003,254.5,146.04461111370003
61256_S1834_L003,236.4,217.06564445071987

64930_S1638_L003,0.0,58.775188890000074
64945_S2242_L003,14.75,75.42381666838001
64947_S2196_L003,49.45,61.271194445780104
64964_S1632_L003,31.95,89.1937500017901
64967_S2293_L003,72.5,52.650405557300076
64980_S1629_L003,88.6,67.20965555564007
64982_S1630_L003,100.55,76.21751666877007
65001_S2182_L006,96.1,47.09910000143004
65002_S1640_L003,103.65,58.88847777925009
65017_S2214_L003,111.45,54.125550001280054
65038_S1691_L003,143.4,59.23327222380011
65053_S2023_L003,150.6,105.55182222430999
65055_S2285_L003,172.55,141.19278333642998
65073_S2129_L003,162.3,116.43756111294003
65074_S1702_L003,180.3,73.03433888909007
65090_S1706_L003,225.85,140.93231111487992
65109_S2188_L006,205.0,83.96605000134994

63612_S1650_L003,170.75,177.79181667052984
63614_S1665_L003,187.45,182.31246111642005
63633_S2228_L003,178.25,184.2337833379402
63634_S1649_L003,191.6,220.60807778416032
65125_S2148_L003,0.0,67.28521111204007
65127_S2213_L003,18.9,71.09027777877004
65144_S1636_L003,7.2,58.99863333444005
65147_S2269_L003,29.15,69.57992777882001
65161_S2114_L003,36.9,74.03291666759003
65162_S1639_L003,61.6,62.43458333431007
65180_S1705_L003,47.45,71.49068888961004
65182_S1653_L003,82.45,63.491344445730086
65196_S1664_L003,99.65,76.45155000111005
65198_S1689_L003,132.15,81.05182777960005
65216_S1643_L003,117.15,70.69220555661005
65218_S1696_L003,139.9,145.2618833377101
65233_S2136_L003,149.05,136.1323888944202
65234_S1645_L003,161.6,164.83895000522003
65252_S1635_L003,154.4,156.36292222719993

63650_S1634_L003,17.2,104.5963888898599
63668_S1685_L003,0.0,83.81543889105002
63670_S1670_L003,34.7,130.1415722240399
63687_S2220_L003,66.6,248.80009444662002
63705_S2198_L003,57.45,154.31152222559996
63720_S1647_L003,79.15,134.27681666694983
63723_S2239_L003,88.3,183.03087222628
63740_S1687_L003,83.6,216.65477222435987
63742_S1660_L003,95.8,254.5472333352901
63756_S1680_L003,105.0,260.8806888909301
63758_S1686_L003,109.2,218.24258889149982
63776_S1671_L003,109.15,240.62179444680007
63778_S1675_L003,109.2,167.4657000034399
63794_S1695_L003,122.1,166.8161611140999
63828_S1682_L003,144.6,254.1409000018501
63848_S1666_L003,156.0,184.46107778188986

25439_S2295_L003,29.72222223,43.661561111639976
25453_S2144_L003,40.00000001,44.64046666731995
25455_S2155_L003,50.83333334,97.98221111160989
25473_S2258_L003,44.72222223,50.95497777847996
25474_S1278_L003,57.77777778,55.17036111193999
25488_S1244_L003,62.22222223,99.09083333456014
25491_S2210_L003,80.27777778,68.91705000075993
25510_S1265_L003,87.77777778,46.68495000088994
25525_S2188_L003,91.66666667,132.51121666608003
25545_S2117_L003,96.11111111,57.686655556259915
25546_S1245_L003,111.3888889,154.32041111023995
25560_S1249_L003,122.7777778,75.25700000226003
25563_S2204_L003,149.72222219999998,106.43563888905017
25581_S2157_L003,136.9444445,165.93148333558992
25583_S2130_L003,160.0,50.05067222300994

25223_S2138_L003,0.0,83.83517222391005
25237_S2128_L003,13.05555556,60.64421111235998
25238_S1254_L003,35.83333334,76.41900555709
25257_S2039_L003,25.83333334,63.882111112990025
25259_S2215_L003,47.22222223,62.15585000145997
25293_S2193_L003,57.22222223,73.78176111193004
25295_S2243_L003,73.05555556,60.290800001339974
25311_S2283_L003,102.7777778,177.85826111594977
25329_S2222_L003,89.72222223,72.23443333422992
25330_S1251_L003,113.05555559999999,66.73761111250005
25344_S1331_L003,117.7777778,98.57963889042001
25347_S2253_L003,130.8333333,91.69528889157999
25365_S2274_L003,123.8888889,64.70211111234997
25367_S2074_L003,135.27777780000002,67.28606666782999
25381_S2133_L003,141.11111110000002,218.2195444485799
25382_S1261_L003,160.83333330000002,226.97000555558012
25402_S1292_L003,164.72222219999998,85.9985166685

25596_S1296_L003,110.2777778,90.90334444631011
25599_S2229_L003,136.66666669999998,60.65501666754004
25617_S2259_L003,123.33333329999999,35.20584444507003
25619_S2124_L003,150.0,130.00596666852007
25633_S2187_L003,164.72222219999998,197.72275000186988
25653_S2110_L003,179.72222219999998,54.005200001280066
25655_S2125_L003,200.83333330000002,101.88118333566005
25669_S2120_L003,207.5,221.3555388909696
25688_S1294_L003,214.16666669999998,222.9727722269699
25706_S1262_L003,7.5,59.613438890560076
25724_S1268_L003,0.0,72.14805000231011
25727_S2076_L003,11.38888889,62.471133334430114
25741_S2063_L003,15.83333333,60.707116668440094
