SampleID	Oblitimonas_alkaliphila
soil.hip.SHSU.2016.007.2016.04.24.day10	0.001
soil.hip.UTK.K016.02.2016.04.21.day9	0
soil.hip.SHSU.2016.011.2016.05.05.day21	0.0006
soil.hip.SHSU.2016.024.2016.04.24.day10	0.0004
soil.hip.SHSU.2016.007.2016.04.19.day5	0.0004
soil.hip.SHSU.2016.007.2016.04.28.day14	0.0008
soil.hip.UTK.K016.01.2016.04.19.day15	0.1624
soil.hip.SHSU.2016.011.2016.04.23.day9	0.0014
soil.hip.SHSU.2016.007.2016.04.23.day9	0.0004
soil.hip.SHSU.2016.011.2016.05.02.day18	0.0958
soil.hip.UTK.K016.02.2016.04.20.day8	0.0006
soil.hip.UTK.K016.02.2016.04.23.day11	0.006
soil.hip.UTK.K016.02.2016.04.19.day7	0.0002
soil.hip.SHSU.2016.007.2016.05.05.day21	0.0008
soil.hip.SHSU.2016.024.2016.04.23.day9	0.0006
soil.hip.SHSU.2016.024.2016.05.05.day21	0.0012
soil.hip.UTK.K016.03.2016.05.25.day20	0.0018
soil.hip.SHSU.2016.007.2016.04.22.day8	0
soil.hip.UTK.K016.03.2016.05.26.day21	0.0034
soil.hip.SHSU.2016.011.2016.05.03.day19	0.0036
soil.hip.UTK.K016.02.2016.04.22.day10	0.0008
soil.hip.SHSU.2016.011.2016.05.01.day17	0.0176
soil.hip.UTK.K016.01.2016.04.20.day16	0.3198
soil.hip.UTK.K016.04.2016.10.16.day21	0.0948
soil.hip.SHSU.2016.064.2016.08.29.day5	0.0024
soil.hip.SHSU.2016.065.2016.09.06.day13	0.0154
soil.hip.UTK.K016.06.2016.10.21.day17	0.1048
soil.hip.UTK.K016.06.2016.10.17.day13	0.144
soil.hip.SHSU.2016.065.2016.09.05.day12	0.043
soil.hip.SHSU.2016.067.2016.09.24.day9	0.158
soil.hip.SHSU.2016.064.2016.09.09.day16	0.024
soil.hip.CMU.16.09.2016.08.15.day21	0
soil.hip.UTK.K016.04.2016.10.13.day18	0.3956
soil.hip.CMU.16.10.2016.08.16.day11	0
soil.hip.CMU.16.10.2016.08.15.day10	0
soil.hip.SHSU.2016.065.2016.09.12.day19	0.013
soil.hip.UTK.K016.05.2016.10.13.day18	0.0682
soil.hip.SHSU.2016.067.2016.09.18.day3	0
soil.hip.SHSU.2016.065.2016.09.08.day15	0.0004
soil.hip.SHSU.2016.065.2016.09.10.day17	0.0108
soil.hip.UTK.K016.05.2016.10.03.day8	0.015
soil.hip.SHSU.2016.064.2016.09.14.day21	0.0294
soil.hip.CMU.16.09.2016.08.03.day9	0
soil.hip.UTK.K016.05.2016.10.14.day19	0.0684
soil.hip.SHSU.2016.065.2016.09.02.day9	0.0624
soil.hip.SHSU.2016.067.2016.09.30.day15	0.102
soil.hip.UTK.K016.04.2016.10.09.day14	0.1654
soil.hip.UTK.K016.04.2016.10.11.day16	0.1612
soil.hip.UTK.K016.04.2016.10.02.day7	0.2618
soil.hip.UTK.K016.05.2016.09.27.day2	0
soil.hip.UTK.K016.06.2016.10.22.day18	0.1988
soil.hip.SHSU.2016.067.2016.10.05.day20	0.1002
soil.hip.UTK.K016.06.2016.10.10.day6	0.0022
soil.hip.UTK.K016.05.2016.10.04.day9	0.0362
soil.hip.SHSU.2016.067.2016.09.29.day14	0.0862
soil.hip.CMU.16.10.2016.08.22.day17	0
soil.hip.CMU.16.10.2016.08.20.day15	0
soil.hip.SHSU.2016.067.2016.09.27.day12	0.1224
soil.hip.UTK.K016.04.2016.10.15.day20	0.126
soil.hip.CMU.16.10.2016.08.26.day21	0.0012
soil.hip.UTK.K016.06.2016.10.16.day12	0.1484
soil.hip.SHSU.2016.064.2016.09.06.day13	0.0008
soil.hip.CMU.16.04.2016.mo.day3	0
soil.hip.CMU.16.09.2016.08.13.day19	0
soil.hip.CMU.16.09.2016.08.10.day16	0
soil.hip.CMU.16.09.2016.07.31.day6	0
soil.hip.CMU.16.10.2016.08.18.day13	0
soil.hip.UTK.K016.06.2016.10.05.day1	0.0008
soil.hip.CMU.16.10.2016.08.12.day7	0.0136
soil.hip.CMU.16.10.2016.08.21.day16	0.0002
soil.hip.UTK.K016.05.2016.09.30.day5	0
soil.hip.UTK.K016.04.2016.10.10.day15	0.1586
soil.hip.SHSU.2016.064.2016.08.27.day3	0
soil.hip.UTK.K016.04.2016.10.08.day13	0.1082
soil.hip.SHSU.2016.064.2016.08.31.day7	0.001
soil.hip.UTK.K016.06.2016.10.23.day19	0.0982
soil.hip.UTK.K016.04.2016.09.26.day1	0.0006
soil.hip.SHSU.2016.064.2016.09.05.day12	0.0104
soil.hip.SHSU.2016.067.2016.10.01.day16	0.1734
soil.hip.UTK.K016.05.2016.10.16.day21	0.076
soil.hip.SHSU.2016.065.2016.08.27.day3	0
soil.hip.UTK.K016.04.2016.10.14.day19	0.1346
soil.hip.CMU.16.09.2016.08.08.day14	0
soil.hip.SHSU.2016.067.2016.09.22.day7	0.1914
soil.hip.UTK.K016.06.2016.10.08.day4	0.0014
soil.hip.SHSU.2016.065.2016.09.04.day11	0.0106
soil.hip.UTK.K016.05.2016.10.01.day6	0.0014
soil.hip.SHSU.2016.067.2016.09.26.day11	0.1502
soil.hip.SHSU.2016.064.2016.08.30.day6	0.0254
soil.hip.CMU.16.10.2016.08.17.day12	0
soil.hip.UTK.K016.05.2016.10.15.day20	0.1508
soil.hip.CMU.16.09.2016.08.06.day12	0.0004
soil.hip.SHSU.2016.064.2016.09.12.day19	0.0004
soil.hip.CMU.16.09.2016.08.04.day10	0
soil.hip.UTK.K016.06.2016.10.07.day3	0.0348
soil.hip.SHSU.2016.064.2016.08.25.day1	0.0002
soil.hip.CMU.16.09.2016.08.07.day13	0
soil.hip.SHSU2016.065.2016.09.03.day10	0.096
soil.hip.SHSU.2016.067.2016.09.21.day6	0.0894
soil.hip.SHSU.2016.064.2016.09.13.day20	0.0162
soil.hip.CMU.16.09.2016.08.02.day8	0
soil.hip.UTK.K016.04.2016.09.29.day4	0.0006
soil.hip.UTK.K016.05.2016.10.12.day17	0.0342
soil.hip.UTK.K016.05.2016.09.29.day4	0
soil.hip.CMU.16.10.2016.08.23.day18	0
soil.hip.UTK.K016.04.2016.10.12.day17	0.175
soil.hip.SHSU.2016.067.2016.09.25.day10	0.1004
soil.hip.UTK.K016.06.2016.10.11.day7	0.177
soil.hip.SHSU.2016.065.2016.08.30.day6	0.0006
soil.hip.CMU.16.10.2016.08.11.day6	0
soil.hip.UTK.K016.04.2016.10.01.day6	0.0228
soil.hip.SHSU.2016.064.2016.08.26.day2	0.0016
soil.hip.CMU.16.09.2016.08.12.day18	0.0006
soil.hip.SHSU2016.067.2016.10.03.day18	0.1222
soil.hip.CMU.16.10.2016.08.08.day3	0
soil.hip.UTK.K016.04.2016.09.28.day3	0.005
soil.hip.SHSU.2016.064.2016.09.08.day15	0.2872
soil.hip.UTK.K016.06.2016.10.13.day9	0.123
soil.hip.UTK.K016.06.2016.10.24.day20	0.1484
soil.hip.SHSU.2016.067.2016.09.28.day13	0.292
soil.hip.SHSU.2016.067.2016.10.04.day19	0.145
