SampleID	Oblitimonas_alkaliphila
soil.hip.UTK.K016.10.2017.06.03.day10	0.0022
soil.hip.UTK.K016.10.2017.05.28.day4	0
soil.hip.UTK.K016.11.2017.05.28.day4	0
soil.hip.UTK.K016.12.2017.06.13.day20	0.004
soil.hip.UTK.K016.11.2017.06.12.day19	0.0136
soil.hip.UTK.K016.11.2017.05.26.day2	0
soil.hip.UTK.K016.10.2017.05.26.day2	0
soil.hip.UTK.K016.10.2017.05.29.day5	0
soil.hip.UTK.K016.10.2017.05.25.day1	0
soil.hip.UTK.K016.10.2017.06.12.day19	0.0088
soil.hip.UTK.K016.12.2017.06.11.day18	0.0064
soil.hip.UTK.K016.12.2017.05.27.day3	0.0002
soil.hip.UTK.K016.11.2017.06.01.day8	0.002
soil.hip.UTK.K016.11.2017.05.30.day6	0
soil.hip.UTK.K016.12.2017.05.26.day2	0.0002
soil.hip.UTK.K016.10.2017.06.07.day14	0.017
soil.hip.UTK.K016.10.2017.06.06.day13	0.0068
soil.hip.UTK.K016.11.2017.05.31.day7	0.0008
soil.hip.UTK.K016.11.2017.06.03.day10	0.002
soil.hip.UTK.K016.10.2017.06.14.day21	0.0422
soil.hip.UTK.K016.10.2017.06.10.day17	0.006
soil.hip.UTK.K016.12.2017.06.06.day13	0.0012
soil.hip.UTK.K016.12.2017.05.30.day6	0
soil.hip.UTK.K016.11.2017.06.05.day12	0.14
soil.hip.UTK.K016.12.2017.06.09.day16	0.0014
soil.hip.UTK.K016.11.2017.05.25.day1	0
soil.hip.UTK.K016.10.2017.06.11.day18	0.096
soil.hip.UTK.K016.11.2017.06.06.day13	0.013
soil.hip.UTK.K016.12.2017.05.29.day5	0
soil.hip.SHSU.2017.043.2017.12.05.day6	0.0008
soil.hip.SHSU.2017.045.2017.12.14.day3	0
soil.hip.SHSU.2017.046.2018.01.07.day20	0.0006
soil.hip.SHSU.2017.046.2017.12.20.day2	0.001
soil.hip.SHSU.2017.046.2018.01.04.day17	0.0006
soil.hip.SHSU.2017.045.2017.12.28.day17	0.0592
soil.hip.SHSU.2017.046.2017.12.26.day8	0.0022
soil.hip.SHSU.2017.046.2018.01.05.day18	0.001
soil.hip.SHSU.2017.045.2017.12.13.day2	0
soil.hip.CMU.17.12.2017.10.25.day16	0
soil.hip.SHSU.2017.046.2017.01.01.day14	0.0018
soil.hip.SHSU.2017.045.2017.12.30.day19	0.0506
soil.hip.CMU.17.12.2017.10.19.day10	0.0042
soil.hip.SHSU.2017.043.2017.12.17.day18	0.2116
soil.hip.SHSU.2017.045.2017.12.23.day12	0
soil.hip.SHSU.2017.043.2017.12.02.day3	0.0042
soil.hip.SHSU.2017.046.2017.12.29.day11	0
soil.hip.CMU.17.12.2017.10.26.day17	0
soil.hip.SHSU.2017.046.2017.12.28.day10	0.0004
soil.hip.SHSU.2017.046.2018.01.02.day15	0.001
soil.hip.SHSU.2017.043.2017.12.06.day7	0
soil.hip.SHSU.2017.043.2017.12.20.day21	0.0012
soil.hip.SHSU.2017.045.2017.12.29.day18	0.0506
soil.hip.CMU.17.12.2017.10.27.day18	0
soil.hip.SHSU.2017.043.2017.12.08.day9	0
soil.hip.CMU.17.12.2017.10.10.day1	0
soil.hip.SHSU.2017.045.2017.12.16.day5	0
soil.hip.CMU.17.12.2017.10.22.day13	0
soil.hip.CMU.17.12.2017.10.15.day6	0
soil.hip.SHSU.2017.043.2017.12.13.day14	0.0008
soil.hip.CMU.17.12.2017.10.13.day4	0
soil.hip.SHSU.2017.046.2017.12.25.day7	0
soil.hip.SHSU.2017.045.2017.12.12.day1	0.0002
soil.hip.SHSU.2017.043.2017.12.18.day19	0.0004
soil.hip.SHSU.2017.045.2017.12.19.day8	0
soil.hip.SHSU.2017.046.2017.12.31.day13	0.0006
soil.hip.SHSU.2017.045.2017.01.01.day21	0.0632
soil.hip.CMU.17.12.2017.10.11.day2	0
soil.hip.SHSU.2017.045.2017.12.26.day15	0.1232
soil.hip.SHSU.2017.043.2017.12.16.day17	0.0002
soil.hip.SHSU.2017.043.2017.12.15.day16	0.0066
soil.hip.SHSU.2017.045.2017.12.27.day16	0.1072
soil.hip.SHSU.2017.046.2017.12.19.day1	0.0002
soil.hip.SHSU.2017.045.2017.12.21.day10	0
soil.hip.SHSU.2017.043.2017.12.10.day11	0
soil.hip.SHSU.2017.046.2017.12.23.day5	0.0004
soil.hip.SHSU.2017.043.2017.12.07.day8	0
soil.hip.SHSU.2017.045.2017.12.17.day6	0.0004
soil.hip.SHSU.2017.046.2018.01.08.day21	0.0002
soil.hip.SHSU.2017.043.2017.12.03.day4	0
soil.hip.SHSU.2017.046.2017.12.27.day9	0
soil.hip.SHSU.2017.045.2017.12.22.day11	0
soil.hip.SHSU.2017.043.2017.12.19.day20	0.0142
soil.hip.SHSU.2017.046.2017.12.30.day12	0
soil.hip.SHSU.2017.045.2017.12.15.day4	0
soil.hip.CMU.17.12.2017.10.23.day14	0
soil.hip.CMU.17.12.2017.10.20.day11	0
soil.hip.SHSU.2017.045.2017.12.18.day7	0
soil.hip.SHSU.2017.043.2017.12.12.day13	0
soil.hip.SHSU.2017.045.2017.12.20.day9	0
soil.hip.SHSU.2017.046.2017.12.21.day3	0.0006
soil.hip.CMU.17.12.2017.10.24.day15	0
soil.hip.SHSU.2017.046.2018.01.03.day16	0.0004
soil.hip.CMU.17.12.2017.10.29.day20	0
soil.hip.SHSU.2017.045.2017.12.31.day20	0.069
soil.hip.SHSU.2017.043.2017.12.09.day10	0
soil.hip.SHSU.2017.046.2018.01.06.day19	0
soil.hip.CMU.17.12.2017.10.12.day3	0
soil.hip.SHSU.2017.046.2017.12.24.day6	0.0006
soil.hip.SHSU.2017.045.2017.12.24.day13	0.017
soil.hip.SHSU.2017.045.2017.12.25.day14	0.1114
soil.hip.CMU.17.12.2017.10.17.day8	0.001
soil.hip.SHSU.2017.043.2017.12.04.day5	0.0002
soil.hip.SHSU.2017.043.2017.12.11.day12	0
soil.hip.UTK.K016.12.2017.06.01.day8	0.0002
soil.hip.CMU.17.10.2017.08.19.day11	0.0006
soil.hip.CMU.17.10.2017.08.25.day17	0.001
soil.hip.CMU.17.10.2017.08.09.day1	0
soil.hip.CMU.17.10.2017.08.11.day3	0.0004
soil.hip.CMU.17.10.2017.08.27.day19	0.0018
soil.hip.CMU.17.10.2017.08.18.day10	0
soil.hip.UTK.K016.11.2017.06.11.day18	0.0244
soil.hip.CMU.17.10.2017.08.13.day5	0.0002
soil.hip.UTK.K016.11.2017.06.14.day21	0.0016
soil.hip.CMU.17.10.2017.08.10.day2	0
soil.hip.UTK.K016.12.2017.06.04.day11	0.0004
soil.hip.CMU.17.10.2017.08.20.day12	0
soil.hip.CMU.17.10.2017.08.21.day13	0
soil.hip.CMU.17.10.2017.08.12.day4	0.0006
soil.hip.CMU.17.10.2017.08.28.day20	0.0002
soil.hip.CMU.17.10.2017.08.14.day6	0.0004
soil.hip.CMU.17.10.2017.08.17.day9	0.0002
soil.hip.CMU.17.10.2017.08.22.day14	0.0006
soil.hip.CMU.17.10.2017.08.23.day15	0.0004
soil.hip.CMU.17.10.2017.08.29.day21	0.0004
soil.hip.CMU.17.10.2017.08.24.day16	0.0006
soil.hip.CMU.17.10.2017.08.26.day18	0.0004
