Feature ID	Taxon	Confidence
4552	less_strict	1
4577	less_strict	1
4602	less_strict	1
4613	less_strict	1
4636	less_strict	1
4662	less_strict	1
4666	less_strict	1
4677	less_strict	1
4713	less_strict	1
4717	less_strict	1
4724	less_strict	1
4745	less_strict	1
4754	less_strict	1
4760	less_strict	1
4767	less_strict	1
4776	less_strict	1
4778	less_strict	1
4828	less_strict	1
4840	less_strict	1
4851	less_strict	1
4881	less_strict	1
4892	less_strict	1
4897	less_strict	1
4919	less_strict	1
5028	less_strict	1
5068	less_strict	1
5135	less_strict	1
5180	less_strict	1
5190	less_strict	1
5260	less_strict	1
5312	less_strict	1
5454	less_strict	1
5518	less_strict	1
5525	less_strict	1
5537	less_strict	1
5678	less_strict	1
5689	less_strict	1
5740	less_strict	1
5754	less_strict	1
5762	less_strict	1
5804	less_strict	1
5808	less_strict	1
5847	less_strict	1
5862	less_strict	1
5939	less_strict	1
5979	less_strict	1
6000	less_strict	1
6065	less_strict	1
6112	less_strict	1
6154	less_strict	1
6385	less_strict	1
6396	less_strict	1
6404	less_strict	1
6415	less_strict	1
6421	less_strict	1
6450	less_strict	1
6486	less_strict	1
6493	less_strict	1
6524	less_strict	1
6525	less_strict	1
6558	less_strict	1
6693	less_strict	1
6746	less_strict	1
6749	less_strict	1
6768	less_strict	1
6911	less_strict	1
6974	less_strict	1
7019	less_strict	1
7030	less_strict	1
7096	less_strict	1
7227	less_strict	1
7326	less_strict	1
7367	less_strict	1
7393	less_strict	1
7397	less_strict	1
7454	less_strict	1
7865	less_strict	1
7872	less_strict	1
8038	less_strict	1
8086	less_strict	1
8172	less_strict	1
8405	less_strict	1
8444	less_strict	1
8446	less_strict	1
8468	less_strict	1
8530	less_strict	1
8940	less_strict	1
9334	less_strict	1
9347	less_strict	1
9367	less_strict	1
9512	less_strict	1
9514	less_strict	1
10373	less_strict	1
10562	less_strict	1
10617	less_strict	1
10755	less_strict	1
10996	less_strict	1
11484	less_strict	1
11493	less_strict	1
11570	less_strict	1
11630	less_strict	1
11792	less_strict	1
12203	less_strict	1
12506	less_strict	1
12553	less_strict	1
12563	less_strict	1
12565	less_strict	1
11135	library	1
3693	library	1
6909	library	1
6534	library	1
3147	library	1
648	library	1
3565	library	1
1241	library	1
730	library	1
2911	library	1
9904	library	1
4938	library	1
5815	library	1
4146	library	1
3045	library	1
512	library	1
765	library	1
12784	library	1
3576	library	1
10166	library	1
1520	library	1
3331	library	1
2817	library	1
1439	library	1
3922	library	1
215	library	1
150	library	1
5934	library	1
3515	library	1
1097	library	1
3915	library	1
5813	library	1
3180	library	1
1265	library	1
1098	library	1
2750	library	1
2141	library	1
1437	library	1
560	library	1
4086	library	1
3592	library	1
4122	library	1
716	library	1
3070	library	1
212	library	1
2055	library	1
1100	library	1
4402	library	1
12558	library	1
1175	library	1
650	library	1
443	library	1
2847	library	1
2934	library	1
10476	library	1
10478	library	1
475	library	1
856	library	1
4446	library	1
3318	library	1
3458	library	1
5984	library	1
6496	library	1
8918	library	1
2158	library	1
5983	library	1
3316	library	1
266	library	1
7517	library	1
2042	library	1
