Eigvals	3
117.49354291993724	31.141199548068563	29.26466474872754

Proportion explained	3
0.8831678473672415	0.06204201937532234	0.054790133257436056

Species	2333	3
metab_1	0.03874864191173128	0.008626806200997905	0.049261658907266914
metab_2	0.04453228962094165	0.005403304682431364	0.03923907579003975
metab_3	-0.00900846111964346	0.015311634439671819	0.0557591228299568
metab_4	0.01612940625696197	0.0033998542935346826	0.03043171079642357
metab_5	-0.0037236284563043325	0.005677527801767537	0.033372907435047054
metab_6	0.009300380063210177	-0.043063104226504986	-0.08114945102759719
metab_9	0.014949574095800654	0.00790921745885101	0.030926543302719066
metab_10	0.003434906868708417	0.001119170405596136	-0.001853622192618177
metab_11	-0.030923921052691608	-0.00854302572623805	-0.05615071482170889
metab_12	-0.02756206464036599	0.008030813342395426	0.036134252233538465
metab_13	-0.07155780783594586	0.0015513307674265503	0.005462497788615713
metab_15	-0.0066533420617812915	-0.020080219782681274	-0.061134730468542196
metab_16	0.0019703904771375	0.00046441808061784435	0.0013396970414095745
metab_17	0.011707011373158402	-0.0017103892347401207	-0.026328977094474217
metab_21	0.028352292222750906	-0.019698281672989877	-0.07090824427345144
metab_22	-0.005411071954116298	-0.013424712915502639	-0.05727746763214903
metab_25	-0.054939133535485594	-0.010750724850846657	-0.062274612474065016
metab_28	-0.0011768982362682756	0.016179091553332678	0.015705656253445752
metab_31	0.002979398541911519	-0.000870269953920167	-0.0015417978420666318
metab_32	-0.02809709335201271	0.0155582635372063	0.02741206137321427
metab_34	-0.02787613101601976	0.019605109968173662	0.040940359984968706
metab_46	0.0013334933529376837	0.0005734462912015599	-0.0002909076745238922
metab_65	0.0018787529753583098	0.0005664142242176125	0.00014226572797767506
metab_69	-0.006363877188547876	0.023183306963605682	0.0862528108641842
metab_70	0.014099721337089855	-8.804788720415929e-05	-0.0048758642044261676
metab_78	0.008938966492268382	-0.004400830020295779	-0.02020052018630784
metab_82	-0.00031911915801849253	-0.00575751610214314	-0.007347998824780352
metab_84	0.003322145143188373	6.47657844927597e-05	-0.00670070371217365
