Eigvals	3
243.60624350283308	103.83270734828342	89.0324941044512

Proportion explained	3
0.7603134857722561	0.13812879400407257	0.10155772022367145

Species	257	3
UTK.bins.58	0.012167540193736656	-0.003484813820233496	-0.01157215038397693
CMU.bins.99	0.09655126439557038	-0.061516024866466575	0.051902784948914316
SHSU.bins.42	-0.13535851154020734	0.008391475925142278	0.09354443036157034
SHSU.bins.192	0.009642535519630827	-0.012512467215186618	-0.025938897589476706
SHSU.bins.235	0.04653989434427112	-0.013820917087696644	-0.02812949473206705
SHSU.bins.477	0.028893508072018053	-0.008933136766072478	-0.04199149216881666
SHSU.bins.22	0.04205757052148239	0.05247706232374092	-0.049288453585793715
CMU.bins.320	0.1093920181559942	-0.09336195569193649	0.09204916087102591
UTK_active.final.26	-0.15735763457536148	0.03473836770283528	0.10683326674994063
SHSU.bins.173	0.036191399163579045	0.002220059071735509	-0.008261328836413014
UTK.bins.15	-0.14713498821640308	-0.011710994107841932	0.048277782908803246
CMU_active.final.59	0.061836039054313674	-0.030065293532916766	0.03253695148737551
CMU.bins.5	0.02180866142924055	-0.09820708736975406	0.017443163489517837
UTK.bins.126	-0.10205763593893075	-0.016953736045193638	0.07151011630704178
SHSU.bins.88	0.044507532273760586	-0.015728811603116608	-0.007392558306406257
CMU.bins.264	0.041489333560276176	-0.04492308466458939	0.008512020787853382
SHSU.bins.260	0.032473101594209484	0.020768223090334104	0.03129262563641335
SHSU.bins.403	0.007329212001984766	0.07750169805130681	-0.12350839096932126
SHSU.bins.459	0.04366856847910627	0.0015042030118474266	0.030097289178013895
CMU.bins.67	0.06740351958550947	-0.10463268420598694	0.01963764327250663
SHSU.bins.556	-0.0025465712454421537	0.02647492860044582	0.03649028047846732
UTK.bins.192	-0.0673955704110323	-0.1331045910979204	-0.15244392874774332
SHSU.bins.217	0.04527199174808849	-0.015515860150237603	-0.014604615230500523
SHSU.bins.50	-0.026932728654580042	0.06505184105050564	0.07312019830089568
CMU.bins.107	0.08792848964388275	-0.052505099276891454	0.05744423106951156
SHSU.bins.157	-0.013589109015589672	0.09081436325351683	0.03910621263859809
UTK.bins.141	-0.09267084174959293	0.0013228082281027502	0.047360145310834885
SHSU.bins.181	0.01860034013128953	0.03655351914066002	-0.07549260021468916
SHSU.bins.240	0.019246400061056688	0.13866495132454804	-0.13108988373920683
SHSU.bins.105	0.030902447111500315	0.05519506477710954	-0.03278457467602064
UTK.bins.171	-0.10081640772104913	-0.004014918779889427	0.019611325963765146
SHSU.bins.438	0.003741394571982839	-0.010091788982766428	-0.029344735497869125
UTK.bins.184	0.0021615169912413664	-0.025223658705304536	-0.08338799043817038
SHSU.bins.335	0.03195578932164424	0.16302073673246137	-0.0903047741217396
SHSU.bins.332	0.03005458725507403	0.04834639411402503	-0.05006121638853695
SHSU_active.final.55	-0.055592358203863046	-0.019416272065251202	0.0011613534570302248
SHSU_advanced.final.260	0.027971722671251944	0.008516439198406398	-0.012963592421788137
UTK.bins.183	-0.06630327965045914	-0.07120515225933952	-0.1520336535163677
SHSU.bins.221	0.02939599334807469	-0.02122767016617738	0.0047003414365963374
UTK.bins.23	-0.10092169801022548	0.05526774503629826	-0.023954434768200458
UTK_active.final.18	-0.19395248709122873	0.08137706828446842	0.06929920382298073
UTK.bins.61	-0.10126281103962323	-0.1482316950853566	-0.19310275063017396
SHSU_advanced.final.47	0.043953719949695685	-0.025710195612622735	0.007205434592138427
UTK.bins.64	0.013126226266000579	0.001346839209517751	-0.027440051152517374
SHSU_advanced.final.49	0.010481912486280047	0.04477213321534562	0.03613131835466696
SHSU.bins.148	-0.000999417990782538	0.011606592459495971	-0.028377020527144036
SHSU.bins.562	0.034390784414485294	0.016076471971679725	0.056345038731930204
SHSU.bins.84	0.037485610515527845	0.12024830714687547	-0.08700992059072482
SHSU.bins.111	-0.05060863544164859	0.024703126610409402	0.03917103175402007
SHSU.bins.163	0.019875332186219476	0.0462223890285252	0.039795530279433305
UTK.bins.37	-0.060670614285945834	0.027783220442610848	-0.06288692682653385
CMU.bins.126	0.04160336262200211	-0.03006361241395293	0.05004333989669644
SHSU.bins.517	-0.0012134891070467166	-0.018803295292979028	-0.005396813861618673
CMU.bins.261	-0.07689739425823738	0.011403989593950519	0.058478876294818044
UTK.bins.50	-0.1282336345427428	0.03434441799681674	0.11080202499158048
SHSU.bins.204	-0.024290804246481352	0.05790007734339843	-0.0028594668608389624
SHSU_advanced.final.136	-0.07532848531744299	0.08436467867780334	0.03304224189234535
SHSU.bins.83	0.004709148219647146	0.10378588436658515	0.034453432215260746
SHSU.bins.256	0.02582345230502576	0.025989256721123934	-0.07112540660477382
SHSU.bins.59	0.047749957250512086	0.0290498308617047	0.06186154683984189
CMU.bins.224	-0.10943910899731904	0.007712888678549641	0.09757137964882608
UTK.bins.186	-0.03864096037427602	-0.016463476800006996	-0.07025376727240223
CMU.bins.256	0.04508841998110913	-0.09298694503647306	0.04684777238755494
CMU.bins.171	0.101855784512698	-0.09568673685007453	0.07879529035453199
SHSU.bins.544	0.032510545718740146	0.09756239707461345	-0.04256195518927337
UTK_active.final.44	-0.08634325493016395	-0.15360972610108975	-0.18240904762977436
SHSU_advanced.final.69	0.10289080592723138	0.15959629294119707	-0.005196983794194601
CMU.bins.146	0.012733625657290573	-0.006931109139522954	-0.03261383710987379
SHSU.bins.64	0.026211251693809005	0.05455234361193732	-0.07940316641180009
SHSU.bins.175	-0.13388765168858724	0.02466824565628782	0.08514572976105242
SHSU.bins.131	0.03906578438777824	0.11434592126403016	-0.06744179316281848
