OTU ID	43668_S1353_L003	43688_S1435_L003	43690_S1355_L003	43704_S1427_L003	43707_S2177_L003	43724_S1436_L003	43851_S1983_L006	43868_S1352_L003	43870_S1374_L003	43885_S2263_L003	43886_S1425_L003	43904_S1414_L003	43906_S1423_L003	44030_S1354_L003	44051_S1990_L006	44064_S1370_L003	44066_S1424_L003	44084_S1358_L003	44087_S2176_L003	44100_S1416_L003	54828_S1578_L003	54831_S2150_L003	54849_S2279_L003	54851_S2200_L003	54865_S2166_L003	55011_S2238_L003	55028_S1571_L003	55045_S2052_L003	55046_S1481_L003	55064_S1510_L003	55191_S2075_L006	55225_S2077_L003	55227_S2126_L003	55245_S2272_L003	60771_S2208_L003	60789_S2019_L003	60912_S1797_L003	60914_S1817_L003	60932_S1842_L003	60934_S1808_L003	60948_S1847_L003	60950_S1836_L003	60969_S2186_L003	60971_S2144_L006	61058_S1843_L003	61078_S1852_L003	61128_S1807_L003	61130_S1849_L003	61148_S1850_L003	61150_S1841_L003	61164_S1822_L003	61166_S1801_L003	61184_S1838_L003	61186_S1809_L003	61200_S1828_L003	63612_S1650_L003	63614_S1665_L003	63633_S2228_L003	63634_S1649_L003	63687_S2220_L003	63705_S2198_L003	63720_S1647_L003	63723_S2239_L003	63740_S1687_L003	63742_S1660_L003	63756_S1680_L003	63758_S1686_L003	63776_S1671_L003	63778_S1675_L003	63794_S1695_L003	63828_S1682_L003	63848_S1666_L003	64967_S2293_L003	64980_S1629_L003	64982_S1630_L003	65001_S2182_L006	65002_S1640_L003	65017_S2214_L003	65038_S1691_L003	65053_S2023_L003	65055_S2285_L003	65073_S2129_L003	65074_S1702_L003	65162_S1639_L003	65182_S1653_L003	65196_S1664_L003	65198_S1689_L003	65216_S1643_L003	65218_S1696_L003	65233_S2136_L003	65234_S1645_L003	65252_S1635_L003
UTK.bins.58	0.0	5.189704155569708e-05	0.0012858323586380247	0.0005196198312578348	0.0011423957429793736	0.0006096036223892608	4.36659262647634e-05	0.0	0.0004594418937420954	0.002080125545857393	0.00016507055548407634	0.000316028912907058	0.00013610042581302454	7.1070209590243245e-06	0.00015072351700376547	0.0008786507476660086	0.0009306016559503085	0.0002681262896633787	0.0006866710564071611	0.0005351125935578976	0.0	0.00013982351535405822	2.2119705586943808e-05	0.0007775075338348863	0.0025632849947454872	0.0019464118629744748	0.0	3.5121757353288296e-05	0.00023959985297125508	0.0007281931998355013	0.0	0.0	6.15410537906939e-05	1.444116684175251e-05	0.0	0.0	0.0	1.429659289787099e-05	0.0	0.0	0.0	4.5868209816034686e-05	0.0	4.2361546438302686e-06	0.0	0.0	6.916939457314993e-05	0.0	0.0001328976034277342	4.1253769965022024e-05	3.1146964883643846e-05	3.828580500212203e-05	8.066227589308021e-05	1.0350168311249511e-05	2.4875868765856046e-05	2.0296623234572447e-05	5.527187879825327e-05	2.229072747252663e-05	0.0002775402915870259	0.0	2.490975460144947e-05	1.5605038353775034e-05	3.015396389880836e-06	8.808142156319832e-06	1.5161966454661163e-06	2.65058147124015e-06	2.410313567234388e-06	1.8791781083999128e-06	6.099140528858881e-05	9.434736194142413e-07	5.714874498604395e-06	8.637301252282182e-05	9.22657115080692e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8698502294815586e-05	0.0	0.0	0.0	0.0	0.0	2.9529904735236264e-05	0.0	2.1986673245065368e-05	4.142654005303157e-06	1.9039254605502838e-06	7.939112872107898e-07
CMU.bins.99	0.0	1.7699835305375183e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.293965787795979e-06	0.0	0.0	0.0	0.0	2.969697197692049e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020828474250089615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4813717097966074e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7770680509882e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.284796063144733e-07	0.0	0.0	0.0	0.0	0.0	0.0	3.539556972575287e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012385549911359114	0.0	0.0003323550195298457	0.0	0.0	0.0	0.0	0.0
SHSU.bins.42	0.0	0.0011919109572651782	0.00016391672022302868	0.0005904083355161314	0.00015032113986334253	0.0002186198706491745	3.369366711780261e-05	1.895642697176861e-05	7.88844909442844e-05	0.0011670049062402926	0.003164932663807927	0.0003582564326488383	0.001099065308450485	0.0	0.0	9.614430287532777e-05	0.013759750870100644	0.0007745528279151937	0.0006388281385423238	9.122016742527603e-05	0.0	0.0	0.0	0.0023143343030524646	0.001298390402565425	3.976615741574811e-06	0.0	0.007678704607656706	0.06298204552376525	0.019707378995548103	0.0	0.0	0.00029898888959242347	1.7540128022385998e-05	0.00013486480809435651	0.0	0.0002831992975631796	0.0001389161852823382	0.0002234620242095776	5.983664511290185e-05	0.0	7.428166665774457e-05	0.00019233026237731575	8.232321251186052e-05	0.003165331820932972	0.006993534653842489	0.005107966860770151	0.001156643358229968	0.0077210893420856025	0.0023550052267457978	0.0017654398067667376	0.0013950494296482508	0.0011952554391435693	0.0001340930299437111	0.0004028538390407592	2.0859486046954656e-05	3.4649205023054604e-05	1.5195766367249049e-05	1.3900948082937523e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.438751501810829e-07	6.440600835455441e-05	2.2824341531208063e-05	3.419060408584215e-05	3.208621121887602e-05	9.254992673848506e-06	3.6809820075157787e-06	0.0	0.0	0.0	0.0002353608886474615	0.00023956702938004212	7.645839426409788e-05	0.0	7.519168152174918e-05	0.002405133827549269	0.0007493100324263916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0063265612025828e-05	3.0062459377099834e-05	3.1499782460236616e-05
SHSU.bins.192	0.00017142382410284025	0.00026366377903097664	0.001036863327921769	0.0002381571543263912	0.00010985904105038966	0.00027825811718655243	0.0004286950933288987	0.00010348383346877324	0.0005627852380797547	0.000436286314488335	0.0004118340584270639	0.000670356154649442	0.0002752539022050955	0.00038371693159029767	0.00010383100038058737	0.0002669264557459101	9.056301598156962e-05	0.0006383650730069325	0.00022418914371359383	0.0001102657289755752	0.0	0.0	0.0	7.77958083796545e-05	5.98829645666892e-05	7.675504431358e-05	0.0	3.0254448334241157e-05	2.3889744302117645e-05	6.943847998431385e-05	0.0	8.661549939647573e-06	0.0	7.523392938526538e-05	0.0	3.7050086149401822e-06	0.0	0.0	0.0	0.0	0.0	0.0001013765812747722	0.0	3.210041887876932e-05	7.480369049469176e-06	0.0	0.0	0.0	0.0	2.9307139843917678e-05	0.0	5.439736004853428e-05	7.640443610986813e-06	3.26794462975001e-06	0.0	0.10686283437965291	0.12632943925169535	0.18383650863868722	0.12379417854949304	0.0006636751475918737	0.0001687035876185541	0.0044565686722034155	0.002731189396582636	0.004274503949410097	0.006718374929035203	0.0033868949743681384	0.010078677918179294	0.0027358383034031004	0.014065243680823344	0.02589056414208121	0.008025996317159076	0.05609266963837994	0.0	0.0	8.60161822180826e-05	3.381169048135506e-05	0.0	0.0	0.0	0.0	5.436729892508644e-05	0.00015582901674350073	0.0	0.0	4.169494708786761e-05	0.00020223372150824913	0.0002517404047927697	0.0	0.001249566486596161	0.008822101029885567	0.016525714657583887	0.010373909139569147
SHSU.bins.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9879692432192028e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.037621635973519e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.641266679254472e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2416813872881426e-05	2.665923175157332e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.477	0.000132305727730496	4.775675131468028e-05	4.216308520182005e-06	6.284126678022895e-06	2.3338512663321587e-05	4.7745842221946194e-05	1.560019966553989e-05	2.1942119494813334e-05	3.111267431651332e-05	5.013315015572068e-05	2.486483035765132e-05	5.385484542417443e-06	1.2411415353968894e-05	0.00015187397271349684	0.0002003430528490188	1.7805959384515321e-06	1.194819215051544e-05	2.4451284881234088e-05	6.572838454337973e-05	4.223502343790979e-05	0.00015053424248246498	0.0006093885104998093	0.0001651018393089903	0.0003510214201284281	0.0030639557499782546	0.0006922822290994899	0.00020349733310791998	0.00013510801828697322	0.004323863692696089	0.04834904698907795	0.0002742361557037735	0.000243403254507165	0.0004429830216366764	0.0005441135317155073	0.0002029385621800275	0.00026395757243742314	0.0007679969408498403	0.0009004559501397179	0.000569047560719718	0.0012189957004397451	0.00022783940748159163	0.0016508375813060253	0.0009261111188387736	0.0019057862896501667	0.0007372165548753605	0.001261872957107122	0.0006690437507831723	0.0009148589251536158	0.000709991778584232	0.00034799027439887743	0.0006539202095464786	0.005382579358570548	0.0009344369024231451	0.00020953756679089114	0.0002704562922209216	7.023972058715268e-06	2.005325764334985e-06	2.9232630553960306e-06	2.25265273754064e-05	1.1558263345729658e-05	2.171269226756436e-05	7.898047191296418e-05	3.3914622133340415e-06	1.6511077920403045e-05	1.7052879012507057e-06	1.490574008769632e-06	6.777281565480222e-06	1.6908313875123556e-05	4.221408504466337e-05	2.228389767950582e-05	8.570137697983206e-06	1.8747290547579297e-05	0.000627824334171196	0.00045626934938980195	0.0006638763942996587	0.00022941549539772977	0.0007209785787046343	0.00033630293078549384	0.00041069752632627023	0.00010444141600373572	0.00038733168495849377	0.00016190121700627517	0.00018126286315479033	0.00016182401593385602	0.00032180377926842795	0.00028015210667780915	0.00023248899366151826	0.0004362810008533593	2.472874777676757e-05	5.824127039205885e-06	7.494807844706083e-06	2.0537254256007934e-05
SHSU.bins.22	0.017105199413732227	0.003415753223842995	0.0013707403691134484	0.0006032819362905454	0.0010019716991566526	0.0009282429504602371	0.009706608169684895	0.006955056888950876	0.001249694273380209	0.0006303437354120296	0.0001445295885797767	0.0002237883616273999	0.0002762914024018695	0.004255754795820376	0.0009720186227165243	0.0012353840654385573	1.7731978255231622e-05	0.00010583823381445227	0.0009449734928588665	0.0	0.004803175698284612	0.009882493791982718	0.007791220911198868	0.002067769124034915	0.0010912158383310341	0.00021347173980904255	0.0002936154966265978	0.0	0.0	0.0	0.01085296003847115	0.02126667476241023	0.030688079354096162	0.004414148657293663	0.022501255350487095	0.00840591571453562	0.04286271995545047	0.033915626082427694	0.007197500635586517	0.11692187045052316	0.058233488800419196	0.02590323641396329	0.028975039332047682	0.05115729777512144	0.00154885231024287	0.0022525522664152246	0.0008947724404389026	0.0004967251679524997	0.000392818518805642	0.000559479558839928	0.0003249323196506069	0.00435353252529473	0.0008414870171556886	4.319015664459953e-05	0.0001297553374820019	0.0	0.0	6.433963602305106e-07	0.0	7.2901433258720935e-06	8.315661868445896e-05	0.001986102999572455	0.0	1.2251809262614918e-05	0.0	2.2121192098291738e-06	3.520290177174003e-05	0.0	2.9366599509364437e-05	0.0	4.3720518459262706e-05	6.323250484692346e-06	0.0001347552529922983	0.0	0.0008999790678366268	0.029642094202267908	0.0010288297550098582	0.029354831958482035	0.007509970547117167	0.009795049500912086	0.0	0.008495367367637023	0.00489976949621684	0.0	0.0	0.0	0.00012322505724095083	0.0	0.0	0.0	0.0	0.0
CMU.bins.320	9.30727213688081e-05	4.852657454542825e-05	4.819811594638473e-06	1.4367206864262199e-05	2.1914950232824227e-05	3.056477010036809e-05	3.962917661007188e-06	1.003312039723962e-05	1.237077571629792e-05	0.0	3.7898450738556113e-06	4.925070136201023e-06	9.458617793936585e-06	1.827499112321527e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.2944110902550916e-05	0.00026965674889658863	6.722010786152605e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.2566951997161127e-05	0.0	7.837828755185344e-06	6.329869567009082e-05	0.0	0.00039259169356268604	9.5550698122182e-05	0.0	3.676225616608637e-05	8.870431167101183e-05	0.0	8.6817050229924e-05	0.00011794572009818659	0.0	6.535708993327116e-05	0.0	5.4433579522298014e-05	3.5572432066280477e-05	0.00020405991791560082	2.8477748163008e-05	0.00013259992024482276	2.6697108614534337e-05	4.922407985944478e-05	8.29660157757853e-05	8.871476981049605e-06	1.0660967328253914e-05	0.0	4.584715061594898e-06	2.2655490529350682e-07	0.0	4.228048329059735e-06	5.1242395351498014e-05	0.0	4.3076624141001446e-07	0.0	0.0	6.815707454607237e-07	0.0	4.8321181358794854e-06	3.619229132504758e-05	0.0	2.4492055136885287e-05	0.0	0.0	0.0	0.0	1.311264716732836e-05	0.00012679616642820497	0.00012140197501425953	0.0	5.306251813085986e-05	0.0	5.287853228831849e-05	0.0001776068024860603	4.624664012229218e-05	0.0	0.0	0.0	0.0	8.076652120650774e-06	0.0	4.8957628985588136e-06	0.0
UTK_active.final.26	0.0	0.0031997182590883504	0.0010540556300428485	0.0010973318660102175	0.0002429300328147326	0.0005182359830144145	0.0001596860063402642	8.0857043083334e-05	0.0010570071466471634	0.0022672830949704535	0.0031528118597338416	0.0009796517260031354	0.0010290661951743412	0.0004016685307290284	7.744063790884995e-05	0.0009215964234171518	0.020485629828988387	0.0023549727848741608	0.0013872047179907035	0.00033426540720903704	5.042919218164409e-05	0.0	0.0	0.004208580641853995	0.0033943665524219916	1.850391145068157e-05	0.00045447963860827817	0.03206625071357027	0.09568145319976604	0.021793029995076953	0.0	0.0	0.00608671704535314	0.000979409057088187	0.0	8.842618751657082e-05	0.002329641710554004	0.0007272023659107223	0.0005848929510182133	0.00027843097725942836	0.00041343552728419843	0.0012529660135079145	0.0012081795636619548	0.0001556200636518531	0.018589605122936774	0.04857399465018607	0.036434264874065904	0.008017043596739581	0.05936817493287704	0.01585450683360771	0.016576528002482105	0.017418631104823626	0.006017620293612863	0.0010041850242400391	0.0026126560452420077	5.514938161718126e-05	3.0230421999881417e-05	4.269902665180207e-05	9.702542453842545e-05	1.393932079893729e-05	1.0558715102699093e-05	0.0	2.0829325837757895e-05	2.489057531243866e-05	3.8560995983241055e-05	1.7976402517772963e-05	0.00021795835522505803	2.12411543556334e-05	4.6402735545215055e-05	0.0001573011865607578	6.459772772353732e-05	8.135929237637882e-05	0.0	0.00010421643300832796	0.0	0.00020174303027205442	0.0	0.0	0.0	0.0003498804836127813	0.0013786650024005176	0.0008716687377214647	0.0002602427876010084	0.0	0.0	0.0	0.0	0.0	0.0	7.023928635271718e-05	0.00013988590710153602	8.824362969352214e-05
SHSU.bins.173	1.3967133704743888e-05	0.0	1.012611524929732e-05	0.00010995815161455459	0.00043468186610353727	0.0002254064891171764	0.0	2.007517679305174e-06	3.7128859151187374e-06	0.0	0.00010237145440944131	2.5129056797208822e-05	0.0002356244446889092	0.0	2.114964096673498e-05	1.221821363622285e-05	8.198690730908264e-05	2.237084080625405e-05	2.7061192104814204e-05	0.00013331304085161487	0.0	0.0	3.103851163001601e-06	3.380576712316302e-05	0.00010645291300568309	0.0004080750760994316	6.206092919641306e-05	1.4043898940309526e-05	0.0017379198764832537	0.0011692470997358671	0.0	1.176198063395089e-05	1.8998065505258417e-05	0.0	4.284725857161962e-05	0.0	0.0	0.0	1.7748747334350905e-05	3.802084689468535e-05	0.0	0.0	0.0	6.538622393769909e-06	1.218959208061221e-05	3.2674710710575636e-05	0.0	0.0	0.0	0.0	3.2050801938304296e-05	0.0002954760692632244	4.980180446434112e-05	2.6626298945799002e-05	6.399432396237608e-06	0.0	0.0	3.3998375296384505e-07	4.416403661760108e-06	1.903469462882209e-06	1.345711740539365e-05	0.0	4.6543485279087105e-06	0.0	2.340291652767099e-06	8.182492146038952e-07	0.0	0.0	0.0	0.0	5.880711792760188e-06	0.0	7.1207375728589285e-06	0.0	0.0	7.871097302315024e-06	0.0	0.0	0.0	3.185167788068675e-05	0.0	0.0	0.0	0.0	3.397186414545069e-05	0.0	0.0	0.0	0.0	3.1971491236238934e-06	0.0	0.0
