OTU ID	25814_S1330_L003	25832_S1306_L003	25834_S1301_L003	25868_S1303_L003	43274_S1336_L003	43292_S1308_L003	43454_S1325_L003	43472_S1328_L003	45204_S1779_L003	45402_S1754_L003	45420_S1761_L003	54618_S1750_L003	54638_S1762_L003	61272_S1558_L003	61454_S1605_L003	61472_S1559_L003	61634_S1532_L003	61654_S1531_L003	64370_S2000_L003	64388_S1607_L003	64390_S1981_L003	64404_S1980_L003	64406_S2004_L003	64550_S1620_L003	64584_S2010_L003	64586_S1616_L003	64604_S1610_L003	64750_S1991_L003	64764_S1989_L003	64766_S2007_L003	64784_S2008_L003	64786_S1982_L003	64800_S1993_L003
UTK.bins.58	0.0	0.00019645835801014643	0.0	0.0	0.0	0.0	5.7210994923623315e-05	1.4461571899254983e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.907042171356257e-05	4.384202491588925e-05	0.0
CMU.bins.99	0.0006365052752693866	0.0011055564325278908	0.0008551186794124503	0.0012608684497452574	0.0001575451189967969	0.00027883789736528623	0.0002504064496657074	0.00016276315384663597	0.0008707485347776964	0.0002789550184158948	7.908195982708128e-05	0.0002815798900440958	0.0005515497725392304	0.000979080500142657	0.00018622918625340397	0.00018637470455619063	6.277920060681979e-05	3.834261501014264e-05	0.0005632952602150189	0.00031428555875913464	0.0004635814976218559	0.00042014873454580956	0.00047632207304036813	0.000338778922854475	0.00044996237434401877	0.0005923153198415541	0.000626864343085825	0.000537591540929085	0.0001749671805195253	0.000809204630604174	0.001417796434801231	0.0010279920683707248	0.0010726232041848032
SHSU.bins.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008777860794361526	2.0971114578098924e-05	0.0	0.010121770128538451	0.0051640033296569375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.670016435169669e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.192	0.0	0.0	0.0	5.3057610509333155e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2221023080831476e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5318415819306875e-05	0.0	0.0	2.6008452797552202e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48848063201536e-05	0.0
SHSU.bins.477	0.0016537787979762969	0.00220959626514834	0.0008545317392893043	0.0007560020497443501	0.0002833868202695059	0.00024638213603230555	0.0004504220293986866	0.0003090378423687659	0.000783136131278457	0.00033451626216627006	0.0001034544070689828	0.00011255469400116294	0.00024802740463262477	0.0022127091523197924	0.0004709174905259878	0.0003849103094096715	0.0013174581373740471	0.0012874279054564204	0.0007177087493089486	0.0007160792060353704	0.00017688239422805055	0.0004478512581422897	0.00024050280678094955	0.0008659656817350519	0.0006969631737924158	0.0008183787306980523	0.0007329282865363229	0.0022563338914956734	0.0011539920012908248	0.0010512440748027304	0.0008173983200638591	0.0009122308606715625	0.00035729583463585906
CMU.bins.320	0.000290844599297423	0.0	0.001562951827922923	0.000576141214118595	0.0	0.00012070625214849881	0.0	5.5779777183002716e-05	0.00011936401476739872	0.0001593321534011926	2.9565597588847488e-05	0.0	0.0001417642283635224	0.0012389018532550779	0.00012209376754369317	8.516215208190806e-05	8.605903510236163e-05	0.00010512176160231024	9.65220571827436e-05	0.00025849761607968434	0.00011554310703645107	0.000127988576616117	3.436589082677941e-05	4.88847289689233e-05	0.0001285036941053395	0.00045893270113666105	0.0001718638069797393	0.0007369415931885019	0.0004796975336736408	0.00036975799113727064	0.000598014014678852	0.0006200451412385825	0.0008168745778138614
UTK_active.final.26	0.0	0.0	0.0	0.0	0.0	2.2108489719895497e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034037474957906593	3.659338926380688e-05	0.0	0.021704987853182377	0.010974805013732207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.173	0.00017458458755953426	0.0003032389614933262	0.0004690944284207021	8.645971712542203e-05	0.0002592747696059572	0.000229444130117852	5.887111692140706e-05	6.696555101114792e-05	0.0005015523200319995	3.8256748811304996e-05	1.7747251350796104e-05	0.0	0.00025528930506104784	0.00024789074067357733	4.663839606171942e-05	0.00010224010249940248	2.5829210535399196e-05	0.0003786067074605742	5.793905590782241e-05	0.0	0.0	0.00011524098496116089	4.125739759417625e-05	7.33597624526959e-05	0.00021598244328506675	0.00010595476102753893	2.579104154408964e-05	0.0002949077773097789	0.0001439733651132741	0.00011097675733999808	4.487100710140374e-05	0.00013534282900151624	9.806865695413323e-05
UTK.bins.15	0.00026905761459370824	0.0	0.0	0.0	0.0	0.0	0.0	3.440086024524047e-05	0.0	5.8958634756763116e-05	0.0	0.0	0.0	0.005252937073800144	0.0	0.0	0.0023485649579491146	0.012447628820777793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
