OTU ID	25293_S2193_L003	25295_S2243_L003	25311_S2283_L003	25329_S2222_L003	25330_S1251_L003	25344_S1331_L003	25347_S2253_L003	25365_S2274_L003	25367_S2074_L003	25381_S2133_L003	25382_S1261_L003	25402_S1292_L003	25455_S2155_L003	25474_S1278_L003	25488_S1244_L003	25491_S2210_L003	25510_S1265_L003	25525_S2188_L003	25545_S2117_L003	25546_S1245_L003	25560_S1249_L003	25563_S2204_L003	25581_S2157_L003	25583_S2130_L003	25596_S1296_L003	25599_S2229_L003	25617_S2259_L003	25619_S2124_L003	25633_S2187_L003	25653_S2110_L003	25779_S2096_L003	25797_S2119_L003	45110_S1707_L003	45129_S2271_L003	45541_S2088_L003	45560_S1511_L003	45562_S1579_L003	45757_S2224_L003	45759_S2033_L003	45777_S2209_L003	45779_S2031_L003	45793_S2053_L003	45795_S2178_L003	45831_S2251_L003	45851_S2226_L003	45887_S2093_L003	60519_S2087_L003	60552_S1729_L003	60554_S1727_L003	60574_S1713_L003	64226_S1866_L003	64244_S1796_L003	64246_S1860_L003	64262_S1859_L003	64280_S1855_L003	64296_S1864_L003
UTK.bins.58	4.806439754711121e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.847865702832167e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4246097526117237e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMU.bins.99	0.056638367179862786	0.004872476106788478	0.035205880653853196	0.014756763265365727	0.00335654445171305	0.004776898720314667	0.018838035382470513	0.015797809894295488	0.008691830775672885	0.00040559303433323633	0.006274294228181651	0.001587318018770843	0.08586015551444728	0.06569339866365273	0.12373406416187592	0.06098451264064007	0.05986225303394722	0.05434702629682648	0.04214898941113089	0.09260248501871442	0.03685207386641563	0.10213767685451704	0.08464153192463758	0.08957207030397567	0.0025550399773786978	0.07395794888513048	0.00971430675977297	0.04535662490647239	0.04139261977192171	0.030278076613469613	0.014399503526169937	0.004107739633509203	0.1045668725057531	0.05962115956278465	0.04630108180408948	0.048659373657580336	0.011689811321346836	0.09810919891172541	0.046568818615379357	0.07880096913597043	0.04852375305682396	0.10603861546995269	0.09152997357371752	0.08942863176237101	0.055474980971321294	0.0889880972409989	0.017847915227736873	0.029323501547294552	0.002199440530348354	0.028628400212413977	0.03049910159932421	0.010355597686929572	0.0006835128872126843	0.024718736565829576	0.0013529847116494752	0.03953108611530466
SHSU.bins.42	0.0	0.0005150919478603326	0.0035166079647461395	0.0	6.345610530608843e-05	8.118248844887657e-05	0.0	0.0	0.00015314224366665886	0.0001504109998164285	0.0002571277093511435	2.15244616786459e-05	0.00013453027730326239	0.0	0.0	0.0	0.00012089179997105808	5.522450335005643e-05	2.407192423699737e-05	0.0002490565097074884	0.0	7.846281758361983e-05	0.0011656488642212744	0.00031839934553381215	8.870747921461947e-06	5.063400608304797e-05	1.099271133335849e-05	0.0013438402416891886	0.00017379585804878366	7.913274592212623e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.022905308670230017	0.0002274877438509925	1.7767344997842524e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.001036864300887274	0.00011702849182231545	0.0003757742367169233	0.0	0.0	0.0	0.0	0.0	0.00014354656490027698	0.0	0.0
SHSU.bins.192	0.0	0.0	0.0007743446643551071	0.0	2.4743518169697217e-05	1.2662241198341615e-05	2.6608398540232974e-05	0.0007277540990637629	3.980996355270484e-05	5.86499524249833e-05	0.001363564749589714	0.00015946798207130549	0.0	0.0	0.0	0.00018303075788727717	0.0003653311496928585	3.53768621460489e-05	8.917079606052691e-05	2.9134475286607108e-05	6.529451058891386e-05	0.00016062427505333452	0.0002194247409134352	2.3488524457407163e-05	3.113083572438003e-05	0.001138557636783582	0.0	0.005676727486402797	0.0022169963199831664	0.00020056617431887648	0.0	1.0476034280111411e-05	0.0	0.0	0.0	0.0	7.010589192999545e-06	0.0	0.0	3.7842649782758756e-05	3.674600734398287e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.6280678190327464e-05	0.0	5.751832939022723e-05	0.0	0.0	0.0	1.599237166002417e-05	0.0	0.0
SHSU.bins.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63320597097659e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.477	0.0001801958032982953	0.000238488045859286	0.0002681728930669576	0.0001357051956557969	0.00010283081239350197	0.0001503502786072753	0.0001737702035280738	0.00019941420604280033	0.00014181007265535778	2.6529681786684465e-05	8.730360317503127e-05	0.0001195901015506074	0.00012457522898278852	0.00011132558901066274	0.0002497361672065565	8.149841343752979e-05	0.0002798650567829546	0.00013880301842013811	0.00017275249299476025	0.0001845013401512625	7.753012288840411e-05	0.00015984479507733976	0.000465255465547051	0.00011952894706119468	0.00012321493390910426	0.00022036968647468525	0.00015472498839116141	0.0003110997970508389	0.00020691686386544827	0.00045798126852421636	0.00016206742466700933	8.956188174708446e-05	0.00020870046508399479	0.0002443550662388463	0.0003375171694134179	0.0002149328840704101	4.162156458365591e-05	0.0003949764261364459	0.00046889910633412407	0.00023215903799299957	0.000190889477761114	0.00019899701273223534	0.00022433644326865933	0.00021259178041732076	0.0003763496101135411	0.00013716250657454983	0.0003792898910860391	0.00022231253721888972	3.301481745343507e-05	0.00011951924818740027	0.00043197414599801897	0.0009054930126251353	0.0006830437671253736	0.0006361380660317675	0.00015418184551458554	0.00038025207958538226
SHSU.bins.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.38450319128008e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.89185592264234e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029815469298053604	0.00020505578434290052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008041337250963209	0.0	0.0	0.0	0.0	7.998907258177036e-05	0.0	0.0	0.0	0.0
CMU.bins.320	0.0864408163792579	0.17543358224191105	0.09871157585248681	0.058266559253928304	0.08816207347856327	0.248473404645738	0.022970334466368994	0.0718825749688667	0.05946661830689616	0.004933191133882919	0.06265612227865908	0.04754004754215321	0.018156809936746433	0.016451256159398315	0.015130560889374128	0.007825739489154146	0.016380090641140443	0.032598452977503654	0.0451654769395836	0.019192795894977965	0.011964686359286039	0.01548171552321735	0.03152805344179828	0.013563566531766982	0.04816174557359517	0.025923728114414478	0.010258547578240323	0.034258928865473284	0.02888341035189241	0.044772662034853875	0.11520102620919502	0.03319430138177681	0.07674086216110028	0.07153144548012207	0.1515861462629148	0.10374034713800094	0.012104119297294146	0.0540007304092888	0.11055542620896962	0.047068053510882786	0.05440344791190975	0.04781634344791772	0.07703793142457578	0.08430128223467168	0.041341941080936986	0.09454750231810584	0.1614773949182007	0.052859723605056794	0.0059587881403748355	0.05128053321549827	0.059037058353016016	0.03346824498818802	0.09989172859144894	0.046475129824164955	0.003633474736942565	0.03945921910782309
UTK_active.final.26	1.810975733648452e-05	0.0001498009848365451	0.009144259468513206	0.0	0.00014763626907919754	0.00018887847312525646	0.0002910663859095499	0.0003340202966215855	0.00017814962589835764	0.0010720524550659495	0.00963151335027599	0.0006635409750573043	7.82491667985048e-05	5.085577812754569e-05	8.963790489038918e-05	0.0004777862856516943	0.0016875948600005059	0.0001973157319696656	0.0002753603569547604	0.0011009595218861082	0.00019479531700692036	0.0003605378288966968	0.0044420460258132125	0.00024025424399288652	0.00021670519808137883	9.817043679396066e-05	0.0	0.00241006135740052	0.00043323414528053457	9.205473362327878e-05	0.0	3.1253502885665544e-05	0.0	0.0	0.0	1.542917457433839e-05	0.02179336373478409	0.0	6.200601948235726e-05	0.0	8.221916595715796e-05	0.0	3.6839725463259816e-05	0.0	0.0	0.0008615563169222287	0.00040841583656199337	0.00021856805625513373	0.0	2.8599396216251257e-05	0.0	0.0	0.0	0.000930356056571889	4.767802398226094e-05	0.00042461671420387383
SHSU.bins.173	1.2364794912511231e-05	0.0	0.0	0.0	0.0	1.0316834532059914e-05	0.0	0.0	1.6218022447322273e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00011184604982273039	0.0	7.519321856140862e-06	2.5492597014913114e-06	1.582529543977421e-05	0.0	9.971214692921488e-06	0.0	1.0935893816208087e-05	0.0	0.0	2.793950768071966e-06	0.0	0.0	2.5140839527394367e-05	0.0	3.41423181356436e-06	0.0	0.0	0.0	0.0	7.996847535742217e-05	0.0	4.7980566694665394e-05	0.0	7.484894388530436e-06	0.0	1.2073460790470814e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.76592524950471e-06	0.0
