OTU ID	43741_S2050_L003	43743_S2060_L003	43760_S1400_L003	43777_S2152_L003	43778_S1426_L003	43796_S1403_L003	43798_S1402_L003	43813_S2027_L003	43832_S1421_L003	43920_S1386_L003	43923_S2252_L003	43941_S2089_L003	43942_S1432_L003	43956_S1429_L003	43958_S1405_L003	43976_S1434_L003	43978_S1428_L003	43992_S1415_L003	43995_S2056_L003	44103_S2045_L003	44121_S2207_L003	44122_S1410_L003	44136_S1411_L003	44138_S1379_L003	44157_S2105_L003	44159_S2113_L003	44172_S1413_L003	44175_S2028_L003	44193_S1997_L006	54887_S2265_L003	54900_S1470_L003	54923_S2055_L006	54939_S2245_L003	54959_S2281_L003	54973_S2092_L003	54975_S2147_L003	55067_S2079_L003	55081_S2037_L003	55082_S1569_L003	55101_S2018_L003	55102_S1506_L003	55116_S1480_L003	55119_S2071_L006	55136_S1468_L003	55139_S2149_L003	55152_S1471_L003	55154_S1499_L003	55173_S2230_L003	55247_S2156_L003	55261_S2103_L003	55263_S2051_L003	55281_S2047_L003	55316_S1580_L003	55352_S1573_L003	55355_S2015_L003	60825_S2044_L003	60826_S1877_L003	60842_S1832_L003	60860_S1831_L003	60862_S1827_L003	60984_S1815_L003	61004_S1818_L003	61020_S1873_L003	61022_S1876_L003	61040_S1874_L003	61092_S1871_L003	61202_S1878_L003	61220_S1851_L003	61222_S1824_L003	61237_S2054_L003	61239_S2048_L003	61256_S1834_L003	65090_S1706_L003	65109_S2188_L006
UTK.bins.58	0.00032488725525852563	0.000911944673964969	0.0007721090164498518	0.0002332183752010702	2.6100864490654495e-05	0.0005927603619042399	8.0799007559943e-05	1.0742855410170355e-05	1.8021341062855447e-05	0.00023221228646626207	0.0001264367447465012	0.00014535545220541301	0.0001817307083711252	5.656535253188572e-06	3.2174403701105315e-05	4.809270053404841e-05	3.0833502750926076e-05	5.6016637600212855e-05	1.1894623247027536e-05	3.8193601552495e-06	0.0012984449087323389	0.00011213591327535005	0.00035974239780553317	0.0	0.00011423981641953072	9.393904816616887e-05	0.00014230959135860618	1.9652253294638194e-05	3.0648407465170857e-06	4.166027068621858e-05	0.00041622866268057734	0.00016177696599288115	1.907592535955055e-05	1.841511807979694e-06	0.0	5.469290099669388e-06	0.0001898872435921221	5.579008853304212e-05	0.00045749585795861283	0.0001893569594855972	0.00010923417801244858	5.4342983172301035e-05	1.5783699427425056e-05	4.7764216329602634e-05	9.063944816706883e-05	5.8567503229019135e-05	1.2689299472229202e-06	4.956388363010729e-06	0.0	0.0	1.341650606442688e-05	0.0	6.187164391967792e-06	2.9279847283095027e-07	1.3100609520568389e-06	0.0	0.0	0.0	0.0	0.0	1.596394579129973e-05	0.0	2.8989560373748847e-06	0.0	9.322550682428907e-05	0.0001065490303791318	6.204909745115084e-06	1.842507614140621e-05	1.1142519655493257e-05	4.281983411822574e-06	4.5877317497456185e-06	1.37137859796744e-06	0.0	0.0
CMU.bins.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.060630808410583e-05	0.0	0.0	0.0	5.656833175001001e-06	0.0	0.0	0.0	1.288754846337992e-05	0.0	0.0	0.0	4.328491835953842e-06	0.0	0.0	8.763756677376168e-06	0.0	0.0	0.0	0.0	2.966067591686212e-06	1.2775693859129775e-06	0.0	1.1889850361826035e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.775359731867584e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4477483242425255e-06	0.0	1.2287135550338389e-06	0.00013598986057729136	0.0	3.5831588781659295e-05	0.0	0.0	0.0	0.0	0.0	0.00014370557133972745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.762602224809186e-05
SHSU.bins.42	0.0028791582717786635	0.00134504661912399	0.0007573541680464783	1.552137935637798e-05	0.0016447715309190734	0.0008815861833418665	0.0021137389977715667	0.0017876020010502965	0.0005171174304983451	0.014219472070048023	0.011179204998804456	0.013235200111352078	0.012682215584185332	0.031993094382498616	0.0035952499135709455	0.006642396692595658	0.006066919367171894	0.00042915896467840526	0.00036840164765096544	0.0003370981872242656	0.0002975232761732802	0.0004708605038024432	0.0005504318425444733	0.00043579314119262077	0.0012701395822370127	0.0006149939879943949	0.0003245312987074422	0.0009561517283745661	2.4816867898839287e-05	0.03957344245330989	0.000621028723362512	0.0015463157661154967	0.0006707445478042926	0.0005166749022388711	0.0015670687619647053	0.001321949354897683	0.01886908633174709	0.009927175009483737	0.00211535872065894	0.006666983277717699	0.0001900035661194227	0.00017821233352083803	0.001506450436238346	0.026833376803049664	0.0001121287372159233	9.315383104125573e-05	0.005335745116601657	7.825984783698155e-05	0.0014767756341872178	0.005200255635990426	0.0020260831566867245	0.010284722092168562	0.001003653639152336	0.0007539370330388629	0.0009276643360510752	0.0001761075236976432	0.0030157276344296166	0.004389636443340996	0.001293841123523639	0.0011210764391647117	0.0015123956065370738	0.0010920749960680993	9.506838982866789e-05	0.0007909231523358071	0.000679385607543585	0.024662555133093532	3.014571087498497e-05	1.4919315853416117e-05	0.0	1.6002663781391681e-06	0.0	0.0	0.0	0.0
SHSU.bins.192	0.0007066576721783012	0.0006802409068028286	0.0004499113013149632	0.00020816630431008147	0.00021378238401876677	0.00010312739337216742	0.00017661698652513306	0.0	4.054144239103698e-05	0.0002968417849652022	0.0004293311763363011	0.0004513250178975	0.00020233774932035451	5.625851260494379e-05	0.00021768642504103546	0.00015618560925842386	0.00011682376011200485	2.993117743405813e-05	3.849479379945988e-05	9.466463141229102e-05	0.0001038443847031842	4.096935092894288e-05	6.19551847886959e-05	0.0	6.992002650743714e-05	8.961153825064836e-05	6.052144408339119e-05	2.8350298097250905e-05	3.032086954569518e-05	6.313798979128438e-06	1.60104861803582e-05	6.662505023140994e-06	0.0	0.0	0.0	0.0	2.3531917402186037e-05	7.266218434750783e-05	2.6999823158201094e-05	2.5931823190618884e-05	0.0	0.0	9.64551587230824e-07	1.4972496237987524e-05	0.0	0.0	0.0	0.0	5.234917475670776e-05	1.7601925767893358e-05	0.00010378457729161274	0.0	0.0007397345077444143	1.4699179644144217e-05	4.157046847868173e-05	0.0	7.5019231881271625e-06	0.0	0.0	7.57255034001778e-05	4.536390719870972e-05	2.747317486971427e-05	0.0002553720192468777	0.0	0.0001236262958971992	0.00034747003320972155	2.938688700399117e-06	0.0	0.0	3.119967737241013e-07	0.0	2.59798042782053e-06	0.0003327345917212198	6.829729227040689e-05
SHSU.bins.235	0.0	9.93783714706183e-07	0.0	0.10676292118066835	1.832495734447988e-05	0.0	9.890958925445593e-06	1.7096028835511168e-05	0.0	0.0	3.0486307088519613e-07	0.0	0.0	3.7507194069600854e-06	0.0	0.0	1.9627191658680632e-05	9.142990769268656e-06	3.154822665519357e-06	1.2029524544091257e-06	0.0	3.823958006638033e-06	2.6022228011333466e-05	0.0	4.894603775470084e-06	0.0	0.0	2.075968814218687e-05	9.754684601836836e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7342181913085066e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89914804651696e-05	4.6129564021479605e-05	4.69083122833373e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.477	2.0300303455318178e-05	2.551902287653489e-05	0.00010119591904955926	1.8533375261206858e-05	5.007794694138528e-05	2.7211695251147883e-05	2.7961792616239538e-05	4.833061084302087e-05	5.067214298852139e-06	3.6980180584859276e-05	2.3126301722769604e-05	3.1204285620205765e-05	3.2272927486599145e-05	3.923224465886924e-05	1.8093531081345927e-05	5.0226970113966104e-05	4.1614652915550617e-05	9.692731236411355e-06	3.0100643625130168e-05	6.354043259187167e-06	4.04590890401666e-05	1.0810360495552715e-05	5.517376026453993e-05	0.0	4.842978788385601e-05	8.092694842018458e-05	7.839559576604218e-05	1.1686739391184057e-05	1.1490238175155625e-06	0.0028835135400573897	0.023777643723243463	0.019457102315347655	0.008759917624323621	0.03705957416058766	0.042784524422003076	0.03617018402981954	0.04402944410777168	0.10611464285861127	0.03892965301885978	0.0832389049821301	0.024735260607633976	0.019521834576532723	0.030617607768954183	0.01306195982481039	0.035258311846807236	0.05132665159348134	0.0023734060401658977	0.02640558927017777	0.0003107947682403666	0.000100321792977635	0.0004803565548964966	6.286252678780322e-05	6.262912672280959e-05	5.5324869424434256e-05	0.00016355240401461494	4.0768953171009176e-05	2.6723164532836802e-05	9.882725749504464e-05	8.557850494162573e-05	6.743688237127065e-05	0.0007002406115261936	0.0006361172812127311	0.00035865488276465236	0.0020464004766757218	0.013903383289326877	0.001533916941220746	4.88512146948978e-05	0.00038682854694749123	0.00013785371810967227	9.187462170975626e-05	7.481842702624794e-05	0.00014498644806817013	0.0003457003206192755	0.00048657361617516674
SHSU.bins.22	0.0031256871922993915	0.0005129231566216416	0.0020431740789075203	1.4734752642397909e-05	0.0005061396595146158	0.0024482854426526117	0.0005057486773202739	0.00020172950525821623	9.400138554397613e-06	0.0022166866344835454	0.0005630468984775534	0.0004888911810519089	0.00010643401090270707	9.048238845629714e-05	4.315515496424968e-05	0.0032038020694046096	0.00043746058552701617	9.290121894293527e-05	0.00013236000274885256	6.9727833357374444e-06	0.00018227690314966794	6.016254993154509e-05	8.285658640422583e-05	0.002620143366676233	0.00022735405312065849	0.000168197526716532	0.00035751763365821283	5.8677281922387976e-05	9.94719255450927e-06	2.4338141053611367e-05	0.00010579969601628438	0.00021279623157548515	1.608117314611309e-06	0.0	0.0	0.0	2.491253571913246e-05	0.0	0.0	2.8560228905864767e-05	0.0	0.0	4.9928929515405625e-05	1.433919510102832e-06	0.0	0.0	0.0	0.0	0.0009224836838214799	0.0001240706413152536	1.3996400937544085e-05	0.0007968731621038433	3.872753693478712e-05	1.2218158535421455e-06	5.466745799938259e-06	0.013159628023555869	0.00024373812661821623	3.9855100104615966e-05	0.018447428909609376	0.0006785802842354957	0.029044504523388106	0.021331762016549422	0.00014214012731680236	0.017582668940398036	0.036412242900887064	0.0030932694980489403	0.00025892395598083013	0.0006279015111334855	6.974476410295193e-05	0.0009215899177695224	5.743232811154359e-05	0.00027182419013341313	0.00916150022137326	0.030840114025217913
CMU.bins.320	0.0	1.2846243407259357e-05	1.6141487253324823e-05	2.5942218567328285e-06	3.947989774215891e-05	3.110661800082743e-05	0.0	0.0007872897266292374	2.3170045366513674e-05	2.642082056244732e-06	4.597646354437359e-06	1.3182657106940072e-05	0.0	2.424202122801596e-06	0.0	2.649977878412274e-05	0.0	1.47734645537713e-05	3.568348074107453e-05	1.227638353473551e-06	4.404776351153626e-06	8.238469567204964e-06	6.006766764280422e-06	0.00023065307946034324	1.8077311477425808e-05	4.4542029130472775e-05	2.2404191362544264e-05	3.7755178802559418e-06	1.7513187694429566e-06	0.0	0.0	0.0	4.954731853126167e-07	2.3676329102594976e-06	0.0	6.328682305339148e-05	0.0	0.0	0.0	3.519849618669348e-05	0.0	0.0	8.51000776961668e-06	8.836035210901917e-07	6.47417972619117e-06	3.5857273099313196e-06	0.0	0.0	0.0	0.0	1.149973848382157e-05	1.1976717436362546e-05	2.2980629027378406e-05	0.0	0.0	0.0	1.527409016141732e-05	0.0	7.826224037407549e-05	0.0	0.0	0.0	0.0	0.0010342217376736612	0.0	7.828009203313964e-06	0.0	1.5792751049738234e-05	4.775311780922517e-06	1.0163723401663852e-05	5.898448692537704e-06	2.4684544563473433e-05	7.527281360263885e-05	9.270315908173113e-05
UTK_active.final.26	0.0036213338325062354	0.00255055568813492	0.0034945421218545492	2.6133607497738677e-05	0.008889935167116557	0.00017092413901497906	0.008939867836456948	0.0021705822869723065	0.0011776582694554586	0.04154377189109876	0.029851589315694073	0.021638701816989243	0.048584062237944654	0.08811759901934947	0.02021029732484305	0.01548324795247566	0.031628592615570536	0.000901064725680958	0.0028262515586955925	0.0004908554213969972	0.000539733680494433	0.0006926094114043899	0.0013136349015346511	0.0032952147065611302	0.003051943236466123	0.0018243196643865436	0.0014444460167904027	0.0025884200436738004	5.9663295331938146e-05	0.059696533056319764	0.001594143916664255	0.0015801786631835487	0.0006691951476938662	0.0009366943040589118	0.001732460979058851	0.0007650446560257149	0.03788487869717326	0.013203606332800601	0.00661713781336813	0.013332269555619248	0.00034678879067918044	0.0003839139506697694	0.0026106842361015626	0.049102705619067495	0.00035099880780094017	0.00024037395429481306	0.010029522211677785	0.00030346435161257004	0.018975281724188973	0.059843171811073716	0.015234758666587576	0.09388384909831261	0.007314158699064124	0.0037886951660273662	0.004659025229497707	0.00020486501593440095	0.01319904227534222	0.022412200369277158	0.007138564078053755	0.026473066286231434	0.0161500467305789	0.0023768865561449586	0.0009461804490053544	0.0030308401173494513	0.0008957026253693377	0.07144065383641884	7.013675307618386e-05	0.00012148889730707161	5.7726501395940374e-05	3.909321323763402e-05	0.0	0.0	0.0012408229945436947	0.0007131376237068341
SHSU.bins.173	2.7859571018260964e-05	0.0002621802362663077	0.000904325772142637	5.606018361634211e-05	0.00041709340784068874	0.0012136986219975312	0.0006139843574473236	2.4872844580247554e-05	0.00013734364810019875	6.343824815796784e-06	4.435423212499314e-05	3.072150457966692e-05	0.00010580502487373387	5.3841292180479865e-05	7.804051897720381e-05	0.0006680917685013679	8.566626541623495e-05	0.0011484099758629158	0.0002203162845755286	9.825481627622607e-07	9.518560597866717e-05	5.439807133348071e-05	0.00013340969031162185	0.00013845356767070978	5.696891574754059e-05	4.627580509662687e-05	3.1379849709660434e-05	2.7021515280173355e-05	1.0512589415507961e-06	1.671898585431514e-05	6.848567360414488e-05	0.0015688134641675805	0.0016572046181097854	0.0006850251029683713	0.0011228456160519331	0.00158287542625742	0.0010585360430064893	0.0009687779912794523	0.015284689259041612	0.010507909861602467	0.012564268372245153	0.02156133484571025	0.04530930109762186	0.004192272406630767	0.0852303958893887	0.0628983642072586	0.0005856297771882048	0.02458941732037482	8.530528775126497e-05	1.1473241196891473e-05	3.451456844810542e-05	2.156769438740607e-05	1.0611173242176342e-05	0.0	1.0110582629991801e-06	0.0	3.0561784322087747e-06	0.0	0.0	0.0	2.464079396022639e-05	0.0	0.0	2.9562363218453743e-05	0.0	1.644614609145507e-05	2.3943614929391516e-05	3.791954152317914e-05	3.1531098854914624e-05	3.7114118769978665e-05	9.559743853400498e-05	3.17513990070687e-05	0.0	5.5646699849863244e-05
