OTU ID	25237_S2128_L003	25238_S1254_L003	25257_S2039_L003	25259_S2215_L003	25439_S2295_L003	25453_S2144_L003	25473_S2258_L003	25706_S1262_L003	25727_S2076_L003	25741_S2063_L003	45075_S1891_L003	45507_S2219_L003	45707_S2218_L003	45721_S2160_L003	45849_S2108_L003	54509_S2061_L003	54528_S1905_L003	55391_S2092_L006	55427_S2122_L003	55441_S2116_L003	55461_S2026_L003	55462_S1886_L003	55479_S2297_L003	55515_S2105_L006	55569_S2264_L003	55590_S1890_L003	55593_S1952_L003	60371_S2038_L003	60387_S2032_L003	60431_S2069_L003	60445_S2068_L003	60483_S2287_L003	60501_S2191_L003	60516_S1722_L003	60536_S1731_L003	61869_S2035_L003	61884_S1896_L003	61921_S2267_L003	61923_S2174_L003	61940_S1999_L003	61957_S2205_L003	61978_S1930_L003	61992_S1893_L003	62012_S1995_L003	62028_S1937_L003	62030_S1901_L003	62048_S1615_L003	62063_S1904_L003	63598_S2231_L003	64080_S1883_L003	64082_S1895_L003	64101_S2167_L003	64116_S1612_L003	64118_S1945_L003	64136_S1614_L003	64138_S1998_L003	64152_S1929_L003	64155_S2280_L003	64190_S1863_L003	64208_S1857_L003	64210_S1865_L003
UTK.bins.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02495551650431373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.779457337096416e-06	0.0	0.00038100156109101665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.204	1.987195468011642e-06	2.020328184753962e-05	5.243509376053685e-05	0.0	0.0	0.0	0.0	0.0	5.0339642536752905e-06	2.2830377335370977e-05	0.0	0.0	0.0	0.0	3.301871078872124e-06	0.0	0.0	2.231040702289799e-06	0.0	2.555461677702347e-05	0.0	3.9113688437057513e-05	0.0	0.0	1.0960623633401197e-05	2.191529235514252e-05	0.0	2.8090554500694765e-06	3.3462230030080552e-06	7.513194001884387e-07	0.0	0.0	0.0	1.4227700870877198e-05	6.199888433192514e-05	1.105468723855719e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.911603458273869e-06	0.0	8.60609823877813e-06	0.0	2.2957362791792088e-06	0.0	0.0	0.0	0.0	4.741570439133553e-06	0.0	3.6388817015610403e-06	9.626856868395436e-06	0.0	0.0	3.663869691752681e-06	0.0	4.686211536264222e-05	0.00015243174258375882
SHSU_advanced.final.136	0.0	0.0	0.0	0.0	0.0	0.0	6.171304277408154e-05	0.0	0.0	0.0	0.0	0.0	1.6339944491028512e-06	0.0006473232706151541	0.0	0.0	0.0	4.199125680737245e-06	0.0	2.404864055443717e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4760727229650794e-05	0.0	0.0	5.35570069282841e-05	0.0002722775936824155	2.080644268472223e-05	2.2808584679948997e-05	0.0	6.382774752378068e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1284358539456676e-05	0.0	0.0	0.0	1.784858338303277e-05	0.0	1.3697759135159327e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0001434486836101272
SHSU.bins.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2590624837273045e-06	0.00024939524179514794	3.1923943762570436e-06	0.0	0.0	3.235605793374319e-06	0.0	0.0	0.00018957594359813752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1267922222274326e-05	0.0041960307437262	0.0	0.0	0.0	4.9182003879564893e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.251850727784732e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.256	7.520844622004641e-07	0.0	0.0	1.4058562161221516e-05	0.0	2.0891882683665147e-05	1.240942354699301e-05	0.0	5.715544306784211e-06	4.320254166557546e-06	0.0	7.427878886032618e-05	1.314272478628737e-05	1.859508387945449e-05	6.664768159201983e-06	1.685200012009578e-05	6.5682900751377055e-06	1.6887445531194815e-05	1.579401883918471e-05	1.9343077858945593e-05	0.0	0.0	0.0	0.00014489369627090424	8.296434180924945e-06	1.658836151188746e-05	0.0	2.8350128542283963e-06	2.0262865440392643e-05	2.2747873950258425e-06	4.978953446178798e-06	2.9324131135165602e-05	1.4378789191908521e-05	3.2308172082027165e-05	1.564296338226659e-05	8.367633666709619e-06	9.172818273451802e-06	2.104506167914519e-05	0.0	0.0	1.5070003669062487e-05	1.3847468170280907e-05	5.231605846881627e-06	5.120030864540912e-06	3.25710885497356e-06	0.0	0.0	2.4904717135171055e-05	0.0	2.6678153602445375e-06	5.0880829550029084e-06	7.178085345380387e-06	0.0	2.478943605434767e-05	0.0	0.0	1.4349655408945973e-05	7.131333894668673e-06	0.0	0.0	1.44225283521396e-05
SHSU.bins.59	3.329145311350284e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1156083946476984e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5154410202260456e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMU.bins.224	0.00011555647650975321	0.0	0.0001393888868304254	0.0	0.0	0.0	0.0	3.330922108511951e-05	2.509097527380087e-05	6.954089843536379e-05	0.00016146109758846832	0.0	1.7308784401557472e-05	0.0	7.314498574722158e-06	1.8494875131803727e-05	0.00028834476402817114	1.4827004344373379e-05	0.0	4.2457583275315725e-05	0.0002171808297536602	0.0	0.0	0.00031803814791521055	0.007684822536186298	0.0	0.0010660018545415569	1.555696949255212e-05	2.2238258678302485e-05	8.23863230895584e-05	4.371472540544534e-05	0.0	2.1040728280823026e-05	0.0	6.867181362787657e-05	0.0	0.0	0.0	0.0	9.57647598536671e-06	0.0	6.078973591738451e-05	0.00020669856370514832	0.00011238349419656565	0.00020017975577336624	0.00016653025497583216	6.865634234913988e-05	0.0	0.0	2.3423156383009982e-05	0.00015635503788759907	0.0	2.0253047446392495e-05	0.00014509922202464822	3.1988997885583544e-05	4.590442535025208e-05	0.00018898288806518134	4.522008742977705e-05	0.00021428209864556228	0.0	0.00012662839553194603
CMU.bins.256	0.0011923458608036487	0.0006471702291820996	0.0017699537518347033	0.0022646534314063617	0.0005057265377463195	0.001787283587388623	0.0011745522624728505	0.0038946737761029943	0.007330353995689165	0.0022739181298080794	0.0069657467388642745	0.0034814482404828986	0.029881948240443018	0.030597372447102728	0.0012692227303180501	0.0006326496045085774	0.0006157111726613685	0.0018197134649945116	0.00035216493790104787	0.0006073401897660948	0.00029265928924192616	0.00016166812313936032	0.00015379031972576155	0.0034285482385100832	0.00027937053772455014	0.0002566492224480966	0.0008839867440051512	0.002462740394582556	0.00287797374661366	0.009188926556227403	0.029634890274857682	0.003466908651935833	0.011462170152981458	0.002832542779774561	0.0159592314910848	0.002627298181368935	0.0035521373058931206	0.0011204526361581271	0.0021259022838210277	0.0009211944347858409	0.0009737766139989708	0.0015375096520020724	0.0008475060561938892	0.00078283337102655	0.0012212849081570875	0.0005523838333347455	0.0025114033054059797	0.007872554374942428	0.004718840015701879	0.0008279369014565913	0.004158323145958186	0.0021002793743840555	0.00534289032634114	0.008791188228542472	0.0013462458214387773	0.0004377643875122753	0.004414135656247594	0.0023202471681216057	0.014115589545732462	0.017604654257887428	0.0898336297359688
CMU.bins.171	0.023099448303333683	0.03277644299732378	0.021266803413543384	0.026979417904764838	0.006261757210266172	0.006509801589836931	0.003686024668407058	0.05623397376722132	0.08138293940104828	0.059424290298669566	0.02405603319122399	0.01330290742306203	0.030792495156355255	0.16618861785989067	0.09896134236389947	0.03240158023090987	0.04910034579443492	0.06881460623946165	0.017730593432538577	0.03483945014934041	0.016783931662535407	0.010690875852742622	0.0027557234534601126	0.0018987512890434	0.0014254427720158862	0.025554382248062304	0.002121415505561583	0.046542304457051306	0.033663764054352646	0.06884916168973343	0.11139739103318853	0.010925187697260039	0.029755389397134468	0.06369524556085256	0.06946962390237876	0.01493720061992139	0.012888616384223832	0.0037690489216309782	0.005643746018950125	0.002096359815703895	0.005507610513584362	0.024517735613163946	0.016301409080864932	0.03409925709382901	0.023171916565411056	0.029881798098475115	0.10121301230828164	0.03220109876071612	0.009420581034970421	0.014476117528554633	0.02469995392709135	0.04219328444964483	0.04654550413130547	0.024696775046668673	0.06268411065445154	0.051431680308754196	0.016088227943124124	0.012301070300830781	0.024662178447799228	0.046001222447834035	0.022721903403886204
SHSU.bins.544	5.2873633827447924e-05	7.011549641188686e-05	2.426346948545792e-05	0.0004297202177601755	0.00029539615709387384	6.385902397643447e-05	7.58623911173485e-05	0.00023192604666703544	0.00023487954384084875	0.0002817166351942984	1.1242240350681091e-05	0.0002270437248171404	0.00028723422347431293	0.0010230939783872296	0.00036414612869839497	0.00010302114073418016	0.00022084620606252457	0.0003355224904220255	0.00019310669916663742	0.00041387386117138446	0.0	0.0003619844365915651	0.0003099112897504616	0.00022144405373432873	0.0	0.00030422817104808604	0.0	0.00014948205395015371	0.0002167771761079277	0.00021554988267503462	0.0002587211023995865	0.00022408340225844466	0.00016324590217878427	6.583636163848543e-05	0.00033470441516158074	0.00020461504739684297	0.00014019014417922243	0.00024122728778464583	0.00011769291524886737	6.0011301174832834e-05	9.212729186359397e-05	8.465355938083986e-05	0.0001119380874220549	0.00010955077593955285	0.00012942572847442799	0.00027055439183745517	0.00014341247744006154	0.0002791243839303383	0.000172267804066831	4.892735226697628e-05	0.0001710770848639659	0.0001755266644299954	0.00016217114955263443	0.00010103008337255497	8.90933780367127e-05	0.0002556993118187065	4.386177347657376e-05	8.840272497535885e-05	0.00018650063363520283	0.0	0.00017633807985231633
UTK_active.final.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2178894071775995e-05	0.0	0.0	0.0	0.0	5.983246015643108e-06	0.0	0.0	0.0	0.0	1.7867061267446293e-05	0.0	4.766167279602641e-06	0.0	0.0	4.878149830195279e-06	0.0	0.0	3.1634568011352336e-06	7.554671626069992e-06	0.0	0.0	1.967896904638292e-05	0.0	0.0	0.0	0.0
SHSU_advanced.final.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.211572800524633e-06	0.0	0.0	0.0	0.0	0.00013277925703079858	0.0	2.1729975377904775e-05	0.0	0.0	0.0	3.3170238994914114e-06	1.0426705227043185e-05	0.0	0.0	8.07017810770976e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9735643257007196e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.428416076281119e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5565283115299192e-06	0.0	0.0	0.0
CMU.bins.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006871645985440738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.426712823096868e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8434223085475372e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.64	3.7658484603688634e-06	1.9143172750595292e-05	0.0	0.00010559136276501787	0.0	0.0003138303302264924	9.320498308672175e-05	0.0	1.4309473015542455e-05	2.1632422845525828e-05	2.7624581032845523e-05	0.00013947371152885435	6.909886361881461e-05	0.0	2.0857445498223883e-05	7.383388052617714e-05	0.0	8.455898766701415e-05	1.9770993057703762e-05	2.4213713578835293e-05	0.00012385901275040304	0.0	0.0002538392525584379	0.0001813783102958555	6.231304780478075e-05	0.0002491843626677501	0.0	7.452647194070064e-05	2.219448767303085e-05	5.125659636843326e-05	0.000149584141387363	0.00010324122878965	3.257037043470501e-05	8.088694515487466e-05	0.00017623711063781454	6.284781998589122e-05	0.00011482563342307845	5.268855470031235e-05	0.0	1.0923003123916946e-05	0.00015091757667141237	0.0	1.3097880868454994e-05	2.5637096326056312e-05	1.6309044767327787e-05	3.165761504489925e-05	2.610330717436315e-05	8.313544712750117e-05	0.00011287970645453489	4.452772532202883e-06	1.273855838373832e-05	8.985545179103531e-06	0.0	6.895894571475886e-06	0.0	1.308973653350749e-05	7.18518120765411e-05	2.0829714816079002e-05	0.00015275716754960245	0.0	7.221670174880853e-05
