OTU ID	43654_S1316_L003	43849_S2090_L003	44048_S1317_L003	54815_S2153_L003	55009_S2121_L003	55209_S2162_L003	60699_S2212_L003	60878_S1804_L003	60898_S1837_L003	61057_S2062_L003	61076_S1820_L003	61114_S1810_L003	63650_S1634_L003	63670_S1670_L003	64945_S2242_L003	64947_S2196_L003	64964_S1632_L003	65127_S2213_L003	65144_S1636_L003	65147_S2269_L003	65161_S2114_L003	65180_S1705_L003
UTK.bins.58	0.0	0.0	0.0	2.0061852198401686e-05	0.0	0.0	0.0	0.0	0.0	3.5850900115953092e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMU.bins.99	0.0	1.8576672340267209e-06	0.0	0.0	0.0	3.1164350348525996e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00030541849140265247	0.0	9.726770467196175e-06	0.0	0.0	0.0	0.0
SHSU.bins.42	0.0	2.56606727073472e-05	0.0	0.0	0.0	0.00020178995053194045	0.0	0.0	9.430275569741038e-05	0.010128397337671721	0.002498447166321628	0.016420684460363655	0.0	0.0	0.0	0.0	0.0	4.198736038337563e-06	0.0	0.0	0.0	0.00043220610560999414
SHSU.bins.192	0.0	1.563420760316172e-06	3.909901308073314e-05	0.0	0.0	0.0	0.0	0.00017451134768049843	0.0	6.7917015853085816e-06	0.000308503800537098	1.0852430447854363e-05	0.00012863222968651777	0.0	0.0	0.0	0.0006034324881589907	0.0	0.0	0.0	0.0	0.0
SHSU.bins.235	0.0	0.0	0.0	1.0642045105244505e-05	0.0	0.0	0.0	0.0	0.0	1.4263155659052447e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.477	0.00021966449554406333	4.529595895303255e-05	0.0004758649114456964	0.00038358560379346985	0.0002513644436859198	0.00031765817528951116	0.0001589456447818145	0.0004662295936542793	0.0005021158304682818	0.0007459581275692493	0.0006940696862042191	0.001417468885028207	8.086061466149782e-05	5.04451037396475e-05	0.0003483826707377078	6.104182829541816e-05	0.00032568668566443213	0.0002838266552728643	0.00021331240726456903	0.00017887260158943016	0.00011893318075110742	0.000800447335590107
SHSU.bins.22	0.020724152183726415	0.009887766116577537	0.032038166691453415	0.045071715445736724	0.00012823353167737452	0.05670995501156876	0.004686699546135654	0.0020180948262488387	0.0026729130363278212	0.005138831656586685	0.001359092290474774	0.005952306616829809	0.0002166719900048619	3.119338765537725e-05	0.20245824110833605	0.0	0.0	5.048861204369652e-05	0.0005653051517584293	6.720503308288164e-05	4.644874982058729e-05	0.0003712254607093126
CMU.bins.320	9.56594985431299e-05	2.2069910028163887e-05	0.00010614195078689819	0.00011463787113371123	0.0	0.0	3.825187174419106e-05	0.0007106176683936079	0.00014973555522918645	4.60935424348743e-05	4.4078642934315264e-05	0.0	2.0541018740579552e-05	5.766557827102898e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.4311227106879674e-05	0.0
UTK_active.final.26	0.0	3.358228399959084e-05	0.0002332909367816715	1.2598211124590008e-05	0.0	0.0	0.0	0.0	0.0	0.03752001384200897	0.011916366793272537	0.06711632323086056	0.0	0.0	0.0	0.0	8.18291012730757e-05	0.0	0.0	1.1377713828941977e-05	0.0	0.0005027832228555833
SHSU.bins.173	0.0	0.0	0.0	6.88133576805297e-06	0.00010780184300343402	0.0	0.0	0.0	2.9960452044521252e-05	1.1067377183561186e-05	0.0	0.0	0.0	0.0	6.374805294378716e-05	0.0	0.0	2.667919579572958e-06	0.0	1.5536713400874448e-05	0.0	0.0
