OTU ID	25850_S1299_L003	25870_S1333_L003	25884_S1298_L003	25886_S1339_L003	25904_S1305_L003	25906_S1310_L003	25920_S1304_L003	25940_S1329_L003	43294_S1334_L003	43310_S1397_L003	43328_S1300_L003	43330_S1391_L003	43344_S1383_L003	43346_S1396_L003	43364_S1385_L003	43474_S1326_L003	43488_S1321_L003	43490_S1318_L003	43508_S1323_L003	43510_S1324_L003	43524_S1322_L003	43526_S1319_L003	43544_S1320_L003	45186_S1774_L003	45206_S1776_L003	45220_S1769_L003	45222_S1772_L003	45240_S1781_L003	45242_S1782_L003	45256_S1777_L003	45364_S1747_L003	45384_S1744_L003	45422_S1755_L003	45456_S1752_L003	54654_S1756_L003	54672_S1763_L003	54688_S1725_L003	54690_S1758_L003	54700_S1737_L003	61310_S1591_L003	61328_S1586_L003	61330_S1590_L003	61344_S1603_L003	61474_S1563_L003	61488_S1561_L003	61490_S1601_L003	61526_S1588_L003	61544_S1592_L003	61668_S1527_L003	61688_S1541_L003	61690_S1543_L003	61706_S1599_L003	61724_S1554_L003	61726_S1600_L003	64426_S1988_L003	64441_S2098_L003	64442_S1983_L003	64461_S2134_L003	64476_S1932_L003	64479_S2030_L003	64496_S1946_L003	64498_S1934_L003	64512_S1882_L003	64532_S1880_L003	64623_S2021_L003	64640_S1992_L003	64642_S1987_L003	64656_S1619_L003	64658_S1613_L003	64676_S1941_L003	64692_S1617_L003	64694_S1984_L003	64713_S2247_L003	64802_S1978_L003	64820_S1621_L003	64822_S2009_L003	64836_S2011_L003	64838_S1897_L003	64856_S1958_L003	64858_S1963_L003	64872_S1954_L003	64874_S1884_L003	64892_S1997_L003	64894_S1939_L003
UTK.bins.58	0.0	0.0	0.0	3.6151848337164276e-05	2.901249110461292e-05	0.00012489451080201515	0.00011954617936885943	4.408339095288013e-05	8.671818388616305e-06	0.0	1.0612040836329368e-05	0.0	7.589559258522502e-05	2.0575419453688968e-05	0.0	0.00014931245843241263	0.00017687492422275441	0.00013472956321689192	8.093180728724675e-05	0.000388730335603813	0.0031976398473497897	0.0003969011341838574	0.0008668515511767455	2.8048239689827007e-05	0.0	0.0001363757537202689	0.002308428711898908	0.0022416574962205653	0.00014680476804980876	0.00022776859835216257	0.002011322358778746	0.0033818751047808133	0.0005468270877169414	0.0015379221529583495	0.0	0.0	0.0002236989630653088	0.0011939335548198059	0.0010522395358209646	0.0	2.6699055902658127e-06	0.0	0.0	0.0	0.0	1.8227318215410446e-05	0.0	0.0	0.00021746018483429603	0.0	0.0	1.312015325595947e-06	0.0	2.577036120937203e-06	0.0	0.0	1.0599899885603469e-05	3.068526434875327e-06	0.0	2.033128181729122e-05	0.0	9.915782201558178e-06	0.0	0.0	0.0	0.0	2.796841859178312e-05	1.7534224450091653e-05	6.41455370244489e-05	8.053559277875207e-05	0.0003764793373472889	0.0001599193264585112	7.053408161377465e-06	3.7611557913079806e-05	1.8780666688090984e-05	0.0	0.0001532909323080379	3.6855652991305103e-05	0.0	0.0	0.0	0.0	3.8527189835212585e-05	0.0
CMU.bins.99	0.00012750848948362215	0.0002551770819278515	0.0003439157707358213	2.8553278788515242e-05	0.00021768770831410354	1.5413054630803888e-05	7.400857770133329e-07	5.51280711916153e-06	0.00017893381611685478	0.00017226258491877052	0.00034835835876076876	0.00039655389793414036	0.0004270974019995115	0.0004245516474596109	0.0003810805491875908	0.00016804918572596732	0.00014745932354203804	6.650719665162202e-05	0.00024669593173099906	0.0002657200216796478	4.903133565932248e-05	7.158765255829214e-05	0.00012412593191958522	0.0008418104206389926	0.0003749515022433348	0.0002558147932527658	0.0004259190699423941	0.0005256158391138117	0.00018358525002340028	0.0002777130979908291	0.00034584562449684384	0.00045515758868951557	0.0005128721915843702	6.631846228367625e-05	0.0008369978826639707	0.0006440621777099364	0.0003283959479012658	4.479187555987625e-05	9.25220043568239e-05	0.00011748095908753088	3.505766155911609e-05	3.5235644951687675e-05	0.00026382240749574123	0.0	0.00016648525746534748	0.00011966856541424312	8.52881539461123e-06	9.45908803328265e-06	0.0005710795576501536	0.0005882548871236966	5.239284335913316e-06	1.968874588475442e-05	5.941861309824145e-06	9.668066579197464e-06	0.0005368185576908556	0.0006119957106194953	0.0005865607043425798	0.0005986213482783373	0.00042992966858815035	0.00022628349152431515	0.0002538627318978268	0.0003162022820938118	0.0002447812946083029	0.00046338152490168984	0.0005585610148488186	0.0005858294167681502	0.0005508671856072222	0.0005098090340113691	0.00022346072963421536	0.00018883683962026327	0.0002953217179191337	0.0005099636068178117	0.0008732370456969684	0.0010230069072409466	0.0011273280213812949	0.0009233847437612522	0.001389800476940252	0.0010024469045569469	0.0011708953116012309	0.0008663576904666238	0.0010578825653129846	0.0005765203476390294	0.0002890790837830508	0.0003722354160409497
SHSU.bins.42	0.0	0.0	3.42594410617731e-05	0.0002727025820242654	0.00010571499317516202	0.00015169591668227458	0.00017443154316766098	0.0004497642097218333	0.0	0.0	0.0	0.0005602245383547327	0.0007835487202092614	0.0020492409463961866	0.003807007791385724	0.00039897849236915275	0.0	0.0	0.0	0.0006001895167303188	0.01458287730383677	0.008770022313409905	0.0065583448411306805	0.0	0.0	0.0	0.0	0.00029171804950816336	0.00023774379347986485	0.0006362854553966657	0.0	0.0	0.0	0.005410611486314406	0.0	0.0	0.0006851641025329156	0.001585488138388831	0.0010650351350405252	0.004297910398296116	0.0013101110461539122	0.026508693202023183	0.08651585589945122	0.0	0.0	0.00015497136183145155	0.014910561689881868	0.028933476278210676	0.009719808428200059	0.009626287880047012	0.013829324566885882	0.04027254385518995	0.01831347703702361	0.029046852744559405	0.00023172774763658796	0.0	2.5749124580480874e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.397022292907663e-05	0.0	0.0	0.0	0.0	0.0	1.14226922896696e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.192	0.0	0.0001784145153314983	0.0008349262746175282	0.0007587651952171126	0.00254199759772206	0.00043429247324334053	0.00045182241966659526	0.000520563671252192	0.0	5.799080128944533e-05	1.0051888581045691e-05	0.0	0.0	0.0010719140673452745	0.00041235332322409285	0.0	0.0	6.716726661839008e-06	0.0	5.61678269240301e-05	0.00012792155389322967	3.6149101291842355e-05	0.00014102771808729848	2.6567698917341707e-05	0.0	0.0001291770819403253	0.0003943012466277615	0.0002654163195525081	4.6351887282569226e-05	0.0003020440978148016	0.0001111339482986049	0.000488405039550693	0.0002988245159641864	0.001155347839784403	0.0	0.0	8.291383966861377e-05	0.0014777247153890127	0.0009551684017416048	1.4830880409623567e-05	7.586929988174143e-06	1.9769654167544715e-06	7.612601439189335e-06	0.0	0.0	0.00026761053316262125	0.00014642900677497728	0.00012896513135575164	0.0	5.400851127438509e-05	1.7858106440710356e-05	2.734071961725874e-05	5.925827306289609e-05	2.685108038589843e-05	0.0004517892148887136	0.00035079634876703517	0.0005723018618060913	0.00011044904045705933	0.00016282389052919356	0.0002195424676061833	0.0001465044657213049	0.005447577758886669	0.003275541895481065	0.014858395722384983	0.0001910676534935997	6.573821249231553e-05	0.0014968053359408159	0.0003653911285406034	0.013089358392817387	0.03154363625489809	0.027795882804147434	0.02808403062192854	0.001509928006103768	3.562624328716073e-05	0.0	0.0	0.0	0.0	0.00011825172117163809	3.977074441348733e-05	0.0002374184973296561	0.00034405254842975025	0.0002007145303996206	0.00011277902591960363
SHSU.bins.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2684489934754965e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4416037890422586e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.477	0.00030581044867922485	0.0002706943232612775	0.0003093118576432626	0.00012412149995754768	0.0009299770418426054	0.00016819510414612507	4.126845526119242e-05	0.0003272363070733437	0.00027309293776229474	0.00099843747054909	0.0004475822039810241	0.0010375379562334863	0.0003627837567567275	0.000300839262769637	0.0004896247631978267	0.0006549423453961981	0.0009062536290579741	0.0009570462518164537	0.0008874961702520159	0.0006965733754759288	0.0008917586274288699	0.0004120621747256599	0.00042049849393040363	0.0011987575157869326	0.0005620417533626958	0.0013804529413307945	0.0007661288380074201	0.0012155909979505134	0.0008255673953828151	0.00030740951777598444	0.0006032437276139412	0.0007504953051695547	0.0006150241599493631	0.00017893694616169373	0.00016728467657635686	0.00017440026291897854	0.00019690240670869666	0.00014323561057060449	0.0001602614802252036	0.00020545063338026298	8.408067654425058e-05	5.868579159191763e-05	0.0001446261831452251	0.001346747494631739	0.0004991132124835617	0.00011275299133251485	4.858088224774026e-05	4.348193994352326e-05	0.002299057528217108	0.0014749723155035245	5.1833364376655215e-05	4.574492737904754e-05	3.473605365721706e-05	5.2171748521816875e-05	0.0002145802270714914	0.00026777106089267917	0.0002205544992341752	0.0002415850191267403	0.00019333565688053547	8.536978962007187e-05	0.00021744742301890054	0.00027881051002094344	7.338390437947803e-05	0.0004167573063591072	0.0007832492012744556	0.00033174228780933197	0.00040893465857572977	0.0005127462839192511	0.0004534858489639251	0.00015851420610427325	0.0005004192764739957	0.0004316727234472488	0.0006478679997117452	0.001015254908701609	0.0010772674115505426	0.001270139822642134	0.0010631860998635324	0.0012642893084360198	0.0011232878111295359	0.0009916919113470146	0.0019028834778529124	0.000942749477901275	0.00036832299578509596	0.0007588396734731337
SHSU.bins.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.618658110297199e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005690807107108965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.507083124630023e-06	0.0	0.0	2.913802008744004e-06	0.0	0.0	0.0	0.0	0.00012878416119138232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.918484769500284e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.019247608743185e-05	0.0
CMU.bins.320	0.00017479126783317007	0.00016144699387344693	7.253027648204532e-05	9.785356843176365e-06	0.00018650667852896635	2.535421710271202e-05	4.058099583987947e-06	2.2671223490047564e-05	0.00017838994628063273	0.0	0.00017737072083489684	0.00014825571661367657	4.878947480491348e-05	0.0	7.462760363248332e-05	7.678846890821283e-05	5.0535075349134263e-05	5.4701697245982884e-05	2.601351612805295e-05	0.00017789157459797218	3.3606604395674476e-05	0.0	2.5523173273436306e-05	0.0003606160445841324	0.00034266090205014015	0.0	0.00019461965884903546	0.0	0.0	5.856843957627492e-05	0.000387893549906772	3.899621673916709e-05	0.00016224354152062284	0.0	0.0	0.0001708825926584015	0.00015005723559620229	4.093442273658472e-05	0.00012683107726421748	1.3420451180466335e-05	9.611549604961467e-05	8.050299846610356e-06	3.099885253076288e-05	0.00034211422242731054	0.0003423322125389123	2.3434872276953317e-05	1.7537216811411948e-05	4.322236386028399e-06	0.0010065183372349133	0.00021992507302801153	7.182119775066566e-06	1.0121152968872671e-05	2.036306848883563e-06	0.0	0.0	0.0001700547551639111	0.00016353963909187014	0.0001025752611373641	0.0007366957119044533	0.00014986895710936802	0.0	7.64923496974674e-05	0.0	0.0	0.0002346459002558416	0.0004907632559332698	0.0002517131583272056	6.763131787894661e-05	0.00021207078016256665	0.0	8.800719937989246e-05	0.0001644866860717609	6.650288586445819e-05	0.0006770006024368385	0.0005312191043192142	0.000744585354651029	0.0010839736920399972	0.0002843119893607529	0.00032101750318064146	0.0003238966730619787	0.0004833893227620124	0.00014369201187355835	0.00034674111251636864	0.00010205364988114054
UTK_active.final.26	0.0	0.0	0.001474592131784594	0.01545305001473944	0.0002869479700491511	0.005642299132701889	0.007743110182033359	0.015978612345384096	0.0	0.0	0.0	0.0004887796207104814	0.0012868205047300275	0.0037211643394873075	0.0055768503198263784	0.0008860651720114303	0.0	0.0	0.0	0.002671766919629543	0.05264070448701699	0.04218892150768439	0.02793666158297463	0.0	0.0	0.0	0.0	0.0	0.0009679819255843144	0.0013194655904540625	0.0	0.00017142063599917908	0.0	0.017983244619253026	0.0	0.0	0.0009619544281924247	0.007737445951393805	0.004599602219457382	0.026296567272492695	0.008925469633159627	0.0393127743675456	0.07261816055815334	0.00037596869475097817	0.00012540281796133564	0.00036055466426103503	0.04290729898523491	0.09585879073941227	0.014748267615042896	0.015387472815834058	0.03677670884820754	0.08361309800407284	0.058749285950694945	0.0653152956687049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.689551083380534e-05	0.0	4.519094117336668e-05	1.3287961173676175e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022430498171788124
SHSU.bins.173	5.2460740359016595e-05	3.230378277592543e-05	3.265316691822006e-05	2.936914652531068e-06	6.717231607981472e-05	2.5365536100972136e-05	4.262905811586918e-06	3.629009678442496e-05	0.0003346298392314107	0.0004252433874565958	0.00027026980317270603	0.00035597208791193476	0.00032215400607950827	3.175873206969811e-05	8.959293156411806e-05	0.00027656151005179614	3.0334566014389924e-05	8.756157559161617e-05	0.0001717656942425857	0.00021864997252503635	0.00018828086101177293	5.890655210511401e-05	3.574837158485378e-05	0.0005628116135127393	0.00020568820123063249	0.0014734980643371315	0.0011682381529842202	0.00012357350979165505	0.0006797917168286413	0.00010547014523695516	0.00023283980995740275	0.00032771424705670707	0.00025970544041981	8.185599281871112e-05	0.0002623735605247377	0.0002735340802624747	0.00024019865697932493	0.00011057217359928631	0.0003214485003939559	0.0	8.24215066124431e-06	1.6107754692195598e-06	6.2025320060216906e-06	0.0002053600434356369	3.424848424999175e-05	1.4067194166246101e-05	0.0	2.5944982319878665e-06	0.0008055732697299409	0.0003080323661662093	6.466790497469627e-06	2.025132393860861e-06	0.0	2.3866363898370064e-05	7.362098242617949e-05	0.00022457206720178854	0.0002372382022020191	4.262720131695439e-05	0.00017688564884766036	4.3934715536477864e-05	5.968381055234544e-05	0.00012244222353353292	0.00020142036202056582	0.0	5.189219796017827e-05	0.0004284932788362359	0.00032377558635663734	0.00029771035066320796	0.00021216523015818537	0.0	0.00032753261769217243	0.0002715239770081642	2.903235219459705e-05	5.805448206114227e-05	0.00017393088415602523	8.938995455570482e-05	0.00047321759190172	0.00019910719857419218	0.0004817407547730875	0.0001296162992022058	0.0	0.00021563403781827182	0.0002378711760272547	0.0
