OTU ID	25655_S2125_L003	25669_S2120_L003	25688_S1294_L003	45131_S2199_L003	45147_S2288_L003	45469_S2277_L003	45504_S1450_L003	45632_S1567_L003	45648_S1582_L003	45651_S2067_L003	45668_S1524_L003	45670_S1520_L003	45704_S1583_L003	45903_S2034_L003	45937_S2244_L003	45956_S1458_L003	45959_S2286_L003	60588_S1717_L003	60590_S1714_L003	60608_S1735_L003	60624_S1716_L003	60626_S1736_L003	60644_S1715_L003	60646_S1719_L003	60660_S1720_L003	60662_S1734_L003	60680_S1730_L003	64298_S1858_L003	64316_S1867_L003	64319_S2161_L003	64332_S1861_L003	64334_S1862_L003	64352_S1856_L003	64354_S1870_L003
UTK.bins.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0983620748383734e-05	0.0	0.0	0.0	0.0	0.0	6.85683312169427e-06	0.00020920644251986545	0.0	0.0	0.0	0.0	0.0	3.9234730832424097e-05	0.0
CMU.bins.99	0.029380607093335932	0.02168269816833162	0.0006753942054370677	0.076491169627488	0.03854969002711683	0.07889107713948842	0.06624131867567606	0.06862432959048761	0.0019009368033319051	0.010901250033217326	0.0560913910583136	0.05046959942397976	0.030457617183925263	0.09935922159146324	0.10442296986682092	0.04156856854605347	0.0776585030103542	0.019159427531590216	0.02072812808018502	0.03312998527366419	0.02536173663589767	0.02543384541507314	0.03561567783156083	0.05086088627049837	0.03202207598224577	0.0014547076893546183	0.011676854082496416	0.04709694748186651	0.0300310610551242	0.008587822183559546	0.014709718606029605	0.02886634176486569	0.00022079082719414384	0.02917092043117965
SHSU.bins.42	7.903004563080382e-05	0.002372660571287707	0.0006190227916289518	0.0	3.408110632846851e-06	0.0013864134497300346	0.0010375057286574954	0.006455209797083405	0.028895207050646653	0.03524255357317008	0.006857213385134703	0.0005806913144531468	0.00014146411692039752	0.003915846245051146	0.0007551634977920188	0.0017249301301391431	0.0015330507620179192	0.0002816292919117416	0.001340089281930211	0.0003868783615836845	0.001975699726330493	0.001640285475323365	0.0041176769492977106	0.004193822492477481	0.0017879863406481413	0.0013325222406446338	0.002541006709146813	0.0010615479051477028	0.00014745155991053156	9.20496619675063e-05	0.02468769433878948	0.00041014783299097543	0.0	0.0022932748477462244
SHSU.bins.192	0.00028697664044677	0.0006189094620851863	0.05865081936645369	0.0	0.0	0.0	0.0	2.44377377175153e-05	0.0	1.1949581228743999e-06	0.0	0.0	0.0	0.0	0.00023136289868607278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.726142468714054e-06	0.0	0.0	1.2989794547249522e-06	0.00013750115508367368	3.763009600314713e-05	0.0	0.0	0.0	2.284706848207407e-05	0.0	9.755116800068055e-05
SHSU.bins.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003428762211987316	0.0	0.0	0.0	1.1188329492740208e-05	0.0	0.0	0.0	0.0	6.407438139518962e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.477	0.0001852418831982804	0.00015909939454705462	4.7055015526074285e-05	0.0003406526183410217	0.0002004006613319821	0.0003762924863560107	0.000382109370065599	0.001334789775330635	4.889137308569533e-06	5.2321279758562754e-05	0.0002953392124296126	0.000180419547988262	0.0002679463252260043	0.0005113700625911341	0.0003496413726776135	0.00022931370059489634	0.0003742602163147466	0.00023471032326333237	0.00012409251054667985	0.00024089212834544987	0.00013585410055303655	7.088233164827371e-05	0.0002072269173831135	0.00019076786601146932	0.00020332883639081014	1.773755455427338e-05	6.242591776797379e-05	0.0006478834590139165	0.0002901485391790474	0.0001394806829813159	0.00035279107055119675	0.0003797974716494783	0.0001323834963052781	0.0003861046733476284
SHSU.bins.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001378154966563725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMU.bins.320	0.04278523704840107	0.046143539717595106	0.009320382283017386	0.1086199594710208	0.09084392420314777	0.1383574449832974	0.08468972785079905	0.04935772938998808	0.0018080214031690458	0.010136934890663144	0.07554075085248642	0.0522808109057285	0.10827995998856484	0.08290194035883774	0.03248885860277918	0.07148189953707214	0.12905704838423324	0.050590489325167826	0.08701130934789184	0.1227030695319973	0.04677620641793441	0.03774751022701483	0.07518836542220149	0.06403564530442622	0.08712890274268119	0.004018258613248027	0.02237447920000497	0.06885193438990335	0.043781591911872135	0.019270710411899872	0.016131493567950208	0.06028619280125349	0.01876519731125306	0.053538146438095964
UTK_active.final.26	0.00010630010757376573	0.006928810456017137	0.00040841813004157166	0.0	7.929280539716847e-06	0.0021133346233725998	0.0008777639304353269	0.006124097128009329	0.005223776409156078	0.009055886689034346	0.004266747612978029	0.0010666032836967412	0.00022440614925167674	0.0005256094671185812	0.0001254967480145799	0.0015695202094044446	0.0014267123715888956	0.0038986511186247146	0.0031658034485975016	0.0012570461000978553	0.004482864698343302	0.002951249935909291	0.013641291169458175	0.015115258891635855	0.00529111504473286	0.0019608964768707995	0.013030261534105605	0.0016278146945196742	0.0007290014384377932	0.00045266016967533955	0.04405365882011086	0.00013632081110971742	0.00011087183365575115	0.005189992897547389
SHSU.bins.173	2.3538961677125124e-05	1.0397324683110076e-05	0.0	3.116684184821748e-05	2.165548338576336e-06	6.0754479797103315e-05	0.0	0.0	0.0	4.868089907958695e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3896713402083922e-05	0.0	4.675083657187803e-05	0.0	0.0	1.977036429311458e-05	0.0	0.0	5.317205513652077e-06	0.0	0.0	3.027993172948836e-05	0.0
