CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2627	4138	2	0.9708	-88.051
2429	2503	2	0.973	56.065
2508	2556	2	0.9951	-28.030
2627	3418	2	0.9439	44.027
2481	2614	2	0.9755	-132.079
2477	2562	2	0.9514	-176.103
2429	2551	2	0.9627	88.055
2426	2544	2	0.9892	-56.063
2409	2503	2	0.9769	-28.030
2426	2474	2	0.9465	-176.103
2413	2429	2	0.9581	-28.033
2410	2504	2	0.9783	-132.077
2427	2508	2	0.9862	-44.026
3324	3474	3	0.9491	52.030
2079	3474	3	0.9542	-27.996
3474	4283	3	0.9734	-52.032
1811	2079	3	0.9236	84.060
2079	4278	3	0.93	-80.028
2685	3463	3	0.9468	2.016
3474	6408	3	0.9315	2.012
3474	4278	3	0.9527	-52.032
2685	6408	3	0.9332	30.044
1964	2685	3	0.9879	26.015
3463	4278	3	0.9248	-26.016
3463	4283	3	0.9232	-26.016
4278	6408	3	0.8925	54.044
3324	4278	3	0.986	-0.002
1964	3474	3	0.9894	54.047
1964	4277	3	0.9234	-18.010
4369	6535	3	0.9702	115.088
4283	6414	3	0.9038	2.017
4290	6427	3	0.9763	-89.047
4278	6414	3	0.9429	2.017
3324	3463	3	0.9264	26.015
4290	6535	3	0.9615	-25.991
3054	4277	3	0.8602	68.061
1811	3463	3	0.9412	30.049
1964	6408	3	0.9348	56.059
4278	6388	3	0.9105	28.030
1964	4283	3	0.9638	2.015
4283	6408	3	0.8883	54.044
1964	2079	3	0.9581	82.043
4332	4369	3	0.9457	-113.048
2079	3463	3	0.948	-54.012
2685	6388	3	0.904	4.031
3463	6408	3	0.974	28.028
4332	6535	3	0.9332	2.039
2685	4283	3	0.9704	-24.000
1811	6388	3	0.9034	32.063
2079	6408	3	0.9254	-25.984
1811	6408	3	0.9309	58.076
2079	4283	3	0.9307	-80.028
3474	6388	3	0.905	-24.001
3463	6388	3	0.9532	2.014
6388	6414	3	0.8689	-26.014
3324	4283	3	0.9706	-0.002
1964	3324	3	0.9534	2.017
1964	3463	3	0.9559	28.031
2079	3324	3	0.9236	-80.026
2079	2685	3	0.9501	-56.028
2685	3474	3	0.9924	28.032
1811	4283	3	0.8884	4.032
1811	6414	3	0.8865	6.049
1811	2685	3	0.929	28.032
2685	4278	3	0.9529	-24.000
3463	3474	3	0.9487	26.016
4277	4369	3	0.9803	-393.287
3324	6408	3	0.8931	54.042
3324	6388	3	0.9101	28.029
4277	4332	3	0.9275	-280.239
4277	6535	3	0.9536	-278.200
2079	6388	3	0.8996	-51.997
4278	4283	3	0.9627	-0.000
1964	4278	3	0.9593	2.015
2685	3324	3	0.9459	-23.998
3324	6414	3	0.9276	2.015
1811	3474	3	0.9181	56.064
1811	1964	3	0.9208	2.017
6163	12885	4	0.9493	194.224
1689	12885	4	0.8533	-164.085
1908	6163	4	0.9368	-166.120
2414	2616	5	0.9765	44.026
2482	2616	5	0.9665	220.131
2414	2550	5	0.9916	-28.033
2464	2520	5	0.9866	-88.052
1027	2593	5	0.9863	-56.062
1027	6750	5	0.9829	31.043
2501	2552	5	0.9893	56.062
1027	2377	5	0.9982	-44.026
1027	2414	5	0.9833	44.027
2377	6750	5	0.9805	75.069
2786	6750	5	0.9584	257.236
4885	6750	5	0.9987	-13.988
2377	2501	5	0.9965	-28.031
2520	2535	5	0.9847	84.093
2377	2658	5	0.9919	-17.027
2439	2482	5	0.9971	-44.025
2619	3421	5	0.9916	-28.031
2482	2610	5	0.9883	-17.026
2377	2786	5	0.9679	-182.167
2501	2520	5	0.9987	-44.026
2610	2658	5	0.9992	88.050
2464	2593	5	0.9801	-28.031
2501	2619	5	0.995	-88.051
2464	2501	5	0.9878	-44.026
4885	6836	5	0.9234	16.010
2464	2619	5	0.9836	-132.078
4430	4516	5	0.9986	-44.025
2593	3421	5	0.9999	-132.078
2786	4516	5	0.9788	-88.051
2482	6750	5	0.9754	163.121
2482	2786	5	0.9692	-94.115
2520	2619	5	0.9958	-44.025
2501	2550	5	0.9894	88.052
1027	2439	5	0.998	-88.052
2377	2616	5	0.9692	132.079
2377	2482	5	0.997	-88.051
1027	2482	5	0.9973	-132.078
2414	2786	5	0.9729	-270.220
2616	6750	5	0.9856	-57.010
2414	6750	5	0.9789	-12.984
2439	2786	5	0.9678	-138.141
2414	2439	5	0.9801	-132.080
2439	2535	5	0.9854	56.062
2520	2550	5	0.984	132.078
1027	2464	5	0.986	-28.031
2414	2482	5	0.9804	-176.105
2482	3421	5	0.986	-56.062
1027	2786	5	0.9687	-226.193
2482	2619	5	0.9959	-28.031
1027	2616	5	0.9741	88.053
2377	2439	5	0.9977	-44.026
2550	2619	5	0.9893	-176.104
2464	2550	5	0.9797	44.026
2616	2786	5	0.9611	-314.246
2786	4430	5	0.9814	-44.026
2377	2414	5	0.98	88.054
2439	6750	5	0.9791	119.095
2439	2520	5	0.9973	-28.031
2377	2552	5	0.9846	28.031
2439	2616	5	0.9676	176.106
3832	5942	6	0.9198	-57.027
5942	10383	6	0.7681	41.035
3826	5942	6	0.8983	-0.008
13209	13211	10	0.7469	154.620
1148	1640	11	0.7298	2.480
1274	7577	11	0.7109	24.492
1798	7577	11	0.9302	2.978
1274	1838	11	0.7049	68.518
1274	1798	11	0.7491	21.513
1198	1378	11	0.7625	-44.025
1125	1148	11	0.7156	-44.026
1798	1838	11	0.9226	47.004
1274	1378	11	0.8308	-0.500
1838	7577	11	0.994	-44.026
1148	1198	11	0.8974	-0.501
1125	1274	11	0.7409	-88.052
1198	1640	11	0.7117	2.980
1125	1605	11	0.8901	2.480
