CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2385	2437	20	0.9662	-314.246
2437	4513	20	0.9595	-220.131
2746	2780	20	0.9895	-44.026
2565	2567	20	0.9736	-84.095
2623	4513	20	0.9629	-132.078
2947	4085	20	0.9767	88.049
2437	2498	20	0.9805	88.053
2437	2623	20	0.9868	-88.052
2529	2537	20	0.9833	-88.046
2588	3432	20	0.9716	-132.079
2608	2653	20	0.9889	-44.026
2947	4064	20	0.9869	44.026
2777	4085	20	0.9847	2.013
2740	4064	20	0.9871	2.016
2623	2742	20	0.9883	-44.026
2537	2621	20	0.9885	-88.068
2529	2630	20	0.9801	-112.124
2623	2788	20	0.9882	-88.053
2356	2385	20	0.9811	88.047
2437	2788	20	0.9789	-176.105
2529	4085	20	0.9723	-138.143
2530	2653	20	0.9863	-88.053
2446	2517	20	0.969	88.054
2437	2742	20	0.9653	-132.078
2446	4513	20	0.954	-264.157
2565	2577	20	0.985	-88.053
2781	4507	20	0.9765	-44.026
2529	2777	20	0.9621	-140.156
2446	2788	20	0.9557	-220.131
2608	2621	20	0.957	84.085
2537	4142	20	0.9663	-140.172
2567	2740	20	0.9803	-28.031
2567	4064	20	0.9687	-26.015
2437	2446	20	0.9839	44.026
2621	4164	20	0.9712	-88.043
2517	2600	20	0.9918	44.026
2748	2780	20	0.9504	-220.161
2356	2781	20	0.9859	-264.162
2456	2530	20	0.9909	-44.026
2432	2532	20	0.9652	-88.053
2446	2623	20	0.9565	-132.078
2630	2748	20	0.9744	44.056
2362	2534	20	0.9434	56.060
2489	2517	20	0.9435	176.107
2947	4142	20	0.9628	-2.027
2362	2577	20	0.9852	28.029
2458	2740	20	0.9801	-56.064
2577	2746	20	0.9555	-84.093
2746	3432	20	0.9662	-88.053
2588	2780	20	0.9896	-88.052
2446	2742	20	0.961	-176.105
2489	2742	20	0.9819	-88.052
2385	2623	20	0.9568	-402.298
2567	2630	20	0.9869	44.027
2567	2588	20	0.9962	-44.026
2565	2741	20	0.9769	-132.080
2534	2577	20	0.9552	-28.031
2598	2947	20	0.9634	-110.109
2354	2432	20	0.9441	-176.105
2537	2588	20	0.9774	-112.131
2446	2498	20	0.9971	44.026
2588	2630	20	0.9829	88.053
2456	2653	20	0.9838	-132.078
2621	2741	20	0.9754	-28.023
2505	2529	20	0.994	44.026
2529	2534	20	0.9599	-132.079
2588	2748	20	0.9672	132.109
2505	2567	20	0.9709	-112.125
2362	4063	20	0.9833	-82.080
2498	2742	20	0.9546	-220.131
2458	2530	20	0.9826	-88.053
2446	2600	20	0.9536	132.080
2400	2623	20	0.9409	-446.318
2534	4164	20	0.9516	-132.079
2356	2362	20	0.9797	-88.056
2498	2517	20	0.9815	44.028
2588	2598	20	0.9761	84.094
2468	2777	20	0.9686	-56.063
2498	2788	20	0.9489	-264.158
2355	2432	20	0.9763	-88.052
2385	2526	20	0.9919	-28.029
2530	2746	20	0.9765	-28.031
2534	2746	20	0.981	-112.125
2458	2565	20	0.9757	56.062
2537	4164	20	0.9622	-176.111
2489	4513	20	0.9599	-176.104
2385	2400	20	0.9761	44.020
2458	2653	20	0.9777	-176.106
2456	4142	20	0.9724	-56.072
2355	2532	20	0.9683	-176.105
2630	2746	20	0.9742	-132.079
2741	2780	20	0.9558	-84.093
2505	2537	20	0.9908	-44.020
2356	2740	20	0.9855	-84.099
2354	4085	20	0.9409	-82.082
2356	2505	20	0.9804	56.057
2463	2532	20	0.9671	-44.026
2817	3003	21	0.9167	18.012
3032	3508	21	0.9104	59.023
3032	3707	21	0.9356	-54.017
2817	3508	21	0.9446	140.156
2649	2660	22	0.9895	44.026
2591	4485	22	0.9082	-116.085
2725	2732	22	0.9888	-44.027
2649	2738	22	0.9825	132.079
2732	2775	22	0.9791	-44.026
4485	6326	22	0.9724	44.028
2617	2768	22	0.9765	-44.026
409	2660	22	0.987	-44.033
2738	4432	22	0.9115	-220.132
2591	2727	22	0.9847	44.026
2773	4563	22	0.9601	-88.052
2775	4512	22	0.9783	-88.053
4089	4563	22	0.9502	56.063
409	4432	22	0.9476	-176.112
2727	4089	22	0.9633	-220.131
2732	4175	22	0.9635	-88.052
2663	2725	22	0.9885	-44.026
2727	3396	22	0.9648	-176.105
4512	4563	22	0.9604	-28.030
2738	4563	22	0.9252	-264.157
2768	4089	22	0.9731	-88.053
409	2649	22	0.9742	-88.059
2649	4563	22	0.9572	-132.078
2768	3396	22	0.9855	-44.027
2649	4432	22	0.944	-88.053
2617	3396	22	0.9853	-88.053
3396	4089	22	0.9903	-44.026
2660	4432	22	0.9526	-132.079
2663	4512	22	0.9562	-220.132
2732	4512	22	0.9601	-132.079
3396	4175	22	0.956	84.094
2768	2775	22	0.9746	84.093
2768	2773	22	0.987	56.062
409	2738	22	0.9826	44.020
4432	4563	22	0.9892	-44.025
2660	2725	22	0.9112	28.031
4175	4432	22	0.9576	-28.031
2617	2727	22	0.9859	88.052
2725	4175	22	0.9761	-132.079
4175	4512	22	0.9903	-44.027
2775	4175	22	0.9898	-44.027
2649	6326	22	0.9398	-84.093
2591	2725	22	0.97	84.094
4089	4512	22	0.9683	84.093
2617	2732	22	0.9825	84.093
2591	4089	22	0.9755	-176.105
2663	2732	22	0.9754	-88.053
2663	2727	22	0.9787	-84.094
2660	2738	22	0.979	88.053
2660	2773	22	0.9139	-88.052
2617	4089	22	0.9867	-132.079
409	4563	22	0.9534	-220.138
2660	4563	22	0.9618	-176.104
2773	2775	22	0.9841	28.031
2591	3396	22	0.9754	-132.080
2727	2768	22	0.9598	-132.078
2663	4175	22	0.9727	-176.105
3396	4432	22	0.9566	56.062
2773	4432	22	0.9757	-44.027
2725	2775	22	0.9903	-88.052
2591	2617	22	0.9949	-44.026
2591	2768	22	0.9565	-88.052
2663	2775	22	0.9832	-132.078
2725	4512	22	0.9636	-176.106
6245	6304	23	0.9852	-160.110
8197	8443	23	0.9753	-17.984
3086	4594	23	0.9372	-100.052
2934	10476	23	0.9984	0.000
8197	10044	23	0.9707	188.103
4146	13208	23	0.9127	-32.003
3543	10476	23	0.9811	28.031
443	892	23	0.9569	-302.209
255	8443	23	0.9714	-258.172
1585	3930	23	0.9832	418.403
262	8966	23	0.9891	154.120
262	8443	23	0.9753	-200.130
460	5808	23	0.9915	302.168
1585	8197	23	0.9799	82.135
2395	3930	23	0.9813	478.387
117	262	23	0.9635	220.255
3543	4146	23	0.8708	72.236
3930	8197	23	0.9743	-336.267
255	1585	23	0.9792	-322.323
443	458	23	0.9285	-422.243
8966	10044	23	0.9861	-148.162
8443	8966	23	0.9874	354.250
262	1585	23	0.9879	-264.281
2395	8197	23	0.9725	142.120
8405	8443	23	0.9862	-156.086
1557	10044	23	0.9526	182.186
1585	8443	23	0.9899	64.151
1585	8966	23	0.984	418.401
1557	8197	23	0.9685	-5.917
1557	3160	23	0.9393	327.190
443	10476	23	0.8855	132.907
8197	8966	23	0.9734	336.265
2343	8197	23	0.9869	26.037
255	3930	23	0.9715	96.080
4125	6304	23	0.9793	-88.053
262	8405	23	0.976	-44.043
892	3332	23	0.9492	3.958
458	12661	23	0.8962	63.976
2343	3930	23	0.975	362.304
3086	4146	23	0.8713	16.173
3086	3543	23	0.9976	-56.063
255	8966	23	0.9824	96.078
5808	10476	23	0.9402	12.913
443	561	23	0.8883	-106.086
1585	8405	23	0.9822	220.238
458	3332	23	0.9062	123.992
2343	8966	23	0.9851	362.302
460	892	23	0.8925	-120.034
8405	10044	23	0.9647	50.001
3930	10044	23	0.9716	-148.164
262	2395	23	0.983	-324.265
3086	10476	23	0.9827	-28.032
2395	8443	23	0.9903	124.136
262	3930	23	0.9758	154.122
255	2343	23	0.9711	-266.224
117	2343	23	0.9891	12.073
262	2343	23	0.9869	-208.182
2934	5808	23	0.9457	-12.913
2934	3543	23	0.9845	-28.031
3930	8405	23	0.9777	-198.165
262	10044	23	0.9962	5.958
4125	6245	23	0.9606	72.056
2343	8443	23	0.9762	8.052
443	3543	23	0.9027	104.875
561	10476	23	0.9217	238.993
443	12661	23	0.9421	-358.267
255	8405	23	0.9828	-102.085
443	493	23	0.9481	-156.079
3930	8443	23	0.9973	-354.252
1585	10044	23	0.9914	270.239
817	1557	23	0.9494	-158.202
255	10044	23	0.9857	-52.084
561	9572	23	0.93	-122.292
117	2395	23	0.9644	-104.010
458	892	23	0.9497	120.034
493	3543	23	0.8913	260.954
2395	8405	23	0.9877	280.222
117	8197	23	0.9852	38.110
443	3332	23	0.9626	-298.251
2934	3160	23	0.9019	-42.047
255	262	23	0.9965	-58.042
561	2934	23	0.9256	238.993
8405	8966	23	0.9687	198.163
493	561	23	0.9228	49.992
443	3086	23	0.9005	160.939
817	10044	23	0.9264	23.984
892	12661	23	0.9391	-56.058
117	10044	23	0.9793	226.213
3930	8966	23	0.9934	-0.002
3160	3543	23	0.9894	14.016
2343	2395	23	0.984	-116.083
117	8443	23	0.9569	20.125
255	2395	23	0.9772	-382.307
1585	2343	23	0.9923	56.099
3332	12661	23	0.9829	-60.016
117	1557	23	0.9746	44.027
443	2934	23	0.8889	132.907
1585	2395	23	0.9984	-59.985
1557	2343	23	0.968	-31.954
2934	3086	23	0.9851	28.032
3160	6245	23	0.9657	-457.217
2395	8966	23	0.9787	478.385
2055	2158	25	0.8264	-4.033
1100	3318	25	0.8638	15.994
5984	8918	25	0.849	0.000
3316	4122	25	0.9127	28.031
3316	5983	25	0.9684	-0.000
3515	5983	25	0.8258	-54.047
5984	6496	25	0.9232	-0.002
212	3070	25	0.9478	15.995
4416	7893	25	0.8997	27.991
4416	10063	25	0.9475	2.011
212	3515	25	0.9732	28.031
2158	3457	25	0.9297	28.059
1100	4122	25	0.8862	26.013
212	2158	25	0.8853	-26.016
4736	8283	25	0.8322	-15.995
212	2057	25	0.8357	-37.979
1100	5983	25	0.907	-2.018
3318	8918	25	0.8664	-0.001
2158	4122	25	0.833	28.031
476	2055	25	0.8228	2.015
1100	5984	25	0.8411	15.993
3318	6496	25	0.9336	-0.003
2158	4416	25	0.9295	-30.005
3709	8918	25	0.8244	-1.998
1100	2055	25	0.8252	2.015
212	5983	25	0.8728	-26.016
6496	8918	25	0.8883	0.002
1100	3316	25	0.9005	-2.018
3318	5984	25	0.8598	-0.001
212	3316	25	0.869	-26.016
3070	3592	25	0.8365	2.017
3316	3515	25	0.8226	54.047
2158	5983	25	0.869	-0.000
2158	7893	25	0.8511	-2.014
4122	5983	25	0.934	-28.031
2158	3316	25	0.8728	-0.000
2158	3515	25	0.8487	54.047
1100	6496	25	0.8625	15.991
2057	3515	25	0.8258	66.011
2057	8283	25	0.8759	0.000
3318	3592	25	0.8321	26.016
2057	4736	25	0.8738	15.996
3592	4122	25	0.9132	-15.996
4055	4056	26	0.9997	-2.015
816	4315	26	0.9705	-26.015
816	4065	26	0.9734	-24.002
4055	6807	26	0.8809	-4.031
816	4056	26	0.8705	-26.016
816	4055	26	0.8745	-24.001
4065	6807	26	0.9761	-4.031
4056	6807	26	0.8768	-2.016
4315	6807	26	0.9736	-2.018
816	6807	26	0.992	-28.033
4065	4315	26	0.9973	-2.013
5937	7360	27	0.8325	238.228
6463	7360	27	0.8424	92.136
1602	6463	27	0.9446	-24.001
462	513	27	0.8383	27.996
462	7360	27	0.9625	0.001
6525	7360	27	0.845	108.130
462	6525	27	0.8623	-108.129
513	6525	27	0.8517	-136.125
513	7360	27	0.8376	-27.995
462	6463	27	0.8438	-92.135
1602	5937	27	0.8436	-170.093
6463	6525	27	0.8823	-15.994
462	5937	27	0.8812	-238.228
556	5937	27	0.8374	-68.135
3522	6525	27	0.8344	-13.980
3522	6463	27	0.9518	2.014
1602	3522	27	0.9537	-26.015
556	636	27	0.8247	14.013
23	29	29	0.7596	74.020
29	64	29	0.7706	-148.037
29	30	29	0.9486	74.020
23	64	29	0.9002	-74.017
30	64	29	0.8299	-222.056
23	30	29	0.7864	148.039
6983	7039	31	0.9574	-72.022
7103	7725	32	0.9359	-2.974
3016	3693	34	0.9792	168.187
2929	3658	34	0.9722	26.017
3537	5487	34	0.997	26.015
3016	3658	34	0.9276	-33.984
2928	3016	34	0.9686	26.017
3016	3563	34	0.9295	28.026
2928	3537	34	0.92	14.017
2928	2929	34	0.9191	-33.984
3016	5487	34	0.9266	14.015
3563	4802	34	0.9278	-26.017
2928	4802	34	0.9178	28.025
2928	3693	34	0.9533	194.203
3016	4802	34	0.935	2.009
856	3256	35	0.9316	-182.204
570	3255	35	0.9338	132.078
533	570	35	0.961	-44.027
1149	1168	35	0.9676	44.026
716	1547	35	0.9551	-94.150
1118	5890	35	0.9217	-176.105
1168	1549	35	0.9493	37.928
499	533	35	0.9691	-88.052
1127	1786	35	0.8699	-226.229
499	3253	35	0.8862	88.052
535	2316	35	0.9877	-0.000
1149	1644	35	0.9602	37.928
535	1549	35	0.9503	-44.026
477	1784	35	0.8896	-17.026
592	1149	35	0.9423	-37.928
592	1168	35	0.9672	6.098
1168	1550	35	0.9519	-6.098
1483	1783	35	0.9352	37.928
477	3253	35	0.9822	-44.026
499	856	35	0.8872	94.151
475	477	35	0.9596	-44.040
1168	1551	35	0.9814	-50.124
488	3253	35	0.9603	44.018
499	2046	35	0.911	44.027
3254	3255	35	0.9254	44.044
6752	6753	35	0.995	-44.027
563	1549	35	0.9605	0.000
1118	1649	35	0.973	-88.053
2046	3254	35	0.912	-88.071
499	3256	35	0.8867	-88.052
499	570	35	0.9669	-132.079
1549	2316	35	0.9657	44.026
1549	1644	35	0.989	-44.026
535	1547	35	0.9628	-0.000
1549	1550	35	0.9415	-44.026
478	6753	35	0.9297	-70.079
475	2046	35	0.9444	-132.092
478	3255	35	0.9379	-88.054
533	3254	35	0.9511	44.007
1118	1550	35	0.9553	44.026
856	1166	35	0.9468	-132.079
3254	3256	35	0.8949	-44.008
1149	1646	35	0.9636	-50.124
584	716	35	0.9085	50.124
477	2046	35	0.935	-88.052
570	3254	35	0.9713	88.034
2046	3253	35	0.9622	44.026
533	856	35	0.8876	182.203
488	3255	35	0.94	-44.034
592	1646	35	0.9605	-88.052
478	3253	35	0.991	-0.001
989	1166	35	0.9294	-44.027
2046	6830	35	0.916	-70.079
989	6753	35	0.845	11.876
1072	2316	35	0.9477	37.928
1127	1661	35	0.8729	-132.079
477	3255	35	0.9293	-132.079
1483	1547	35	0.9412	-6.098
3253	6753	35	0.9458	-70.078
563	1168	35	0.9677	-37.928
535	1072	35	0.9492	-37.928
1661	3256	35	0.9687	-6.098
475	3688	35	0.9584	0.001
592	1649	35	0.9412	-132.078
584	1119	35	0.9994	0.000
1547	1549	35	0.9833	-44.026
1072	1483	35	0.9511	44.026
2046	3688	35	0.9351	132.093
570	1661	35	0.9154	50.124
475	3253	35	0.9432	-88.067
475	478	35	0.9456	-88.066
1644	1646	35	0.9673	-88.052
1072	1646	35	0.9484	-138.177
1149	1549	35	0.9441	81.954
499	3254	35	0.951	-44.045
1547	2316	35	0.9726	-0.000
499	1786	35	0.9169	-176.105
3255	3688	35	0.9346	176.120
1661	1786	35	0.9382	-94.150
856	1786	35	0.9029	-270.256
535	1783	35	0.9366	44.026
716	1119	35	0.9064	-50.124
1127	1166	35	0.9282	-88.053
563	1118	35	0.9613	-88.052
478	488	35	0.9381	-44.019
563	1149	35	0.9544	-81.954
1149	1551	35	0.9663	-6.098
563	1644	35	0.9607	-44.026
856	1661	35	0.9614	-176.106
1646	1649	35	0.978	-44.026
592	1551	35	0.9737	-44.026
563	1646	35	0.9614	-132.078
477	3688	35	0.999	44.041
1118	1646	35	0.9669	-44.027
1551	1644	35	0.9696	44.026
2046	3255	35	0.9295	-44.027
584	1783	35	0.9782	0.000
6753	6830	35	0.9757	-44.027
1168	1644	35	0.9668	-6.098
1119	2316	35	0.96	-44.027
1551	1646	35	0.9978	-44.026
1550	1646	35	0.9446	-88.053
989	1127	35	0.9734	44.026
570	856	35	0.9326	226.230
533	3255	35	0.9037	88.052
3253	3255	35	0.9625	-88.053
1168	1646	35	0.9758	-94.150
1119	1783	35	0.9784	-0.000
6752	6830	35	0.9629	-88.053
584	2316	35	0.963	-44.026
563	2316	35	0.969	44.026
1072	1149	35	0.9625	-88.053
716	1783	35	0.938	-50.124
6748	6830	35	0.9459	-132.082
592	1644	35	0.9461	0.000
3688	6748	35	0.9567	-70.090
1649	5890	35	0.976	-88.052
477	478	35	0.9894	-44.025
478	3688	35	0.9871	88.067
1786	3256	35	0.9717	88.052
1119	1784	35	0.9172	44.026
1483	1550	35	0.9433	-94.150
533	1166	35	0.8991	50.124
488	499	35	0.9204	-44.034
856	1127	35	0.8963	-44.027
1119	1547	35	0.9448	-44.026
1550	2316	35	0.9453	88.052
1551	1649	35	0.9769	-88.053
1783	1784	35	0.9055	44.026
592	1118	35	0.9279	-44.026
856	6830	35	0.8838	-120.203
563	1550	35	0.9833	-44.026
475	6748	35	0.9622	-70.089
533	1786	35	0.9237	-88.053
1072	1644	35	0.9709	-50.124
570	3256	35	0.9393	44.026
6748	6753	35	0.936	-88.055
1166	6753	35	0.8757	55.903
488	3688	35	0.9356	132.086
1118	1149	35	0.9309	6.098
1072	1549	35	0.9635	-6.098
1483	2316	35	0.9405	-6.098
1166	3256	35	0.9269	-50.124
1118	1551	35	0.9655	-0.000
477	488	35	0.9306	-88.045
533	3256	35	0.8969	-0.000
535	1119	35	0.9597	44.026
1786	3254	35	0.9178	132.060
535	1168	35	0.9449	-81.955
1166	1661	35	0.8993	-44.026
499	3255	35	0.9251	-0.000
563	1072	35	0.9647	6.099
478	2046	35	0.9544	-44.027
535	584	35	0.963	44.026
856	989	35	0.8913	-88.053
584	1784	35	0.9124	44.026
488	6830	35	0.9255	-70.086
1550	1644	35	0.9452	-0.000
477	6752	35	0.9355	-70.078
563	1551	35	0.9662	-88.052
1547	1644	35	0.9568	-88.052
584	1547	35	0.9472	-44.026
488	3254	35	0.9274	-88.079
1550	1551	35	0.9492	-44.026
3253	3254	35	0.8887	-132.097
488	570	35	0.9266	-176.113
488	2046	35	0.9255	-0.007
1547	1783	35	0.955	44.026
716	1483	35	0.9575	-88.053
989	6752	35	0.826	55.902
3253	3688	35	0.9844	88.068
1072	1168	35	0.984	-44.027
570	1786	35	0.9182	-44.026
6748	6752	35	0.9908	-44.029
1127	6753	35	0.8425	-32.150
1072	1551	35	0.9561	-94.150
3037	3039	36	0.8642	-18.011
3039	4359	36	0.8605	0.002
916	6789	37	0.8419	-17.025
2549	2667	39	0.9925	-88.053
2469	6120	39	0.9818	-220.130
2523	2667	39	0.9806	-132.080
2523	2576	39	0.9936	-88.053
2469	2667	39	0.9832	-176.105
2549	2576	39	0.9936	-44.027
2469	2549	39	0.9925	-88.052
2667	6120	39	0.9931	-44.025
2549	6120	39	0.9867	-132.078
2576	6120	39	0.9918	-88.051
2469	2576	39	0.9904	-132.078
2576	2667	39	0.9924	-44.027
2469	2523	39	0.9954	-44.025
2523	2549	39	0.9914	-44.026
2523	6120	39	0.9818	-176.104
744	1245	40	0.9364	-215.213
511	560	44	0.9268	-0.001
560	613	44	0.8009	-162.053
1612	2280	44	0.8714	324.106
560	2280	44	0.7721	-316.168
613	1612	44	0.7859	-478.220
613	2280	44	0.9137	-154.115
456	613	44	0.7036	-198.063
3953	5077	45	0.7878	-16.031
459	2325	46	0.7893	238.120
459	1446	46	0.9444	0.000
1446	6772	46	0.9902	-0.030
348	459	46	0.8327	-134.094
459	6772	46	0.9537	-0.030
2325	6772	46	0.8189	-238.150
459	2478	46	0.8223	2.945
1446	2325	46	0.7935	238.120
2903	3440	47	0.8194	-95.004
2903	7982	47	0.9578	-95.004
3440	7982	47	0.8262	0.001
457	1097	48	0.9587	-0.001
457	483	48	0.9777	14.014
483	1097	48	0.9329	-14.015
3495	6456	49	0.82	-0.000
4149	4828	50	0.9037	-2.030
810	4803	53	0.7453	-240.301
4603	4669	54	0.9858	-26.016
2208	3161	54	0.9831	-28.031
3161	3558	54	0.9904	56.063
2208	3689	54	0.9898	2.015
4600	4603	54	0.9575	-14.015
2208	4597	54	0.9321	-25.017
4597	4603	54	0.9284	43.990
3161	3677	54	0.9944	84.094
2208	3677	54	0.9845	56.063
4600	4669	54	0.9396	-40.031
2207	2208	54	0.9689	-140.156
3677	3689	54	0.994	-54.047
4669	5474	54	0.957	2.015
2899	3715	54	0.9143	66.128
3558	3689	54	0.9946	-26.016
2208	3558	54	0.9946	28.031
2208	4603	54	0.918	18.973
2207	3558	54	0.9797	-112.124
2208	10280	54	0.9377	-359.317
2676	2899	54	0.9673	0.947
3161	3689	54	0.9936	30.047
3558	3677	54	0.9909	28.031
2676	4669	54	0.9173	-28.079
537	2047	55	0.8985	17.970
2047	2317	55	0.9142	12.077
537	1024	55	0.9304	30.004
537	2317	55	0.8217	30.047
537	2229	55	0.7934	-98.073
6726	8190	56	0.9877	-15.995
6726	11136	56	0.9932	44.063
4086	4311	59	0.9854	-26.033
2547	6897	60	0.966	152.097
461	514	60	0.9777	104.024
1579	2547	60	0.9977	-17.017
514	2399	60	0.9865	-45.222
514	855	60	0.948	-132.056
661	855	60	0.9721	-33.984
2399	2459	60	0.9976	-44.026
514	667	60	0.9756	-28.030
461	855	60	0.9689	-28.031
2459	2547	60	0.9964	-28.022
667	855	60	0.9743	-104.026
461	667	60	0.9522	75.994
2404	2459	60	0.9927	-28.033
4280	6435	62	0.907	2.017
450	12722	63	0.9976	0.000
527	8107	65	0.8243	-0.012
693	1126	65	0.8806	-2.144
527	2750	65	0.8939	298.201
1126	8107	65	0.8362	36.058
7906	10166	67	0.9869	-0.000
3836	4973	67	0.9552	85.003
3561	3576	67	0.9506	70.075
1520	10166	67	0.9754	15.997
4652	4973	67	0.9523	14.000
6909	7906	67	0.989	-16.012
3561	7906	67	0.9468	70.076
3836	6909	67	0.9531	202.100
3836	4402	67	0.9496	45.988
3576	7906	67	0.989	0.001
1520	6909	67	0.9759	32.009
4323	4402	67	0.9761	30.017
1520	4973	67	0.9723	-85.088
3576	3915	67	0.956	-18.938
3836	7906	67	0.9566	186.088
3576	10166	67	0.9961	0.001
3836	10166	67	0.9599	186.088
3576	4973	67	0.9467	-101.084
1520	7906	67	0.9762	15.997
3915	10166	67	0.9549	18.939
4652	6944	67	0.9612	-72.036
6909	10166	67	0.9761	-16.012
3576	6909	67	0.9789	16.013
3576	3836	67	0.9626	-186.087
3561	10166	67	0.9471	70.076
1520	3915	67	0.9548	-2.942
1520	3576	67	0.9785	15.996
1520	3836	67	0.9627	-170.091
9532	9534	68	0.8936	156.080
9534	9536	68	0.8923	-228.101
9532	9536	68	0.941	-72.021
1502	2686	69	0.9869	28.031
4408	4938	72	0.9044	169.184
4608	7602	72	0.9039	-56.554
4379	4938	72	0.883	169.183
4379	4408	72	0.9896	-0.001
4938	7602	72	0.8467	-360.836
4599	4608	72	0.8409	104.087
10601	12832	74	0.8518	-200.089
1064	10601	74	0.7895	0.007
10601	12571	74	0.827	-13.999
2373	2424	75	0.9946	-44.026
510	3065	77	0.9431	56.049
510	1145	77	0.9782	-0.015
510	5091	77	0.8641	0.073
1145	3065	77	0.9459	56.063
645	696	84	0.81	-162.053
765	1175	85	0.9078	-132.042
4326	10765	86	0.9065	-102.141
4304	10765	86	0.9228	28.031
5482	10765	86	0.9763	2.016
4326	5482	86	0.9267	-104.157
3038	4326	86	0.9186	6.003
599	5799	88	0.9501	-2.016
599	3616	88	0.9054	-256.240
5799	7996	88	0.9115	-332.255
3363	6048	88	0.9456	-42.046
599	6048	88	0.919	-56.061
599	3363	88	0.9841	-14.015
540	1609	91	0.8012	-17.027
540	1088	91	0.8392	-74.074
1088	1609	91	0.9135	57.047
3479	6454	93	0.8731	166.203
2770	7797	96	0.7633	-132.038
2976	6942	97	0.9761	-151.103
5194	5934	100	0.98	-28.029
3919	5934	100	0.9547	-28.030
4763	5306	101	0.9094	-18.935
4815	5306	101	0.8516	25.038
4728	4763	101	0.8375	-14.023
4763	4815	101	0.7767	-43.973
1128	1265	104	0.8714	1.003
1098	1265	104	0.873	-0.000
1844	3922	104	0.9272	0.000
1098	1128	104	0.8738	-1.004
1265	1844	104	0.8714	26.016
3030	3586	105	0.9463	-47.928
3586	6543	105	0.9165	33.953
2067	3586	105	0.9498	-18.011
492	577	110	0.9042	-0.005
492	6359	110	0.7733	119.060
577	6359	110	0.789	119.065
4413	5754	112	0.9801	310.812
2244	5754	112	0.984	312.229
5754	6562	112	0.9846	-312.229
3957	6562	112	0.9919	0.000
2244	6562	112	0.9747	0.000
3957	9390	112	0.9616	-13.978
6562	9390	112	0.9604	-13.979
946	6562	112	0.9833	-312.229
946	4413	112	0.9677	-310.812
3957	5754	112	0.9937	312.230
946	2244	112	0.9868	-312.229
2244	9390	112	0.9464	-13.979
946	5754	112	0.9911	0.000
946	3957	112	0.9905	-312.230
2244	3957	112	0.9834	-0.000
49	62	114	0.8857	17.026
1821	5943	114	0.7714	59.037
62	1821	114	0.8955	-59.037
62	5943	114	0.8466	0.000
49	1821	114	0.813	-42.010
49	5943	114	0.8833	17.027
842	5665	115	0.9186	-334.236
3928	4322	117	0.9238	-15.955
3928	8004	117	0.8959	-49.976
2064	4681	117	0.9016	-100.049
4681	8004	117	0.9047	-20.003
3928	4681	117	0.9335	-29.972
4322	4681	117	0.9471	-14.017
11135	13214	120	0.9823	-13.981
2595	2596	121	0.9565	-44.025
6669	7050	123	0.9755	0.000
562	2860	124	0.8564	-36.021
3493	5987	126	0.8002	-2.015
6024	6621	126	0.8346	-2.011
3493	3711	126	0.7833	26.016
3493	6024	126	0.9093	-84.064
3711	5987	126	0.9219	-28.031
1184	1651	128	0.9573	30.010
505	1184	128	0.9295	-162.054
642	3100	131	0.9805	120.005
2411	2496	132	0.9867	-88.053
2443	2496	132	0.9912	-44.026
2411	2443	132	0.9895	-44.027
446	508	133	0.7615	-130.006
327	446	133	0.8545	-106.061
566	673	133	0.953	1.980
583	687	133	0.7048	-186.087
594	779	133	0.7389	56.024
687	779	133	0.7527	70.039
594	687	133	0.9808	-14.015
583	594	133	0.7843	-172.072
508	1223	133	0.8596	-17.026
508	779	133	0.7421	104.024
508	687	133	0.9346	33.985
566	583	133	0.9806	-0.001
508	594	133	0.9036	48.000
566	594	133	0.852	-172.073
583	673	133	0.991	1.980
566	687	133	0.7816	-186.088
3913	6890	135	0.9902	-0.001
4593	6890	135	0.9784	-2.017
3913	4593	135	0.9833	2.016
2850	7836	139	0.8381	-45.054
2850	10055	139	0.9335	28.031
215	512	148	0.9857	28.032
215	490	148	0.9557	56.062
490	512	148	0.9688	-28.031
3623	6614	153	0.8882	-33.990
3623	3856	153	0.9717	-14.017
3539	6614	153	0.9415	-86.111
2476	2536	155	0.9563	44.026
2412	2450	155	0.9891	44.026
2416	2476	155	0.9715	132.078
2412	2416	155	0.9974	-44.025
2412	2476	155	0.9801	88.052
2416	2450	155	0.9859	88.052
2450	2536	155	0.9669	88.052
2412	2536	155	0.9617	132.078
2450	2476	155	0.9685	44.026
2416	2536	155	0.9514	176.103
6419	6428	157	0.7907	-89.049
6588	12826	160	0.912	-25.967
12826	12936	160	0.9224	-214.120
5102	6588	160	0.9738	3.950
4115	7021	161	0.8865	-144.046
6976	7021	161	0.9793	-72.025
4115	6976	161	0.9322	-72.021
239	2500	162	0.9865	30.134
2820	3084	169	0.9324	2.009
3084	4098	169	0.9842	-28.031
2820	4295	169	0.9375	-24.005
3084	3907	169	0.9822	-26.016
2820	4053	169	0.9375	-26.020
4053	4098	169	0.9912	-0.002
3084	4295	169	0.9951	-26.014
2820	3907	169	0.9298	-24.006
3907	4053	169	0.9885	-2.014
4053	4295	169	0.9997	2.015
3084	4053	169	0.9953	-28.029
2820	4098	169	0.934	-26.022
3907	4295	169	0.9879	0.001
3907	4098	169	0.9911	-2.016
4098	4295	169	0.9899	2.017
