Metabolite ID,Log-fold Change,,,,P-value,,,,Q-value,,,,Standard Error,,,,W-value,,,
,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion
3316,-4.40E-06,-8.68E-07,8.34E-05,2.97E-04,,,,,,,,,,,,,,,,
2449,3.23E-04,-1.40E-04,-7.53E-05,-1.24E-04,,,,,,,,,,,,,,,,
573,2.63E-05,8.39E-06,-3.02E-06,-3.70E-05,,,,,,,,,,,,,,,,
513,2.45E-04,1.09E-04,7.57E-05,-7.74E-07,,,,,,,,,,,,,,,,
1063,1.82E-04,-1.17E-05,-6.59E-05,-8.96E-05,,,,,,,,,,,,,,,,
8970,8.93E-04,-6.65E-04,-5.31E-04,-5.93E-04,,,,,,,,,,,,,,,,
516,6.83E-04,1.29E-04,-7.07E-06,-1.27E-04,,,,,,,,,,,,,,,,
3561,-4.40E-06,-1.89E-06,-5.67E-06,1.71E-05,,,,,,,,,,,,,,,,
3940,-4.40E-06,-1.89E-06,-8.91E-06,1.51E-04,,,,,,,,,,,,,,,,
3473,-4.40E-06,-1.89E-06,1.27E-05,7.90E-05,,,,,,,,,,,,,,,,
1107,1.31E-04,2.08E-05,8.96E-05,3.41E-04,,,,,,,,,,,,,,,,
3744,-1.85E-06,-4.43E-06,-1.12E-05,2.09E-05,,,,,,,,,,,,,,,,
3825,-4.40E-06,-1.89E-06,1.09E-05,1.03E-04,,,,,,,,,,,,,,,,
4283,-4.40E-06,-1.89E-06,4.11E-05,2.09E-04,,,,,,,,,,,,,,,,
3474,-4.40E-06,-1.89E-06,7.73E-05,4.22E-04,,,,,,,,,,,,,,,,
1609,1.99E-05,-2.14E-06,-1.95E-05,-2.67E-05,,,,,,,,,,,,,,,,
7019,-4.40E-06,-1.89E-06,-8.23E-06,7.54E-05,,,,,,,,,,,,,,,,
5804,0.003891376,-0.00216713,-3.44E-04,1.50E-04,,,,,,,,,,,,,,,,
4802,-4.40E-06,-1.89E-06,1.02E-05,7.01E-05,,,,,,,,,,,,,,,,
3611,-4.40E-06,-1.48E-06,-3.90E-07,6.22E-07,,,,,,,,,,,,,,,,
460,0.001279131,-2.82E-04,-2.21E-04,-9.74E-05,,,,,,,,,,,,,,,,
570,9.83E-04,2.19E-04,4.84E-05,-2.21E-04,,,,,,,,,,,,,,,,
5736,0.004665383,6.92E-04,5.54E-04,-5.95E-04,,,,,,,,,,,,,,,,
645,2.23E-04,-5.34E-06,2.80E-05,9.72E-06,,,,,,,,,,,,,,,,
1503,-4.40E-06,2.37E-06,-6.40E-06,-1.87E-06,,,,,,,,,,,,,,,,
456,1.59E-04,3.30E-05,1.44E-05,-5.25E-05,,,,,,,,,,,,,,,,
6643,-4.40E-06,-1.89E-06,6.03E-06,1.26E-05,,,,,,,,,,,,,,,,
1527,1.71E-05,5.84E-06,2.25E-06,-1.27E-05,,,,,,,,,,,,,,,,
4577,-3.49E-06,-2.79E-06,-1.08E-05,-1.59E-05,,,,,,,,,,,,,,,,
150,3.35E-04,1.91E-05,1.76E-04,0.00244306,,,,,,,,,,,,,,,,
8918,-4.40E-06,-1.89E-06,1.12E-05,1.87E-04,,,,,,,,,,,,,,,,
2063,0.003152238,5.97E-04,1.19E-04,-6.20E-04,,,,,,,,,,,,,,,,
2084,1.13E-05,2.50E-06,1.99E-06,8.06E-06,,,,,,,,,,,,,,,,
1085,4.68E-06,2.59E-06,-9.67E-07,3.83E-06,,,,,,,,,,,,,,,,
3032,-4.40E-06,-1.89E-06,2.24E-05,2.65E-04,,,,,,,,,,,,,,,,
3558,-2.62E-06,-3.67E-06,-8.58E-06,1.11E-04,,,,,,,,,,,,,,,,
6693,-4.40E-06,-1.89E-06,-6.31E-06,-5.91E-06,,,,,,,,,,,,,,,,
3660,-3.14E-06,-1.43E-06,-3.79E-06,1.71E-05,,,,,,,,,,,,,,,,
2846,2.04E-05,4.37E-05,5.80E-05,4.11E-06,,,,,,,,,,,,,,,,
786,2.53E-04,-9.76E-05,-2.65E-05,-4.15E-05,,,,,,,,,,,,,,,,
1401,-4.40E-06,2.33E-08,-3.57E-06,2.35E-06,,,,,,,,,,,,,,,,
7454,9.96E-05,-7.50E-05,-1.01E-04,-1.06E-04,,,,,,,,,,,,,,,,
1661,8.54E-06,-7.80E-06,-1.45E-05,-2.28E-05,,,,,,,,,,,,,,,,
2376,1.80E-04,-4.80E-05,-1.42E-05,-6.01E-05,,,,,,,,,,,,,,,,
2479,7.70E-05,-3.19E-05,-2.38E-05,-4.53E-05,,,,,,,,,,,,,,,,
4315,-4.40E-06,-1.89E-06,5.38E-06,-2.97E-06,,,,,,,,,,,,,,,,
2968,-4.40E-06,-1.89E-06,9.16E-05,6.03E-04,,,,,,,,,,,,,,,,
5983,-3.12E-06,6.00E-07,3.58E-04,0.00104586,,,,,,,,,,,,,,,,
5847,3.67E-05,-2.71E-05,-4.22E-05,-6.27E-05,,,,,,,,,,,,,,,,
3537,-4.40E-06,-1.89E-06,1.75E-06,1.13E-04,,,,,,,,,,,,,,,,
194,1.79E-04,4.17E-05,-4.06E-05,-9.95E-05,,,,,,,,,,,,,,,,
3043,-4.40E-06,-1.42E-06,7.96E-06,9.97E-05,,,,,,,,,,,,,,,,
3602,-4.40E-06,-1.89E-06,-8.45E-06,2.74E-06,,,,,,,,,,,,,,,,
1651,2.04E-06,-3.17E-06,-1.29E-05,-2.33E-05,,,,,,,,,,,,,,,,
5190,-4.40E-06,-1.89E-06,5.13E-05,1.76E-04,,,,,,,,,,,,,,,,
3677,-1.26E-06,-5.02E-06,-1.29E-05,1.87E-05,,,,,,,,,,,,,,,,
1121,1.33E-04,2.07E-05,1.51E-04,4.72E-04,,,,,,,,,,,,,,,,
669,1.63E-04,-2.44E-05,-6.86E-05,-1.23E-04,,,,,,,,,,,,,,,,
6496,-4.40E-06,-1.57E-06,-4.18E-06,2.36E-04,,,,,,,,,,,,,,,,
1915,0.001590503,-1.11E-04,-7.02E-04,-0.001005496,,,,,,,,,,,,,,,,
866,0.001047806,-5.56E-05,-4.16E-05,-5.73E-05,,,,,,,,,,,,,,,,
6486,-4.40E-06,-1.89E-06,-8.77E-06,-1.29E-05,,,,,,,,,,,,,,,,
2529,4.14E-05,-1.05E-05,-8.23E-06,-1.50E-05,,,,,,,,,,,,,,,,
3866,-4.40E-06,-1.89E-06,-5.64E-06,5.10E-05,,,,,,,,,,,,,,,,
6396,1.08E-05,1.58E-05,-4.80E-06,-2.01E-05,,,,,,,,,,,,,,,,
3627,-4.40E-06,-1.89E-06,2.94E-05,2.77E-04,,,,,,,,,,,,,,,,
8468,-4.40E-06,-1.89E-06,-1.01E-05,-1.72E-06,,,,,,,,,,,,,,,,
1191,3.18E-05,6.61E-06,2.02E-05,2.60E-06,,,,,,,,,,,,,,,,
556,1.35E-04,7.70E-05,6.85E-05,3.58E-06,,,,,,,,,,,,,,,,
350,4.63E-04,1.00E-04,3.82E-04,0.001011363,,,,,,,,,,,,,,,,
302,0.002778819,-7.46E-04,-5.96E-04,-0.001516239,,,,,,,,,,,,,,,,
1245,3.74E-05,-1.85E-06,-1.23E-05,1.32E-06,,,,,,,,,,,,,,,,
2934,-4.40E-06,-1.89E-06,-1.74E-07,3.73E-04,,,,,,,,,,,,,,,,
4892,-4.40E-06,-1.89E-06,-9.49E-06,4.04E-06,,,,,,,,,,,,,,,,
918,2.09E-05,8.20E-06,1.76E-05,3.05E-06,,,,,,,,,,,,,,,,
2470,2.24E-04,-1.00E-04,-8.06E-05,-1.35E-04,,,,,,,,,,,,,,,,
717,1.85E-04,1.28E-06,6.21E-05,1.30E-04,,,,,,,,,,,,,,,,
613,2.10E-04,4.48E-06,-1.91E-05,-4.03E-05,,,,,,,,,,,,,,,,
4851,-4.40E-06,-1.89E-06,-9.25E-06,3.53E-05,,,,,,,,,,,,,,,,
2534,3.02E-05,-7.15E-06,-2.65E-06,-1.26E-05,,,,,,,,,,,,,,,,
5180,-4.40E-06,-1.89E-06,-6.37E-06,3.03E-05,,,,,,,,,,,,,,,,
3553,-4.40E-06,-1.89E-06,2.05E-05,1.19E-05,,,,,,,,,,,,,,,,
1623,4.91E-05,4.71E-05,-9.29E-07,-4.24E-05,,,,,,,,,,,,,,,,
2223,-4.40E-06,-1.89E-06,-1.01E-05,1.78E-05,,,,,,,,,,,,,,,,
3472,-4.40E-06,-1.89E-06,-6.46E-06,8.16E-05,,,,,,,,,,,,,,,,
551,-4.40E-06,-1.37E-06,-1.02E-05,2.52E-05,,,,,,,,,,,,,,,,
3533,-4.40E-06,-1.61E-06,4.87E-05,7.32E-04,,,,,,,,,,,,,,,,
305,-4.40E-06,-1.89E-06,-1.19E-05,9.35E-05,,,,,,,,,,,,,,,,
2141,1.14E-05,-1.56E-05,6.91E-05,3.81E-04,,,,,,,,,,,,,,,,
2081,2.55E-05,1.24E-05,4.82E-05,1.35E-04,,,,,,,,,,,,,,,,
2226,-3.40E-07,1.03E-07,-7.26E-06,-1.51E-05,,,,,,,,,,,,,,,,
555,3.86E-04,-4.36E-07,4.39E-05,2.96E-04,,,,,,,,,,,,,,,,
2957,-3.96E-07,5.55E-07,1.34E-06,4.26E-05,,,,,,,,,,,,,,,,
1153,-4.40E-06,-1.25E-06,2.53E-06,2.70E-05,,,,,,,,,,,,,,,,
4323,-4.40E-06,-1.89E-06,-6.31E-06,7.31E-05,,,,,,,,,,,,,,,,
3138,-4.40E-06,-1.89E-06,-1.11E-05,-1.10E-06,,,,,,,,,,,,,,,,
635,1.38E-04,5.21E-05,2.36E-05,-5.66E-05,,,,,,,,,,,,,,,,
2804,-1.42E-06,3.15E-06,4.10E-06,3.71E-05,,,,,,,,,,,,,,,,
6415,-4.40E-06,-1.89E-06,2.12E-05,1.31E-04,,,,,,,,,,,,,,,,
1553,-2.35E-06,2.90E-06,2.07E-06,-1.35E-05,,,,,,,,,,,,,,,,
1964,2.67E-06,-4.82E-06,6.22E-04,0.00202852,,,,,,,,,,,,,,,,
5813,2.62E-04,7.79E-06,3.92E-05,2.57E-04,,,,,,,,,,,,,,,,
1241,1.94E-06,9.54E-06,1.29E-04,7.51E-04,,,,,,,,,,,,,,,,
2326,-1.20E-06,5.66E-06,4.62E-04,0.001012547,,,,,,,,,,,,,,,,
3548,-4.40E-06,-1.89E-06,-1.61E-06,9.35E-05,,,,,,,,,,,,,,,,
2398,1.12E-04,-3.69E-05,-9.07E-06,-2.97E-05,,,,,,,,,,,,,,,,
533,0.001254318,2.89E-04,8.02E-05,-2.47E-04,,,,,,,,,,,,,,,,
10166,-4.40E-06,-1.89E-06,-8.55E-06,1.07E-04,,,,,,,,,,,,,,,,
1439,-4.40E-06,-1.89E-06,2.45E-04,8.09E-04,,,,,,,,,,,,,,,,
705,1.46E-04,4.39E-06,-3.29E-05,-9.13E-05,,,,,,,,,,,,,,,,
8020,-4.40E-06,-1.89E-06,-5.92E-06,-1.11E-05,,,,,,,,,,,,,,,,
3542,-4.40E-06,-1.89E-06,-9.61E-06,2.06E-05,,,,,,,,,,,,,,,,
2681,-4.40E-06,-1.89E-06,4.08E-05,4.17E-05,,,,,,,,,,,,,,,,
2845,-4.40E-06,-1.89E-06,-1.11E-05,-1.29E-05,,,,,,,,,,,,,,,,
582,1.52E-04,2.27E-05,1.37E-04,1.86E-04,,,,,,,,,,,,,,,,
1602,-4.40E-06,3.05E-06,1.87E-05,1.11E-05,,,,,,,,,,,,,,,,
4760,-4.40E-06,-1.89E-06,-9.09E-06,3.21E-06,,,,,,,,,,,,,,,,
2524,4.05E-05,1.19E-04,1.30E-04,-1.04E-05,,,,,,,,,,,,,,,,
3463,-4.40E-06,-1.67E-06,2.15E-04,6.41E-04,,,,,,,,,,,,,,,,
2430,7.23E-05,-1.53E-05,-2.02E-05,-2.77E-05,,,,,,,,,,,,,,,,
4724,-1.56E-06,-4.72E-06,-7.87E-06,1.44E-04,,,,,,,,,,,,,,,,
4065,-4.40E-06,-1.60E-06,2.80E-06,-5.92E-06,,,,,,,,,,,,,,,,
1146,3.24E-05,5.02E-07,-1.08E-05,-3.59E-05,,,,,,,,,,,,,,,,
885,5.86E-06,2.16E-05,-2.65E-07,-9.42E-06,,,,,,,,,,,,,,,,
936,9.67E-05,-1.32E-05,-2.58E-05,-2.37E-05,,,,,,,,,,,,,,,,
1741,3.76E-04,-1.08E-04,-1.58E-05,-6.40E-05,,,,,,,,,,,,,,,,
4613,-4.40E-06,-1.89E-06,-6.48E-06,4.57E-05,,,,,,,,,,,,,,,,
8038,-4.40E-06,-1.89E-06,-7.93E-06,9.19E-06,,,,,,,,,,,,,,,,
464,0.001292392,1.00E-04,1.73E-04,4.16E-04,,,,,,,,,,,,,,,,
6379,-1.36E-06,-3.07E-06,-1.26E-05,1.04E-05,,,,,,,,,,,,,,,,
1194,1.21E-05,1.90E-06,-1.98E-06,-1.48E-05,,,,,,,,,,,,,,,,
490,6.87E-04,-7.37E-05,7.01E-05,4.29E-05,,,,,,,,,,,,,,,,
1520,3.50E-05,1.12E-06,1.76E-04,8.87E-04,,,,,,,,,,,,,,,,
7797,-4.40E-06,-1.89E-06,-9.59E-06,9.67E-08,,,,,,,,,,,,,,,,
1749,4.81E-05,-2.28E-05,-3.10E-05,-4.24E-05,,,,,,,,,,,,,,,,
779,9.66E-05,8.22E-06,-2.03E-05,-4.19E-05,,,,,,,,,,,,,,,,
604,3.65E-05,-3.19E-05,-3.86E-05,-4.70E-05,,,,,,,,,,,,,,,,
1580,0.001739389,6.23E-04,5.62E-04,-7.73E-05,,,,,,,,,,,,,,,,
1166,3.33E-05,-1.83E-05,-1.39E-05,-2.50E-05,,,,,,,,,,,,,,,,
2373,8.78E-05,-4.01E-05,-2.87E-06,-2.88E-05,,,,,,,,,,,,,,,,
181,-4.40E-06,-1.89E-06,1.70E-05,8.16E-05,,,,,,,,,,,,,,,,
2719,1.85E-04,-7.38E-05,-3.34E-05,-5.14E-05,,,,,,,,,,,,,,,,
2055,2.04E-04,1.22E-04,1.65E-04,4.39E-04,,,,,,,,,,,,,,,,
2817,-4.40E-06,-1.57E-06,4.68E-05,2.83E-04,,,,,,,,,,,,,,,,
475,1.85E-04,-1.64E-04,-7.22E-05,5.28E-05,,,,,,,,,,,,,,,,
1097,4.68E-04,-8.14E-05,2.31E-04,-9.13E-06,,,,,,,,,,,,,,,,
1848,2.01E-04,-3.14E-05,9.49E-05,6.84E-05,,,,,,,,,,,,,,,,
2537,6.14E-05,-1.58E-05,-1.76E-05,-6.47E-06,,,,,,,,,,,,,,,,
4446,-2.19E-06,2.81E-05,2.17E-05,-1.08E-05,,,,,,,,,,,,,,,,
567,0.001383535,2.15E-04,8.41E-04,3.17E-04,,,,,,,,,,,,,,,,
1178,9.32E-06,-8.55E-09,-1.30E-05,-1.13E-05,,,,,,,,,,,,,,,,
2208,-4.40E-06,-1.30E-06,1.58E-05,3.76E-04,,,,,,,,,,,,,,,,
566,5.91E-04,3.23E-07,-9.77E-05,-2.21E-04,,,,,,,,,,,,,,,,
2792,2.05E-05,-2.86E-07,-3.03E-05,-4.22E-05,,,,,,,,,,,,,,,,
4285,-4.40E-06,-1.89E-06,4.82E-05,1.48E-04,,,,,,,,,,,,,,,,
860,4.79E-05,2.23E-05,2.05E-05,-4.20E-06,,,,,,,,,,,,,,,,
627,7.54E-05,2.80E-05,2.29E-05,-2.07E-05,,,,,,,,,,,,,,,,
3625,-4.40E-06,-1.89E-06,5.65E-07,4.21E-05,,,,,,,,,,,,,,,,
487,9.51E-04,5.33E-05,2.57E-05,1.96E-04,,,,,,,,,,,,,,,,
650,1.56E-04,1.79E-06,-1.38E-06,-3.57E-05,,,,,,,,,,,,,,,,
1172,2.23E-05,2.10E-05,2.89E-05,8.83E-05,,,,,,,,,,,,,,,,
2206,-4.40E-06,-1.89E-06,1.85E-04,9.44E-04,,,,,,,,,,,,,,,,
1576,1.99E-04,-2.21E-05,-6.25E-05,-1.49E-04,,,,,,,,,,,,,,,,
