Metabolite ID,Log-fold Change,,,,P-value,,,,Q-value,,,,Standard Error,,,,W-value,,,
,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion
648,2.33E-04,-5.40E-06,7.23E-05,-1.10E-06,,,,,,,,,,,,,,,,
1758,-1.22E-06,5.55E-06,1.34E-04,3.83E-04,,,,,,,,,,,,,,,,
2598,4.21E-05,-1.62E-05,-1.91E-05,-2.50E-05,,,,,,,,,,,,,,,,
2860,-4.40E-06,-1.48E-06,4.85E-05,7.33E-04,,,,,,,,,,,,,,,,
307,-4.40E-06,0.00165718,0.00204354,0.003110569,,,,,,,,,,,,,,,,
534,1.29E-04,-3.91E-05,-2.93E-05,-7.30E-05,,,,,,,,,,,,,,,,
712,5.41E-05,-2.39E-05,-3.39E-05,-5.15E-05,,,,,,,,,,,,,,,,
2047,-1.72E-06,1.31E-05,3.35E-07,-6.32E-06,,,,,,,,,,,,,,,,
2194,-4.40E-06,-1.89E-06,1.27E-04,3.61E-04,,,,,,,,,,,,,,,,
746,1.34E-04,8.50E-05,3.25E-04,9.85E-04,,,,,,,,,,,,,,,,
928,3.72E-04,-1.65E-04,-3.61E-05,-1.70E-04,,,,,,,,,,,,,,,,
2394,1.43E-04,-3.98E-05,-6.09E-06,-3.55E-05,,,,,,,,,,,,,,,,
496,9.96E-04,2.83E-04,-1.28E-04,-3.96E-04,,,,,,,,,,,,,,,,
3620,-4.40E-06,-1.89E-06,-1.10E-05,9.17E-06,,,,,,,,,,,,,,,,
4662,-4.40E-06,-1.89E-06,-2.57E-06,2.15E-05,,,,,,,,,,,,,,,,
2330,2.91E-04,-5.13E-05,-4.57E-05,-2.10E-04,,,,,,,,,,,,,,,,
3576,-4.40E-06,-1.89E-06,-2.91E-06,7.40E-05,,,,,,,,,,,,,,,,
2668,8.46E-06,-6.77E-06,-1.13E-05,-8.10E-06,,,,,,,,,,,,,,,,
540,4.39E-04,3.68E-05,-5.35E-05,-1.49E-04,,,,,,,,,,,,,,,,
6525,-4.40E-06,-1.89E-06,5.63E-05,3.80E-05,,,,,,,,,,,,,,,,
430,3.28E-05,3.37E-06,-1.23E-05,-2.58E-05,,,,,,,,,,,,,,,,
4938,1.95E-06,-8.24E-06,-1.37E-05,8.37E-05,,,,,,,,,,,,,,,,
2455,1.30E-04,-4.68E-05,-3.36E-05,-6.68E-05,,,,,,,,,,,,,,,,
266,5.97E-06,-9.09E-06,3.39E-06,-1.62E-05,,,,,,,,,,,,,,,,
3318,-4.40E-06,-1.89E-06,5.83E-05,5.00E-04,,,,,,,,,,,,,,,,
3328,-4.40E-06,-1.89E-06,2.63E-05,1.83E-04,,,,,,,,,,,,,,,,
1884,-4.40E-06,1.23E-05,9.42E-04,0.003013628,,,,,,,,,,,,,,,,
4717,-4.40E-06,-1.89E-06,-5.62E-06,5.66E-06,,,,,,,,,,,,,,,,
3603,-4.40E-06,-1.89E-06,-1.08E-05,7.86E-06,,,,,,,,,,,,,,,,
756,1.87E-04,-2.00E-05,8.26E-05,5.23E-05,,,,,,,,,,,,,,,,
930,-2.39E-06,9.79E-06,-3.93E-06,1.96E-05,,,,,,,,,,,,,,,,
3326,-4.40E-06,-1.89E-06,3.86E-05,3.25E-05,,,,,,,,,,,,,,,,
501,4.81E-04,6.79E-05,7.23E-05,-4.57E-05,,,,,,,,,,,,,,,,
3508,-4.40E-06,-1.89E-06,1.24E-05,4.02E-04,,,,,,,,,,,,,,,,
3546,-4.40E-06,-1.89E-06,-3.81E-06,8.61E-05,,,,,,,,,,,,,,,,
2750,8.28E-05,9.36E-06,0.001604475,0.005498021,,,,,,,,,,,,,,,,
512,6.99E-04,2.76E-06,1.33E-04,6.82E-04,,,,,,,,,,,,,,,,
2538,6.53E-05,-3.18E-05,-3.17E-05,-4.70E-05,,,,,,,,,,,,,,,,
4840,-4.40E-06,-1.89E-06,-1.06E-05,5.44E-06,,,,,,,,,,,,,,,,
1505,5.04E-06,-5.37E-06,-1.51E-06,-3.20E-06,,,,,,,,,,,,,,,,
1265,4.73E-04,1.44E-04,1.02E-05,6.03E-05,,,,,,,,,,,,,,,,
2999,-4.40E-06,-1.89E-06,8.42E-06,9.03E-05,,,,,,,,,,,,,,,,
467,1.35E-04,1.63E-06,1.42E-04,9.13E-05,,,,,,,,,,,,,,,,
1807,-4.40E-06,-1.07E-06,-7.07E-06,7.66E-06,,,,,,,,,,,,,,,,
2383,8.61E-05,-2.49E-05,3.32E-06,-2.52E-05,,,,,,,,,,,,,,,,
2242,2.01E-05,-7.08E-06,2.18E-04,0.001517799,,,,,,,,,,,,,,,,
535,0.001736165,-3.05E-04,-5.08E-04,-4.90E-04,,,,,,,,,,,,,,,,
10032,5.06E-04,6.04E-05,4.88E-04,1.11E-04,,,,,,,,,,,,,,,,
5525,-4.40E-06,-1.89E-06,-6.85E-06,4.29E-06,,,,,,,,,,,,,,,,
652,7.65E-05,-1.53E-06,2.67E-05,4.29E-05,,,,,,,,,,,,,,,,
7397,8.83E-06,3.61E-06,-3.90E-06,2.73E-06,,,,,,,,,,,,,,,,
2186,-4.40E-06,-1.89E-06,5.27E-05,1.56E-04,,,,,,,,,,,,,,,,
1854,1.20E-04,1.61E-05,7.20E-06,4.17E-05,,,,,,,,,,,,,,,,
1008,1.71E-04,-1.03E-04,-3.71E-05,-4.75E-05,,,,,,,,,,,,,,,,
3319,-4.40E-06,-1.54E-06,7.77E-06,8.16E-05,,,,,,,,,,,,,,,,
457,5.35E-04,-1.62E-04,-1.62E-04,-2.56E-04,,,,,,,,,,,,,,,,
2849,-4.40E-06,-1.89E-06,8.95E-05,7.86E-04,,,,,,,,,,,,,,,,
2179,-4.40E-06,-1.64E-06,8.25E-06,4.03E-05,,,,,,,,,,,,,,,,
2685,-1.09E-06,3.40E-07,3.66E-04,0.001498659,,,,,,,,,,,,,,,,
3482,-4.40E-06,-1.89E-06,-8.28E-06,-1.47E-05,,,,,,,,,,,,,,,,
3160,-4.40E-06,-1.89E-06,2.03E-05,2.14E-04,,,,,,,,,,,,,,,,
3601,-4.40E-06,-1.89E-06,-8.85E-06,3.08E-05,,,,,,,,,,,,,,,,
3016,-4.40E-06,-1.89E-06,-7.73E-06,9.78E-05,,,,,,,,,,,,,,,,
2382,2.09E-04,-6.48E-05,-2.11E-05,-7.47E-05,,,,,,,,,,,,,,,,
1175,3.88E-04,3.63E-05,2.40E-04,1.75E-04,,,,,,,,,,,,,,,,
443,0.003308141,-4.24E-04,-3.17E-04,-1.72E-04,,,,,,,,,,,,,,,,
935,1.44E-04,3.38E-05,1.45E-04,3.11E-04,,,,,,,,,,,,,,,,
1645,0.002459909,3.97E-04,2.22E-04,-3.39E-04,,,,,,,,,,,,,,,,
554,0.00108064,8.71E-05,0.000166272,3.12E-04,,,,,,,,,,,,,,,,
3535,-4.40E-06,-1.89E-06,3.60E-05,6.40E-04,,,,,,,,,,,,,,,,
2810,-4.40E-06,-1.38E-06,2.72E-05,4.88E-04,,,,,,,,,,,,,,,,
601,3.19E-04,3.04E-05,-2.98E-05,-1.37E-04,,,,,,,,,,,,,,,,
4146,1.31E-06,-5.68E-06,-1.41E-05,-2.48E-05,,,,,,,,,,,,,,,,
4322,-4.40E-06,-1.89E-06,1.22E-05,1.93E-05,,,,,,,,,,,,,,,,
716,2.41E-04,-8.72E-05,-6.43E-05,-6.31E-05,,,,,,,,,,,,,,,,
2874,-4.40E-06,-1.59E-06,-3.37E-06,3.36E-04,,,,,,,,,,,,,,,,
1510,4.75E-05,3.86E-05,1.79E-05,9.84E-06,,,,,,,,,,,,,,,,
4367,-4.40E-06,-1.89E-06,2.60E-06,5.16E-05,,,,,,,,,,,,,,,,
539,5.56E-04,5.07E-05,-6.17E-05,-1.62E-04,,,,,,,,,,,,,,,,
2722,3.23E-05,-1.45E-05,-1.10E-05,-2.90E-05,,,,,,,,,,,,,,,,
5984,-4.40E-06,-1.89E-06,1.18E-04,3.92E-04,,,,,,,,,,,,,,,,
1061,5.38E-05,-2.11E-05,-3.25E-05,-4.96E-05,,,,,,,,,,,,,,,,
483,8.29E-04,1.10E-04,-1.18E-04,-4.24E-04,,,,,,,,,,,,,,,,
3693,-4.40E-06,-1.89E-06,1.50E-06,2.30E-04,,,,,,,,,,,,,,,,
453,0.005093482,4.15E-04,7.34E-04,6.82E-04,,,,,,,,,,,,,,,,
3599,-4.40E-06,-1.89E-06,-1.13E-05,1.79E-05,,,,,,,,,,,,,,,,
6048,-4.40E-06,-1.89E-06,-9.66E-06,8.56E-05,,,,,,,,,,,,,,,,
5939,-4.40E-06,-1.89E-06,1.15E-06,8.65E-06,,,,,,,,,,,,,,,,
1680,6.64E-04,2.88E-04,9.20E-04,5.74E-04,,,,,,,,,,,,,,,,
2042,-4.40E-06,1.62E-05,1.23E-05,-1.10E-06,,,,,,,,,,,,,,,,
2205,5.57E-05,-1.05E-05,7.08E-06,8.57E-05,,,,,,,,,,,,,,,,
907,1.74E-04,9.93E-05,5.17E-04,7.52E-04,,,,,,,,,,,,,,,,
664,1.63E-04,1.78E-05,4.64E-05,-1.40E-05,,,,,,,,,,,,,,,,
495,9.81E-05,3.64E-05,-3.34E-06,-7.12E-05,,,,,,,,,,,,,,,,
2244,3.23E-06,-5.84E-06,1.79E-04,6.36E-04,,,,,,,,,,,,,,,,
1437,1.23E-04,-1.62E-05,6.48E-05,1.54E-04,,,,,,,,,,,,,,,,
212,8.47E-05,2.75E-05,1.37E-04,3.90E-04,,,,,,,,,,,,,,,,
583,4.75E-04,4.91E-06,1.12E-06,-8.30E-05,,,,,,,,,,,,,,,,
1455,9.48E-06,-1.04E-05,-2.26E-05,-3.27E-05,,,,,,,,,,,,,,,,
1096,2.95E-04,9.98E-05,2.97E-04,0.001033517,,,,,,,,,,,,,,,,
3445,1.71E-07,-2.24E-06,-1.28E-05,-2.29E-05,,,,,,,,,,,,,,,,
2763,7.53E-06,-7.23E-06,-1.75E-05,-2.94E-05,,,,,,,,,,,,,,,,
3515,-3.21E-06,-3.07E-06,2.10E-05,7.14E-05,,,,,,,,,,,,,,,,
967,1.64E-05,4.64E-06,7.58E-06,-2.85E-05,,,,,,,,,,,,,,,,
1043,-1.76E-06,-2.96E-06,4.36E-04,0.001728734,,,,,,,,,,,,,,,,
811,7.86E-05,-7.32E-05,-7.85E-05,-2.86E-05,,,,,,,,,,,,,,,,
1264,-2.60E-07,1.28E-05,2.16E-07,-1.85E-05,,,,,,,,,,,,,,,,
816,-7.68E-07,4.01E-07,7.09E-05,5.12E-05,,,,,,,,,,,,,,,,
2621,2.37E-05,-1.62E-05,-1.35E-05,-2.14E-05,,,,,,,,,,,,,,,,
7367,-4.40E-06,-1.89E-06,1.53E-04,7.66E-04,,,,,,,,,,,,,,,,
732,-1.21E-06,1.52E-07,-1.16E-05,-2.35E-05,,,,,,,,,,,,,,,,
3458,-4.40E-06,-1.89E-06,4.41E-06,1.99E-06,,,,,,,,,,,,,,,,
2054,1.06E-04,-2.87E-05,1.88E-04,0.001092496,,,,,,,,,,,,,,,,
1547,8.76E-04,8.43E-04,4.42E-04,-7.06E-05,,,,,,,,,,,,,,,,
396,-4.40E-06,-1.89E-06,3.07E-05,1.43E-04,,,,,,,,,,,,,,,,
916,9.54E-05,4.27E-05,-5.64E-06,-3.68E-05,,,,,,,,,,,,,,,,
926,4.61E-05,2.98E-05,2.12E-04,7.58E-04,,,,,,,,,,,,,,,,
634,3.15E-04,5.98E-05,-5.43E-05,-8.14E-05,,,,,,,,,,,,,,,,
856,2.54E-04,-9.17E-05,-2.11E-05,-4.65E-05,,,,,,,,,,,,,,,,
1320,7.64E-05,5.73E-08,3.09E-06,4.01E-05,,,,,,,,,,,,,,,,
740,-4.40E-06,3.67E-06,-7.10E-06,-1.75E-05,,,,,,,,,,,,,,,,
2686,-4.40E-06,-1.12E-06,-6.93E-06,-8.22E-06,,,,,,,,,,,,,,,,
1056,-2.33E-06,3.42E-06,9.84E-05,4.83E-04,,,,,,,,,,,,,,,,
5260,-3.03E-06,-1.90E-06,-4.33E-06,-9.60E-06,,,,,,,,,,,,,,,,
451,0.001039326,7.96E-05,0.001203048,0.001733368,,,,,,,,,,,,,,,,
4280,-4.40E-06,-1.89E-06,1.03E-04,2.56E-04,,,,,,,,,,,,,,,,
765,2.89E-04,-1.81E-06,1.76E-04,6.18E-05,,,,,,,,,,,,,,,,
2060,2.60E-04,9.05E-05,1.20E-04,5.11E-04,,,,,,,,,,,,,,,,
2159,-4.40E-06,-1.89E-06,2.73E-06,4.71E-05,,,,,,,,,,,,,,,,
4745,-4.40E-06,-1.89E-06,7.62E-05,2.45E-04,,,,,,,,,,,,,,,,
5754,1.98E-04,1.23E-05,3.24E-04,0.001325757,,,,,,,,,,,,,,,,
472,3.49E-04,6.81E-05,1.15E-04,7.11E-05,,,,,,,,,,,,,,,,
5028,-4.40E-06,-1.89E-06,1.90E-05,1.12E-04,,,,,,,,,,,,,,,,
8444,7.10E-07,9.05E-06,1.23E-05,4.37E-05,,,,,,,,,,,,,,,,
2850,-4.40E-06,-1.89E-06,-1.17E-05,-2.24E-06,,,,,,,,,,,,,,,,
3196,3.78E-06,2.08E-05,6.41E-06,-1.34E-05,,,,,,,,,,,,,,,,
3118,-4.40E-06,1.62E-06,1.55E-05,5.74E-05,,,,,,,,,,,,,,,,
730,7.91E-05,3.40E-05,3.47E-05,2.05E-04,,,,,,,,,,,,,,,,
3045,-4.40E-06,-1.89E-06,-1.09E-05,3.74E-05,,,,,,,,,,,,,,,,
215,0.001884552,1.11E-04,4.87E-05,4.45E-04,,,,,,,,,,,,,,,,
3943,-4.40E-06,-1.89E-06,5.68E-06,1.54E-04,,,,,,,,,,,,,,,,
5979,-6.57E-07,-9.94E-07,8.86E-06,2.76E-05,,,,,,,,,,,,,,,,
2911,-4.40E-06,-1.66E-06,-1.11E-05,8.19E-05,,,,,,,,,,,,,,,,
6463,-4.40E-06,-1.89E-06,6.81E-05,4.69E-05,,,,,,,,,,,,,,,,
3185,1.12E-05,2.30E-05,2.30E-05,7.22E-06,,,,,,,,,,,,,,,,
758,4.63E-04,-6.00E-05,-2.08E-05,-3.93E-05,,,,,,,,,,,,,,,,
673,4.48E-04,1.96E-05,-6.19E-05,-1.60E-04,,,,,,,,,,,,,,,,
241,0.004951817,-6.77E-04,4.12E-04,3.98E-04,,,,,,,,,,,,,,,,
2532,4.54E-05,-2.86E-05,-2.26E-05,-3.19E-05,,,,,,,,,,,,,,,,
4277,-4.40E-06,-1.89E-06,7.16E-05,3.91E-04,,,,,,,,,,,,,,,,
3440,4.04E-05,-2.06E-05,-2.22E-05,-3.42E-05,,,,,,,,,,,,,,,,
