SampleID,add_0c,add_0c_group,facility
65252_S1635_L003_R1_001.trimmed.fastq.gz,154.4,active,STAFS
65234_S1645_L003_R1_001.trimmed.fastq.gz,161.6,active,STAFS
65233_S2136_L003_R1_001.trimmed.fastq.gz,149.05,active,STAFS
65218_S1696_L003_R1_001.trimmed.fastq.gz,139.9,active,STAFS
65216_S1643_L003_R1_001.trimmed.fastq.gz,117.15,active,STAFS
65198_S1689_L003_R1_001.trimmed.fastq.gz,132.15,active,STAFS
65196_S1664_L003_R1_001.trimmed.fastq.gz,99.65,active,STAFS
65182_S1653_L003_R1_001.trimmed.fastq.gz,82.45,active,STAFS
65180_S1705_L003_R1_001.trimmed.fastq.gz,47.45,early,STAFS
65162_S1639_L003_R1_001.trimmed.fastq.gz,61.6,active,STAFS
65161_S2114_L003_R1_001.trimmed.fastq.gz,36.9,early,STAFS
65147_S2269_L003_R1_001.trimmed.fastq.gz,29.15,early,STAFS
65144_S1636_L003_R1_001.trimmed.fastq.gz,7.2,early,STAFS
65127_S2213_L003_R1_001.trimmed.fastq.gz,18.9,early,STAFS
65125_S2148_L003_R1_001.trimmed.fastq.gz,0,day0,STAFS
65109_S2188_L006_R1_001.trimmed.fastq.gz,205,advanced,STAFS
65090_S1706_L003_R1_001.trimmed.fastq.gz,225.85,advanced,STAFS
65074_S1702_L003_R1_001.trimmed.fastq.gz,180.3,active,STAFS
65073_S2129_L003_R1_001.trimmed.fastq.gz,162.3,active,STAFS
65055_S2285_L003_R1_001.trimmed.fastq.gz,172.55,active,STAFS
65053_S2023_L003_R1_001.trimmed.fastq.gz,150.6,active,STAFS
65038_S1691_L003_R1_001.trimmed.fastq.gz,143.4,active,STAFS
65017_S2214_L003_R1_001.trimmed.fastq.gz,111.45,active,STAFS
65002_S1640_L003_R1_001.trimmed.fastq.gz,103.65,active,STAFS
65001_S2182_L006_R1_001.trimmed.fastq.gz,96.1,active,STAFS
