SampleID	add_0c	add_0c_group	facility
64479_S2030_L003_R1_001.trimmed.fastq.gz	161	active	UTK
64476_S1932_L003_R1_001.trimmed.fastq.gz	133.9	active	UTK
64461_S2134_L003_R1_001.trimmed.fastq.gz	94.1	active	UTK
64442_S1983_L003_R1_001.trimmed.fastq.gz	109.7	active	UTK
64441_S2098_L003_R1_001.trimmed.fastq.gz	80.4	active	UTK
64426_S1988_L003_R1_001.trimmed.fastq.gz	64.5	active	UTK
64406_S2004_L003_R1_001.trimmed.fastq.gz	49.3	early	UTK
64404_S1980_L003_R1_001.trimmed.fastq.gz	15.8	early	UTK
64390_S1981_L003_R1_001.trimmed.fastq.gz	3.9	early	UTK
64388_S1607_L003_R1_001.trimmed.fastq.gz	0	early	UTK
64370_S2000_L003_R1_001.trimmed.fastq.gz	0	early	UTK
64368_S1979_L003_R1_001.trimmed.fastq.gz	0	day0	UTK
64354_S1870_L003_R1_001.trimmed.fastq.gz	267.15	advanced	CMU
64352_S1856_L003_R1_001.trimmed.fastq.gz	243.55	advanced	CMU
64334_S1862_L003_R1_001.trimmed.fastq.gz	254.4	advanced	CMU
64332_S1861_L003_R1_001.trimmed.fastq.gz	235.2	advanced	CMU
64319_S2161_L003_R1_001.trimmed.fastq.gz	224.05	advanced	CMU
64316_S1867_L003_R1_001.trimmed.fastq.gz	202.45	advanced	CMU
64298_S1858_L003_R1_001.trimmed.fastq.gz	213.25	advanced	CMU
64296_S1864_L003_R1_001.trimmed.fastq.gz	191.65	active	CMU
64280_S1855_L003_R1_001.trimmed.fastq.gz	144.95	active	CMU
64262_S1859_L003_R1_001.trimmed.fastq.gz	162.45	active	CMU
64246_S1860_L003_R1_001.trimmed.fastq.gz	109.7	active	CMU
64244_S1796_L003_R1_001.trimmed.fastq.gz	76.65	active	CMU
64226_S1866_L003_R1_001.trimmed.fastq.gz	92.2	active	CMU
64210_S1865_L003_R1_001.trimmed.fastq.gz	46.95	early	CMU
64208_S1857_L003_R1_001.trimmed.fastq.gz	24.15	early	CMU
64190_S1863_L003_R1_001.trimmed.fastq.gz	34.15	early	CMU
64174_S1875_L003_R1_001.trimmed.fastq.gz	0	day0	CMU
64155_S2280_L003_R1_001.trimmed.fastq.gz	33.65	early	CMU
64152_S1929_L003_R1_001.trimmed.fastq.gz	33.4	early	CMU
64138_S1998_L003_R1_001.trimmed.fastq.gz	28.95	early	CMU
64136_S1614_L003_R1_001.trimmed.fastq.gz	27.8	early	CMU
64118_S1945_L003_R1_001.trimmed.fastq.gz	28.65	early	CMU
64116_S1612_L003_R1_001.trimmed.fastq.gz	26.7	early	CMU
64101_S2167_L003_R1_001.trimmed.fastq.gz	22.8	early	CMU
64082_S1895_L003_R1_001.trimmed.fastq.gz	24.75	early	CMU
64080_S1883_L003_R1_001.trimmed.fastq.gz	20.3	early	CMU
63848_S1666_L003_R1_001.trimmed.fastq.gz	156	active	SHSU
63828_S1682_L003_R1_001.trimmed.fastq.gz	144.6	active	SHSU
63794_S1695_L003_R1_001.trimmed.fastq.gz	122.1	active	SHSU
63778_S1675_L003_R1_001.trimmed.fastq.gz	109.2	active	SHSU
63776_S1671_L003_R1_001.trimmed.fastq.gz	109.15	active	SHSU
63758_S1686_L003_R1_001.trimmed.fastq.gz	109.2	active	SHSU
63756_S1680_L003_R1_001.trimmed.fastq.gz	105	active	SHSU
63742_S1660_L003_R1_001.trimmed.fastq.gz	95.8	active	SHSU
63740_S1687_L003_R1_001.trimmed.fastq.gz	83.6	active	SHSU
63723_S2239_L003_R1_001.trimmed.fastq.gz	88.3	active	SHSU
63720_S1647_L003_R1_001.trimmed.fastq.gz	79.15	active	SHSU
63705_S2198_L003_R1_001.trimmed.fastq.gz	57.45	active	SHSU
63687_S2220_L003_R1_001.trimmed.fastq.gz	66.6	active	SHSU
63670_S1670_L003_R1_001.trimmed.fastq.gz	34.7	early	SHSU
63668_S1685_L003_R1_001.trimmed.fastq.gz	0	day0	SHSU
63650_S1634_L003_R1_001.trimmed.fastq.gz	17.2	early	SHSU
63634_S1649_L003_R1_001.trimmed.fastq.gz	191.6	active	SHSU
63633_S2228_L003_R1_001.trimmed.fastq.gz	178.25	active	SHSU
63614_S1665_L003_R1_001.trimmed.fastq.gz	187.45	active	SHSU
63612_S1650_L003_R1_001.trimmed.fastq.gz	170.75	active	SHSU
63598_S2231_L003_R1_001.trimmed.fastq.gz	12.45	early	CMU
62063_S1904_L003_R1_001.trimmed.fastq.gz	12.45	early	CMU
62048_S1615_L003_R1_001.trimmed.fastq.gz	8.65	early	CMU
62030_S1901_L003_R1_001.trimmed.fastq.gz	12.25	early	CMU
62028_S1937_L003_R1_001.trimmed.fastq.gz	6.15	early	CMU
62012_S1995_L003_R1_001.trimmed.fastq.gz	0	early	CMU
61992_S1893_L003_R1_001.trimmed.fastq.gz	0	early	CMU
61978_S1930_L003_R1_001.trimmed.fastq.gz	0	early	CMU
61959_S2154_L006_R1_001.trimmed.fastq.gz	0	day0	CMU
61957_S2205_L003_R1_001.trimmed.fastq.gz	19.35	early	CMU
61940_S1999_L003_R1_001.trimmed.fastq.gz	18.8	early	CMU
61923_S2174_L003_R1_001.trimmed.fastq.gz	19.35	early	CMU
61921_S2267_L003_R1_001.trimmed.fastq.gz	18.8	early	CMU
61884_S1896_L003_R1_001.trimmed.fastq.gz	12.7	early	CMU
61869_S2035_L003_R1_001.trimmed.fastq.gz	12.45	early	CMU
61832_S1534_L003_R1_001.trimmed.fastq.gz	373.2	advanced	UTK
61812_S1528_L003_R1_001.trimmed.fastq.gz	357.1	advanced	UTK
61796_S1540_L003_R1_001.trimmed.fastq.gz	316.6	advanced	UTK
61778_S1537_L003_R1_001.trimmed.fastq.gz	328.2	advanced	UTK
61776_S1593_L003_R1_001.trimmed.fastq.gz	299.7	advanced	UTK
61762_S1595_L003_R1_001.trimmed.fastq.gz	276	advanced	UTK
61760_S1550_L003_R1_001.trimmed.fastq.gz	229.7	advanced	UTK
61742_S1597_L003_R1_001.trimmed.fastq.gz	252.1	advanced	UTK
61740_S1548_L003_R1_001.trimmed.fastq.gz	209.3	advanced	UTK
61726_S1600_L003_R1_001.trimmed.fastq.gz	187.6	active	UTK
61724_S1554_L003_R1_001.trimmed.fastq.gz	146.4	active	UTK
61706_S1599_L003_R1_001.trimmed.fastq.gz	166.5	active	UTK
61690_S1543_L003_R1_001.trimmed.fastq.gz	112.4	active	UTK
61688_S1541_L003_R1_001.trimmed.fastq.gz	79.4	active	UTK
61668_S1527_L003_R1_001.trimmed.fastq.gz	62.5	active	UTK
61654_S1531_L003_R1_001.trimmed.fastq.gz	40.8	early	UTK
61652_S1539_L003_R1_001.trimmed.fastq.gz	0	day0	UTK
61634_S1532_L003_R1_001.trimmed.fastq.gz	20.4	early	UTK
61632_S1535_L003_R1_001.trimmed.fastq.gz	383	advanced	UTK
61618_S1529_L003_R1_001.trimmed.fastq.gz	361.3	advanced	UTK
61616_S1538_L003_R1_001.trimmed.fastq.gz	320.1	advanced	UTK
61598_S1533_L003_R1_001.trimmed.fastq.gz	340.2	advanced	UTK
61596_S1526_L003_R1_001.trimmed.fastq.gz	302.8	advanced	UTK
61582_S1587_L003_R1_001.trimmed.fastq.gz	286.1	advanced	UTK
61580_S1606_L003_R1_001.trimmed.fastq.gz	253.1	advanced	UTK
61562_S1596_L003_R1_001.trimmed.fastq.gz	269.7	advanced	UTK
61560_S1598_L003_R1_001.trimmed.fastq.gz	236.2	advanced	UTK
61544_S1592_L003_R1_001.trimmed.fastq.gz	173.7	active	UTK
61526_S1588_L003_R1_001.trimmed.fastq.gz	194.1	active	UTK
61490_S1601_L003_R1_001.trimmed.fastq.gz	111.5	active	UTK
61488_S1561_L003_R1_001.trimmed.fastq.gz	76.2	active	UTK
61474_S1563_L003_R1_001.trimmed.fastq.gz	60.4	active	UTK
61472_S1559_L003_R1_001.trimmed.fastq.gz	21.3	early	UTK
61454_S1605_L003_R1_001.trimmed.fastq.gz	41.7	early	UTK
61452_S1604_L003_R1_001.trimmed.fastq.gz	0	day0	UTK
61438_S1536_L003_R1_001.trimmed.fastq.gz	383	advanced	UTK
61436_S1546_L003_R1_001.trimmed.fastq.gz	340.2	advanced	UTK
61418_S1542_L003_R1_001.trimmed.fastq.gz	361.3	advanced	UTK
61416_S1549_L003_R1_001.trimmed.fastq.gz	320.1	advanced	UTK
61402_S1530_L003_R1_001.trimmed.fastq.gz	302.8	advanced	UTK
61400_S1547_L003_R1_001.trimmed.fastq.gz	269.7	advanced	UTK
61380_S1553_L003_R1_001.trimmed.fastq.gz	253.1	advanced	UTK
61366_S1564_L003_R1_001.trimmed.fastq.gz	236.2	advanced	UTK
61346_S1562_L003_R1_001.trimmed.fastq.gz	214.5	advanced	UTK
61344_S1603_L003_R1_001.trimmed.fastq.gz	173.7	active	UTK
61330_S1590_L003_R1_001.trimmed.fastq.gz	152.3	active	UTK
61328_S1586_L003_R1_001.trimmed.fastq.gz	111.5	active	UTK
61310_S1591_L003_R1_001.trimmed.fastq.gz	130.7	active	UTK
61272_S1558_L003_R1_001.trimmed.fastq.gz	21.3	early	UTK
61258_S1560_L003_R1_001.trimmed.fastq.gz	0	day0	UTK
61256_S1834_L003_R1_001.trimmed.fastq.gz	236.4	advanced	SHSU
61239_S2048_L003_R1_001.trimmed.fastq.gz	254.5	advanced	SHSU
61237_S2054_L003_R1_001.trimmed.fastq.gz	219.45	advanced	SHSU
61222_S1824_L003_R1_001.trimmed.fastq.gz	213.9	advanced	SHSU
61220_S1851_L003_R1_001.trimmed.fastq.gz	203	advanced	SHSU
61202_S1878_L003_R1_001.trimmed.fastq.gz	210.25	advanced	SHSU
61200_S1828_L003_R1_001.trimmed.fastq.gz	190.5	active	SHSU
61186_S1809_L003_R1_001.trimmed.fastq.gz	178.6	active	SHSU
61184_S1838_L003_R1_001.trimmed.fastq.gz	159.15	active	SHSU
61166_S1801_L003_R1_001.trimmed.fastq.gz	169.15	active	SHSU
61164_S1822_L003_R1_001.trimmed.fastq.gz	149.4	active	SHSU
61150_S1841_L003_R1_001.trimmed.fastq.gz	137.75	active	SHSU
61148_S1850_L003_R1_001.trimmed.fastq.gz	116.1	active	SHSU
61130_S1849_L003_R1_001.trimmed.fastq.gz	127.45	active	SHSU
61128_S1807_L003_R1_001.trimmed.fastq.gz	99.45	active	SHSU
61114_S1810_L003_R1_001.trimmed.fastq.gz	15.55	early	SHSU
61095_S2071_L003_R1_001.trimmed.fastq.gz	0	day0	SHSU
61092_S1871_L003_R1_001.trimmed.fastq.gz	342.45	advanced	SHSU
61078_S1852_L003_R1_001.trimmed.fastq.gz	80.3	active	SHSU
61076_S1820_L003_R1_001.trimmed.fastq.gz	47.5	early	SHSU
61058_S1843_L003_R1_001.trimmed.fastq.gz	63.6	active	SHSU
61057_S2062_L003_R1_001.trimmed.fastq.gz	30.55	early	SHSU
61040_S1874_L003_R1_001.trimmed.fastq.gz	289.9	advanced	SHSU
61022_S1876_L003_R1_001.trimmed.fastq.gz	305.2	advanced	SHSU
61020_S1873_L003_R1_001.trimmed.fastq.gz	281	advanced	SHSU
61004_S1818_L003_R1_001.trimmed.fastq.gz	230.7	advanced	SHSU
60984_S1815_L003_R1_001.trimmed.fastq.gz	209.6	advanced	SHSU
60971_S2144_L006_R1_001.trimmed.fastq.gz	189.05	active	SHSU
60969_S2186_L003_R1_001.trimmed.fastq.gz	154	active	SHSU
60950_S1836_L003_R1_001.trimmed.fastq.gz	170.4	active	SHSU
60948_S1847_L003_R1_001.trimmed.fastq.gz	135.35	active	SHSU
60934_S1808_L003_R1_001.trimmed.fastq.gz	117.55	active	SHSU
60932_S1842_L003_R1_001.trimmed.fastq.gz	82	active	SHSU
60914_S1817_L003_R1_001.trimmed.fastq.gz	100.6	active	SHSU
60912_S1797_L003_R1_001.trimmed.fastq.gz	62.55	active	SHSU
60898_S1837_L003_R1_001.trimmed.fastq.gz	40.6	early	SHSU
60896_S1835_L003_R1_001.trimmed.fastq.gz	0	day0	SHSU
60878_S1804_L003_R1_001.trimmed.fastq.gz	19.45	early	SHSU
60862_S1827_L003_R1_001.trimmed.fastq.gz	342.45	advanced	SHSU
60860_S1831_L003_R1_001.trimmed.fastq.gz	305.2	advanced	SHSU
60842_S1832_L003_R1_001.trimmed.fastq.gz	326.9	advanced	SHSU
60826_S1877_L003_R1_001.trimmed.fastq.gz	281	advanced	SHSU
