Row,Carbohydrates,Lipids,AminoAcids
SHSU.bins.289.xml,0.287625,0.013846154,0.114513158
SHSU.bins.292.xml,0.364153846,0.364153846,0.4
SHSU.bins.294.xml,0.66475,0.496482143,1.1265
SHSU.bins.319.xml,1.001,0.002,0.213875
SHSU.bins.329.xml,0.29,0.002,0.199419118
SHSU.bins.330.xml,0.20175,0.191666667,0.230107143
SHSU.bins.332.xml,0.645410189,0.609310345,0.746388889
SHSU.bins.335.xml,750.491625,750.4446583,750.58875
SHSU.bins.336.xml,1.166233333,0.107,0.303333333
SHSU.bins.351.xml,0.434625,0.4271875,0.458333333
SHSU.bins.353.xml,0.675,0.311129464,0.32146875
SHSU.bins.354.xml,0.325,0.25175,0.25175
SHSU.bins.358.xml,0.1,0.1,0.1
SHSU.bins.36.xml,0.052,0.003,0.2255
SHSU.bins.361.xml,0.001,0.000666667,0.002
SHSU.bins.365.xml,0.004875,0.004875,0.175
SHSU.bins.380.xml,0.268916667,0.06375,1.22525
SHSU.bins.382.xml,0.055375,0.054916667,0.485443548
SHSU.bins.384.xml,0.2335,0.16935,0.187079787
SHSU.bins.39.xml,0.738875,0.174375,0.44575
SHSU.bins.393.xml,0.2,0.00225,0.002214286
SHSU.bins.399.xml,0.701309524,0.682895833,0.734380952
SHSU.bins.40.xml,0.3525,0.3313125,0.33280625
SHSU.bins.402.xml,0.08525,0.0433,0.6391
SHSU.bins.403.xml,0.003,0.003,0.3
SHSU.bins.412.xml,0.786294444,0.25859375,0.49025
SHSU.bins.42.xml,1.004,0.003,0.816779817
SHSU.bins.420.xml,0.00016,0.00016,0.01325
SHSU.bins.426.xml,0.0045,0.1209,0.156333333
SHSU.bins.438.xml,750.301,750.2885817,750.3333333
SHSU.bins.443.xml,0.243125,0.0779375,0.4015
SHSU.bins.450.xml,0.507,0.208,0.738
SHSU.bins.451.xml,0.123208333,0.009479167,0.041614583
SHSU.bins.453.xml,0.10075,0.003,0.2005
SHSU.bins.455.xml,0.4765,0.442432692,0.622222222
SHSU.bins.459.xml,0.325,0.0254,0.2265
SHSU.bins.466.xml,0.8,0.108473684,0.3005
SHSU.bins.47.xml,0.20325,0.006,0.08475
SHSU.bins.477.xml,0.404166667,0.0295,0.18025
SHSU.bins.48.xml,1.6005,0.005,0.005
SHSU.bins.483.xml,0,0,0
SHSU.bins.49.xml,2.598333333,1.223464286,1.840909091
SHSU.bins.492.xml,17.00133333,0.816916667,0.961166667
SHSU.bins.499.xml,0.833583333,0.4277,0.484055556
SHSU.bins.5.xml,0.40025,0.174875,0.313
SHSU.bins.50.xml,1.31725,0.014714286,1.816375
SHSU.bins.512.xml,750.3285952,750.054125,750.1015
SHSU.bins.513.xml,2.069,0.02,0.2025
SHSU.bins.517.xml,500.3375,500.2772917,500.32175
SHSU.bins.52.xml,0.529,0.249694444,0.57625
SHSU.bins.530.xml,0.061976257,0.033676471,1.029239286
SHSU.bins.531.xml,0.242613636,0.003,0.676
SHSU.bins.534.xml,1.0460625,0.610367647,0.7365
SHSU.bins.544.xml,0.100666667,0.003,0.1505
SHSU.bins.549.xml,0.2655,0.01575,0.4395
SHSU.bins.556.xml,0.077285714,0.137380952,0.210519048
SHSU.bins.56.xml,0.614961538,0.008666667,0.008666667
SHSU.bins.561.xml,0.052,0.003,0.175787879
SHSU.bins.562.xml,1.835085937,0.42490625,0.5775625
SHSU.bins.565.xml,0.72625,0.37575,0.440833333
SHSU.bins.59.xml,0.108019574,0.083096899,0.127367958
SHSU.bins.64.xml,750.5888889,750.3885174,750.3733438
SHSU.bins.68.xml,0.393006173,0.403777778,0.992464037
SHSU.bins.71.xml,0.975,0.007666667,0.170149979
SHSU.bins.72.xml,875.3938333,875.30525,875.388125
SHSU.bins.79.xml,0.343035714,0.080587838,0.323208333
SHSU.bins.83.xml,0.514375,0.472217742,0.543569444
SHSU.bins.84.xml,1.45,0.009,0.009
SHSU.bins.88.xml,3.48775,0.087791667,0.74447619
SHSU.bins.89.xml,0.2488125,0.084,0.458625
SHSU_active.final.134.xml,0.21725,0.01625,0.375
SHSU_active.final.139.xml,1.50475,0.010333333,1.342333333
SHSU_active.final.30.xml,0.151125,0.0025,0.50075
SHSU_active.final.35.xml,3.388125,0.199625,0.9774125
SHSU_active.final.50.xml,0.5505,0.207,0.5255
SHSU_active.final.52.xml,2,0.01875,0.2256
SHSU_active.final.55.xml,0.226,0.226,0.291666667
SHSU_active.final.81.xml,0.571625,0.459699127,0.590463039
SHSU_advanced.final.124.xml,0.227891026,0.227891026,0.5
SHSU_advanced.final.129.xml,0.435666667,0.0846,0.635
SHSU_advanced.final.136.xml,0.002,0.002,0.15
SHSU_advanced.final.149.xml,0.425583333,0.044682181,0.44175
SHSU_advanced.final.153.xml,0.310591954,0.292683333,0.413416667
