sample_name,season,subjects,add_0c,add_0c_group,facility,timepoint
soil.hip.UTK.K016.08.2017.Jan.13.day7,winter,K016.08,49.3,early,UTK,49
soil.hip.UTK.K016.08.2017.Jan.11.day5,winter,K016.08,15.8,early,UTK,16
soil.hip.UTK.K016.08.2017.Jan.10.day4,winter,K016.08,3.9,early,UTK,4
soil.hip.UTK.K016.08.2017.Jan.08.day2,winter,K016.08,0,early,UTK,0
soil.hip.UTK.K016.08.2017.Jan.09.day3,winter,K016.08,0,early,UTK,0
soil.hip.UTK.K016.08.2017.Jan.06.day1,winter,K016.08,0,day0,UTK,0
soil.hip.CMU.17.04.2017.03.day21,winter,Mr 17-04,267.15,advanced,CMU,267
soil.hip.CMU.17.04.2017.03.day19,winter,Mr 17-04,243.55,advanced,CMU,244
soil.hip.CMU.17.04.2017.03.day20,winter,Mr 17-04,254.4,advanced,CMU,254
soil.hip.CMU.17.04.2017.03.day18,winter,Mr 17-04,235.2,advanced,CMU,235
soil.hip.CMU.17.04.2017.03.day17,winter,Mr 17-04,224.05,advanced,CMU,224
soil.hip.CMU.17.04.2017.03.day15,winter,Mr 17-04,202.45,advanced,CMU,202
soil.hip.CMU.17.04.2017.03.day16,winter,Mr 17-04,213.25,advanced,CMU,213
soil.hip.CMU.17.04.2017.03.day14,winter,Mr 17-04,191.65,active,CMU,192
soil.hip.CMU.17.04.2017.03.day11,winter,Mr 17-04,144.95,active,CMU,145
