SampleID,Carbohydrates,Lipids,AminoAcids,facility,State,Conv_time,host_subject_ID,ADD
61562_S1596_L003,0.199028579,0.083335795,0.332354948,ARF,advanced,269.7,UTK.K016.05,269.7
61580_S1606_L003,0.217754049,0.094629419,0.313502972,ARF,advanced,253.1,UTK.K016.05,253.1
61582_S1587_L003,0.208372406,0.079969136,0.333840464,ARF,advanced,286.1,UTK.K016.05,286.1
61596_S1526_L003,0.203643045,0.093389348,0.314729054,ARF,advanced,302.8,UTK.K016.05,302.8
61598_S1533_L003,0.182795662,0.085577213,0.353806574,ARF,advanced,340.2,UTK.K016.05,340.2
61616_S1538_L003,0.176809217,0.077904024,0.385844483,ARF,advanced,320.1,UTK.K016.05,320.1
61618_S1529_L003,0.170437575,0.073421376,0.388479031,ARF,advanced,361.3,UTK.K016.05,361.3
61632_S1535_L003,0.193208909,0.083024889,0.355093892,ARF,advanced,383,UTK.K016.05,383
61634_S1532_L003,0.343731845,0.110423175,0.157114352,ARF,early,20.4,UTK.K016.06,20.4
61652_S1539_L003,0.349399672,0.115293821,0.15879901,ARF,day0,0,UTK.K016.06,0
61654_S1531_L003,0.293033914,0.098135209,0.218009076,ARF,early,40.8,UTK.K016.06,40.8
61668_S1527_L003,0.31739071,0.116488956,0.178710981,ARF,active,62.5,UTK.K016.06,62.5
61688_S1541_L003,0.289697186,0.101991145,0.161179203,ARF,active,79.4,UTK.K016.06,79.4
61690_S1543_L003,0.19504085,0.112371871,0.422384097,ARF,active,112.4,UTK.K016.06,112.4
61706_S1599_L003,0.201916142,0.101509112,0.405134985,ARF,active,166.5,UTK.K016.06,166.5
61724_S1554_L003,0.214918725,0.128603661,0.40596585,ARF,active,146.4,UTK.K016.06,146.4
61726_S1600_L003,0.191490427,0.108398634,0.421185997,ARF,active,187.6,UTK.K016.06,187.6
61740_S1548_L003,0.189320884,0.098987142,0.382600059,ARF,advanced,209.3,UTK.K016.06,209.3
61742_S1597_L003,0.209364934,0.094976845,0.385107873,ARF,advanced,252.1,UTK.K016.06,252.1
61760_S1550_L003,0.205533853,0.110172168,0.409143967,ARF,advanced,229.7,UTK.K016.06,229.7
61762_S1595_L003,0.197555776,0.087569832,0.371372852,ARF,advanced,276,UTK.K016.06,276
61776_S1593_L003,0.203145057,0.087263688,0.389919475,ARF,advanced,299.7,UTK.K016.06,299.7
61778_S1537_L003,0.173754282,0.080559134,0.404556926,ARF,advanced,328.2,UTK.K016.06,328.2
61796_S1540_L003,0.206590282,0.089855494,0.384943594,ARF,advanced,316.6,UTK.K016.06,316.6
61812_S1528_L003,0.200877371,0.117663053,0.399802212,ARF,advanced,357.1,UTK.K016.06,357.1
61832_S1534_L003,0.208931935,0.097400594,0.392737456,ARF,advanced,373.2,UTK.K016.06,373.2
64368_S1979_L003,0.233154591,0.091652597,0.141426712,ARF,day0,0,K016.08,0
64370_S2000_L003,0.229640931,0.083425684,0.132184104,ARF,early,0,K016.08,0
64388_S1607_L003,0.21730856,0.078675489,0.129100628,ARF,early,0,K016.08,0
64390_S1981_L003,0.182747134,0.074383294,0.129954256,ARF,early,3.9,K016.08,3.9
64404_S1980_L003,0.234430352,0.106102925,0.157179032,ARF,early,15.8,K016.08,15.8
64406_S2004_L003,0.209811484,0.0798917,0.128765886,ARF,early,49.3,K016.08,49.3
64426_S1988_L003,0.275423694,0.130773757,0.16267312,ARF,active,64.5,K016.08,64.5
64441_S2098_L003,0.389124104,0.180308039,0.143347901,ARF,active,80.4,K016.08,80.4
64442_S1983_L003,0.453583207,0.198851579,0.109693389,ARF,active,109.7,K016.08,109.7
64461_S2134_L003,0.295047395,0.127358054,0.152545392,ARF,active,94.1,K016.08,94.1
64476_S1932_L003,0.289669841,0.119686322,0.126087205,ARF,active,133.9,K016.08,133.9
64479_S2030_L003,0.668092443,0.29045337,0.07490841,ARF,active,161,K016.08,161
64496_S1946_L003,0.302149127,0.112757457,0.118457376,ARF,active,148.3,K016.08,148.3
64498_S1934_L003,0.358948251,0.149938849,0.118460914,ARF,active,174.6,K016.08,174.6
64512_S1882_L003,0.355145901,0.143588453,0.107563652,ARF,active,186.2,K016.08,186.2
64532_S1880_L003,0.235491519,0.100431366,0.149428693,ARF,active,194.1,K016.08,194.1
64534_S1994_L003,0.33701367,0.151142249,0.120564433,ARF,advanced,212.9,K016.08,212.9
64548_S1996_L003,0.381671558,0.178859948,0.14745277,ARF,advanced,215.9,K016.08,215.9
64550_S1620_L003,0.229470463,0.097086262,0.147348106,ARF,early,0,K016.07,0
64568_S1611_L003,0.273112597,0.124671917,0.171281039,ARF,day0,0,K016.07,0
64584_S2010_L003,0.251020969,0.107209798,0.1550224,ARF,early,3.9,K016.07,3.9
64586_S1616_L003,0.229447706,0.11682054,0.178357324,ARF,early,32.8,K016.07,32.8
64604_S1610_L003,0.242934225,0.104001695,0.153342416,ARF,early,15.8,K016.07,15.8
64623_S2021_L003,0.26008372,0.132540761,0.18437892,ARF,active,94.1,K016.07,94.1
64640_S1992_L003,0.230199978,0.102951635,0.152906901,ARF,active,80.4,K016.07,80.4
64642_S1987_L003,0.251851289,0.11985096,0.154614008,ARF,active,109.7,K016.07,109.7
64656_S1619_L003,0.235543648,0.109240481,0.154087616,ARF,active,124.1,K016.07,124.1
64658_S1613_L003,0.183309063,0.155116681,0.137059446,ARF,active,148.3,K016.07,148.3
64676_S1941_L003,0.103859722,0.205285275,0.104028498,ARF,active,133.9,K016.07,133.9
64692_S1617_L003,0.246902863,0.159122239,0.203856689,ARF,active,174.6,K016.07,174.6
64694_S1984_L003,0.224754668,0.123394225,0.174531669,ARF,active,194.1,K016.07,194.1
64713_S2247_L003,0.232034662,0.128572631,0.189400816,ARF,active,186.2,K016.07,186.2
64714_S1985_L003,0.200279612,0.151614375,0.174523181,ARF,advanced,202.2,K016.07,202.2
64728_S1976_L003,0.220925283,0.117596325,0.175368437,ARF,advanced,212.9,K016.07,212.9
64750_S1991_L003,0.202033059,0.164127825,0.275127999,ARF,early,0,K016.09,0
64764_S1989_L003,0.204803028,0.160653652,0.259906467,ARF,early,0,K016.09,0
64766_S2007_L003,0.21668104,0.178006621,0.286801743,ARF,early,15.8,K016.09,15.8
64784_S2008_L003,0.212099504,0.178901632,0.295385113,ARF,early,3.9,K016.09,3.9
64786_S1982_L003,0.210084721,0.173162589,0.285785934,ARF,early,32.8,K016.09,32.8
64800_S1993_L003,0.211709881,0.175092759,0.291107083,ARF,early,49.3,K016.09,49.3
64802_S1978_L003,0.206738737,0.17094294,0.288870577,ARF,active,80.4,K016.09,80.4
64820_S1621_L003,0.221185308,0.179100881,0.286369553,ARF,active,64.5,K016.09,64.5
64822_S2009_L003,0.207839522,0.167985008,0.28561719,ARF,active,94.1,K016.09,94.1
64836_S2011_L003,0.228884587,0.151489725,0.312479867,ARF,active,109.7,K016.09,109.7
64838_S1897_L003,0.227841636,0.14296164,0.323964427,ARF,active,133.9,K016.09,133.9
64856_S1958_L003,0.213392318,0.140300863,0.290890262,ARF,active,124.1,K016.09,124.1
64858_S1963_L003,0.233345721,0.146830979,0.32428688,ARF,active,148.3,K016.09,148.3
64872_S1954_L003,0.228001291,0.137112108,0.314537358,ARF,active,161,K016.09,161
64874_S1884_L003,0.244175454,0.112460344,0.354108425,ARF,active,186.2,K016.09,186.2
64892_S1997_L003,0.266527346,0.083396853,0.397745276,ARF,active,174.6,K016.09,174.6
64894_S1939_L003,0.255005087,0.079712472,0.388789167,ARF,active,194.1,K016.09,194.1
64908_S2001_L003,0.269001268,0.064001634,0.420603576,ARF,advanced,202.2,K016.09,202.2
64911_S2290_L003,0.268369002,0.05982799,0.427097508,ARF,advanced,215.9,K016.09,215.9
64928_S1933_L003,0.257168169,0.085150536,0.388665646,ARF,advanced,212.9,K016.09,212.9
