id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
3707,-3.165574413495975e-6,-1.2053297362739364e-6,-2.625944345453213e-6,2.8453759551460264e-6
1100,0.0032682367651577023,4.389017383055928e-4,-5.420937907370828e-4,-6.589720613989697e-4
1098,0.0019402116417275093,3.465025527652349e-4,0.001089317621197203,-4.400469365746198e-4
4311,-3.1655744134959734e-6,1.4070568425674515e-6,-1.4104700428715302e-6,2.845375955146025e-6
4776,-3.1655744134959798e-6,-2.460436592663069e-7,-3.968562856683399e-6,2.8453759551460353e-6
1157,2.1648533953835445e-5,-1.654856817463034e-5,-1.0685509642001984e-5,-1.0282396134453112e-5
2043,0.0010912852623222115,7.40267227549963e-5,-3.1306047509747155e-4,-3.607829234316454e-4
3312,1.980933839401516e-5,-2.3898650936742385e-5,-1.3755943354314376e-5,-2.012953685236514e-5
1088,-1.765609692313527e-6,-2.134144317739283e-6,-4.702685140929513e-6,2.1545166720813886e-6
1119,4.049755438464077e-4,9.039380131035776e-5,-1.2264954836369236e-4,-1.338225516392535e-4
351,0.0025256068013105692,-1.2354518147602995e-4,-2.4000205272740812e-4,-3.3039190943196683e-4
3944,-3.1655744134959734e-6,-1.2295618651015962e-6,-3.591463562022057e-6,2.8453759551460234e-6
3584,-3.165574413495968e-6,8.07767340888171e-6,-1.3877968912611724e-6,2.845375955146023e-6
3324,-3.16557441349597e-6,-1.19759137884458e-6,1.2844302153566601e-5,2.845375955146024e-6
3539,-3.165574413495973e-6,-1.4649823086733664e-6,1.8971065466728283e-5,2.8453759551460217e-6
3716,-3.1655744134959798e-6,-6.963821139497493e-7,-1.6049331886115665e-6,2.8453759551460285e-6
499,3.2985496819705386e-4,-7.762355529899642e-6,-1.1839489841464695e-4,-1.411506092083245e-4
3922,-3.1655744134959705e-6,3.6316179906520603e-6,2.601501943796949e-5,2.845375955146023e-6
338,0.0011112094476208513,-2.553079694927236e-4,-5.650335485577219e-4,-5.0401356641228215e-6
3688,-3.1655744134959772e-6,9.292996700737402e-6,1.937979580696784e-5,2.845375955146031e-6
526,1.1289780131948536e-4,-7.833074852495214e-6,-2.0633686564831006e-5,-2.5923474593161424e-5
3180,-3.165574413495983e-6,-1.2786840698840166e-6,1.5839247360146433e-5,3.624247768630134e-6
182,2.2164924344335196e-4,-1.437846267140814e-5,3.5284486934793766e-5,-4.282531092121939e-5
1577,6.231354845109097e-6,-2.1159658149735572e-6,-1.8784954502288303e-6,-1.337016797659917e-6
4067,-3.1655744134959764e-6,-1.4000681760052172e-6,5.0932212476459925e-6,2.845375955146029e-6
2207,-3.1655744134959688e-6,1.064657846815402e-5,6.100342649794947e-6,2.845375955146022e-6
