id	add_0c	predicted observed_otus	observed_otus	host_subject_id	residual	sample_site
soil.ctrl.SHSU.2016.072.2016.11.07.day4	62.55	740.5325307	769	2016.072	-31.72104508	Control Soil
soil.ctrl.SHSU.2016.072.2016.11.08.day5	82	745.0879504	429	2016.072	-376.2764648	Control Soil
soil.ctrl.SHSU.2016.072.2016.11.09.day6	100.6	749.4442902	802	2016.072	-7.632804557	Control Soil
soil.ctrl.SHSU.2016.072.2016.11.14.day11	189.05	770.160325	500	2016.072	-330.3488394	Control Soil
soil.ctrl.SHSU.2016.073.2016.11.07.day4	62.55	740.5325307	678	2016.073	-39.14678492	Control Soil
soil.ctrl.SHSU.2016.073.2016.11.10.day7	117.55	753.4141804	779	2016.073	48.97156537	Control Soil
soil.ctrl.SHSU.2016.073.2016.11.17.day14	252.9	785.1147493	544	2016.073	-217.7290035	Control Soil
soil.ctrl.SHSU.2016.073.2016.11.21.day18	305.2	797.3640271	496	2016.073	-277.9782813	Control Soil
soil.ctrl.SHSU.2016.073.2016.11.23.day20	342.45	806.0884171	684	2016.073	-98.70267133	Control Soil
soil.ctrl.SHSU.2016.073.2016.11.24.day21	357.45	809.6015943	793	2016.073	6.784151481	Control Soil
soil.ctrl.SHSU.2016.076.2016.11.23.day2	15.55	729.5245755	824	2016.076	12.70449121	Control Soil
soil.ctrl.SHSU.2016.076.2016.11.24.day3	30.55	733.0377527	753	2016.076	-61.80868599	Control Soil
soil.ctrl.SHSU.2016.076.2016.11.25.day4	47.5	737.0076429	726	2016.076	-92.77857621	Control Soil
soil.ctrl.SHSU.2016.076.2016.11.26.day5	63.6	740.7784531	503	2016.076	-319.5493864	Control Soil
soil.ctrl.SHSU.2016.076.2016.11.28.day7	99.45	749.1749466	909	2016.076	78.05412011	Control Soil
soil.ctrl.SHSU.2016.076.2016.11.29.day8	116.1	753.0745733	651	2016.076	-183.8455066	Control Soil
soil.ctrl.SHSU.2016.076.2016.11.30.day9	127.45	755.7328773	814	2016.076	-23.50381065	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.01.day10	137.75	758.145259	667	2016.076	-172.9161923	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.02.day11	149.4	760.8738266	752	2016.076	-90.64475994	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.03.day12	159.15	763.1573918	900	2016.076	55.07167489	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.04.day13	169.15	765.4995099	905	2016.076	57.72955676	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.05.day14	178.6	767.7128116	671	2016.076	-178.4837449	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.06.day15	190.5	770.4999321	881	2016.076	28.72913455	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.07.day16	203	773.4275798	735	2016.076	-120.1985131	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.08.day17	210.25	775.1256154	855	2016.076	-1.896548749	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.09.day18	213.9	775.9804886	931	2016.076	73.24857813	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.10.day19	219.45	777.2803641	929	2016.076	69.94870257	Control Soil
soil.ctrl.SHSU.2016.076.2016.12.11.day20	236.4	781.2502543	1028	2016.076	164.9788123	Control Soil
soil.ctrl.SHSU.206.072.2016.11.16.day13	230.7	779.915247	341	2016.072	-499.1037614	Control Soil
