id	add_0c	sample_site	predicted observed_otus	residual	host_subject_id	observed_otus
soil.ctrl.CMU.16.12.2016.10.day.day4	14.4	Control Soil	640.1831413	150.8825361	16-12	844
soil.ctrl.CMU.16.12.2016.10.day.day5	16.9	Control Soil	640.1254316	33.94024578	16-12	727
soil.ctrl.CMU.16.12.2016.10.day.day6	20.8	Control Soil	640.0354046	-106.9697272	16-12	586
soil.ctrl.CMU.16.12.2016.10.day.day7	25.8	Control Soil	639.9199853	179.1456921	16-12	872
soil.ctrl.CMU.16.12.2016.10.day.day8	26.1	Control Soil	639.9130602	108.1526172	16-12	801
soil.ctrl.CMU.16.12.2016.10.day.day9	26.1	Control Soil	639.9130602	-402.8473828	16-12	290
soil.ctrl.CMU.16.12.2016.11.day.day11	26.1	Control Soil	639.9130602	344.1526172	16-12	1037
soil.ctrl.CMU.16.12.2016.11.day.day12	26.1	Control Soil	639.9130602	99.15261725	16-12	792
soil.ctrl.CMU.16.12.2016.11.day.day14	26.1	Control Soil	639.9130602	26.15261725	16-12	719
soil.ctrl.CMU.16.12.2016.11.day.day15	27.5	Control Soil	639.8807428	-112.8150654	16-12	580
soil.ctrl.CMU.16.12.2016.11.day.day16	27.5	Control Soil	639.8807428	-125.8150654	16-12	567
soil.ctrl.CMU.16.12.2016.11.day.day17	27.5	Control Soil	639.8807428	-448.8150654	16-12	244
soil.ctrl.CMU.16.12.2016.11.day.day18	27.5	Control Soil	639.8807428	165.1849346	16-12	858
soil.ctrl.CMU.16.12.2016.11.day.day19	27.5	Control Soil	639.8807428	-39.81506536	16-12	653
soil.ctrl.CMU.16.12.2016.11.day.day20	27.5	Control Soil	639.8807428	36.18493464	16-12	729
soil.ctrl.CMU.16.12.2016.11.day.day21	31.1	Control Soil	639.7976409	122.2680365	16-12	815
soil.ctrl.CMU.16.14.2016.11.day.day1	0	Control Soil	640.5155488	263.5044217	16-14	970
soil.ctrl.CMU.16.14.2016.12.day.day10	1.4	Control Soil	640.4832314	294.5367391	16-14	1001
soil.ctrl.CMU.16.14.2016.12.day.day11	1.4	Control Soil	640.4832314	-227.4632609	16-14	479
soil.ctrl.CMU.16.14.2016.12.day.day12	1.4	Control Soil	640.4832314	-354.4632609	16-14	352
soil.ctrl.CMU.16.14.2016.12.day.day13	5	Control Soil	640.4001295	103.6198409	16-14	810
soil.ctrl.CMU.16.14.2016.12.day.day14	6.95	Control Soil	640.355116	106.6648544	16-14	813
soil.ctrl.CMU.16.14.2016.12.day.day15	6.95	Control Soil	640.355116	-70.33514555	16-14	636
soil.ctrl.CMU.16.14.2016.12.day.day16	8.05	Control Soil	640.3297237	-152.3097533	16-14	554
soil.ctrl.CMU.16.14.2016.12.day.day17	12.75	Control Soil	640.2212296	241.7987408	16-14	948
soil.ctrl.CMU.16.14.2016.12.day.day18	19.4	Control Soil	640.067722	-100.0477516	16-14	606
soil.ctrl.CMU.16.14.2016.12.day.day19	19.4	Control Soil	640.067722	-288.0477516	16-14	418
soil.ctrl.CMU.16.14.2016.12.day.day20	19.4	Control Soil	640.067722	-273.0477516	16-14	433
soil.ctrl.CMU.16.14.2016.12.day.day21	19.4	Control Soil	640.067722	291.9522484	16-14	998
soil.ctrl.CMU.16.14.2016.12.day.day3	0	Control Soil	640.5155488	355.5044217	16-14	1062
soil.ctrl.CMU.16.14.2016.12.day.day4	0	Control Soil	640.5155488	50.50442166	16-14	757
soil.ctrl.CMU.16.14.2016.12.day.day6	0	Control Soil	640.5155488	13.50442166	16-14	720
soil.ctrl.CMU.16.14.2016.12.day.day8	1.4	Control Soil	640.4832314	-64.46326095	16-14	642
soil.ctrl.CMU.16.14.2016.12.day.day9	1.4	Control Soil	640.4832314	-214.4632609	16-14	492
soil.ctrl.CMU.17.12.2017.10.10.day1	0	Control Soil	640.5155488	-338.9285128	17-12	280
soil.ctrl.CMU.17.12.2017.10.11.day2	12.8	Control Soil	640.2200754	-356.6330394	17-12	262
soil.ctrl.CMU.17.12.2017.10.12.day3	28.65	Control Soil	639.8541963	-217.2671603	17-12	401
soil.ctrl.CMU.17.12.2017.10.13.day4	41.7	Control Soil	639.552952	-65.96591602	17-12	552
soil.ctrl.CMU.17.12.2017.10.16.day7	68.95	Control Soil	638.923917	70.66311903	17-12	688
soil.ctrl.CMU.17.12.2017.10.17.day8	80.35	Control Soil	638.660761	-99.07372502	17-12	518
soil.ctrl.CMU.17.12.2017.10.18.day9	93.95	Control Soil	638.3468206	-112.7597846	17-12	504
soil.ctrl.CMU.17.12.2017.10.19.day10	107.85	Control Soil	638.025955	-129.438919	17-12	487
soil.ctrl.CMU.17.12.2017.10.20.day11	125.05	Control Soil	637.6289127	-18.0418767	17-12	598
soil.ctrl.CMU.17.12.2017.10.22.day13	141.75	Control Soil	637.2434123	30.34362368	17-12	646
soil.ctrl.CMU.17.12.2017.10.26.day17	190.95	Control Soil	636.1076867	22.47934934	17-12	637
soil.ctrl.CMU.17.12.2017.10.27.day18	200.4	Control Soil	635.8895442	41.69749177	17-12	656
soil.ctrl.CMU.17.12.2017.10.28.day19	211.5	Control Soil	635.6333134	4.953722564	17-12	619
soil.ctrl.CMU.17.12.2017.10.29.day20	222.9	Control Soil	635.3701575	-142.7831215	17-12	471
