community	medium	size	mip	mro	stage	Facility
Loop39	complete	20	30	0.634135006	early	STAFS
Loop4	complete	20	25	0.668288368	early	STAFS
Loop40	complete	20	26	0.664076298	early	STAFS
Loop41	complete	20	30	0.651124455	early	STAFS
Loop42	complete	20	29	0.645598194	early	STAFS
Loop43	complete	20	30	0.672759304	early	STAFS
Loop44	complete	20	29	0.625931782	early	STAFS
Loop45	complete	20	27	0.65105495	early	STAFS
Loop46	complete	20	29	0.628508772	early	STAFS
Loop47	complete	20	27	0.655554287	early	STAFS
Loop48	complete	20	28	0.643351801	early	STAFS
Loop49	complete	20	29	0.65761889	early	STAFS
Loop5	complete	20	29	0.658826269	early	STAFS
Loop50	complete	20	29	0.654308728	early	STAFS
Loop51	complete	20	22	0.645252306	early	STAFS
Loop52	complete	20	27	0.631818182	early	STAFS
Loop53	complete	20	27	0.62691539	early	STAFS
Loop54	complete	20	29	0.637549757	early	STAFS
Loop55	complete	20	28	0.658010665	early	STAFS
Loop56	complete	20	31	0.651231082	early	STAFS
Loop57	complete	20	26	0.657315094	early	STAFS
Loop58	complete	20	25	0.619734048	early	STAFS
Loop59	complete	20	32	0.623931624	early	STAFS
Loop6	complete	20	32	0.630671506	early	STAFS
Loop60	complete	20	27	0.652282881	early	STAFS
Loop61	complete	20	27	0.656320288	early	STAFS
Loop62	complete	20	29	0.64673855	early	STAFS
Loop63	complete	20	27	0.659793814	early	STAFS
Loop64	complete	20	29	0.667297457	early	STAFS
Loop65	complete	20	28	0.632911392	early	STAFS
Loop66	complete	20	28	0.630552991	early	STAFS
Loop67	complete	20	26	0.636777128	early	STAFS
Loop68	complete	20	30	0.638776428	early	STAFS
Loop69	complete	20	31	0.627539503	early	STAFS
Loop7	complete	20	29	0.636513158	early	STAFS
Loop70	complete	20	28	0.64576659	early	STAFS
Loop71	complete	20	28	0.673773987	early	STAFS
Loop72	complete	20	29	0.675401894	early	STAFS
Loop73	complete	20	28	0.633184268	early	STAFS
Loop74	complete	20	30	0.629945151	early	STAFS
Loop75	complete	20	31	0.645080092	early	STAFS
Loop76	complete	20	32	0.62605042	early	STAFS
Loop77	complete	20	30	0.642039882	early	STAFS
Loop78	complete	20	28	0.631342931	early	STAFS
Loop79	complete	20	31	0.647773279	early	STAFS
Loop8	complete	20	27	0.635880023	early	STAFS
Loop80	complete	20	35	0.661654135	early	STAFS
Loop81	complete	20	29	0.669638973	early	STAFS
Loop82	complete	20	29	0.651444229	early	STAFS
Loop83	complete	20	31	0.651105375	early	STAFS
Loop84	complete	20	28	0.639035088	early	STAFS
Loop85	complete	20	29	0.633651964	early	STAFS
Loop86	complete	20	27	0.644283122	early	STAFS
Loop87	complete	20	26	0.648534087	early	STAFS
Loop88	complete	20	31	0.664854284	early	STAFS
Loop89	complete	20	29	0.63748769	early	STAFS
Loop9	complete	20	32	0.612419206	early	STAFS
Loop90	complete	20	26	0.638092237	early	STAFS
Loop91	complete	20	28	0.651385334	early	STAFS
Loop92	complete	20	29	0.634295416	early	STAFS
Loop93	complete	20	31	0.652079637	early	STAFS
Loop94	complete	20	30	0.607704829	early	STAFS
Loop95	complete	20	27	0.653814311	early	STAFS
Loop96	complete	20	29	0.62621522	early	STAFS
Loop97	complete	20	26	0.646141044	early	STAFS
Loop98	complete	20	28	0.653798676	early	STAFS
Loop99	complete	20	28	0.654945055	early	STAFS
Loop1	complete	20	29	0.644649317	active	ARF
Loop10	complete	20	30	0.623689846	active	ARF
Loop100	complete	20	31	0.638258666	active	ARF
Loop11	complete	20	32	0.639161463	active	ARF
Loop12	complete	20	30	0.647467726	active	ARF
Loop13	complete	20	31	0.649372923	active	ARF
Loop14	complete	20	30	0.63783663	active	ARF
Loop15	complete	20	29	0.655666627	active	ARF
Loop16	complete	20	30	0.652020677	active	ARF
Loop17	complete	20	27	0.635378255	active	ARF
Loop18	complete	20	23	0.646143661	active	ARF
Loop19	complete	20	30	0.627680312	active	ARF
Loop2	complete	20	28	0.650738195	active	ARF
Loop20	complete	20	28	0.647368421	active	ARF
Loop21	complete	20	29	0.654315789	active	ARF
Loop22	complete	20	29	0.650079745	active	ARF
Loop23	complete	20	25	0.659633666	active	ARF
Loop24	complete	20	25	0.641447368	active	ARF
Loop25	complete	20	28	0.624767802	active	ARF
Loop26	complete	20	25	0.658522662	active	ARF
Loop27	complete	20	30	0.637324753	active	ARF
Loop28	complete	20	28	0.619641888	active	ARF
Loop29	complete	20	30	0.651763429	active	ARF
Loop3	complete	20	27	0.669143447	active	ARF
Loop30	complete	20	31	0.655502392	active	ARF
Loop31	complete	20	25	0.65714995	active	ARF
Loop32	complete	20	30	0.621609089	active	ARF
Loop33	complete	20	26	0.653527436	active	ARF
Loop34	complete	20	32	0.65061823	active	ARF
Loop35	complete	20	28	0.666122068	active	ARF
Loop36	complete	20	30	0.630925139	active	ARF
Loop37	complete	20	27	0.664150129	active	ARF
Loop38	complete	20	30	0.645686381	active	ARF
Loop39	complete	20	29	0.631342401	active	ARF
Loop4	complete	20	26	0.631114209	active	ARF
Loop40	complete	20	27	0.637541566	active	ARF
Loop41	complete	20	27	0.649084915	active	ARF
Loop42	complete	20	27	0.636601878	active	ARF
Loop43	complete	20	29	0.636691065	active	ARF
Loop44	complete	20	28	0.629514964	active	ARF
Loop45	complete	20	30	0.649276028	active	ARF
Loop46	complete	20	30	0.645429363	active	ARF
Loop47	complete	20	27	0.652325835	active	ARF
Loop48	complete	20	31	0.66377709	active	ARF
Loop49	complete	20	25	0.655551923	active	ARF
Loop5	complete	20	29	0.633437899	active	ARF
Loop50	complete	20	27	0.642170107	active	ARF
Loop51	complete	20	25	0.653264061	active	ARF
Loop52	complete	20	27	0.646460225	active	ARF
Loop53	complete	20	30	0.650717703	active	ARF
Loop54	complete	20	29	0.641381725	active	ARF
Loop55	complete	20	28	0.65294314	active	ARF
Loop56	complete	20	27	0.626157669	active	ARF
Loop57	complete	20	29	0.654624727	active	ARF
Loop58	complete	20	29	0.660558278	active	ARF
Loop59	complete	20	29	0.640998469	active	ARF
Loop6	complete	20	27	0.667337133	active	ARF
Loop60	complete	20	26	0.659020259	active	ARF
Loop61	complete	20	28	0.627980207	active	ARF
Loop62	complete	20	25	0.631817639	active	ARF
Loop63	complete	20	28	0.648654971	active	ARF
Loop64	complete	20	30	0.632484437	active	ARF
Loop65	complete	20	27	0.628274723	active	ARF
Loop66	complete	20	30	0.650917482	active	ARF
Loop67	complete	20	28	0.668309071	active	ARF
Loop68	complete	20	27	0.648755781	active	ARF
Loop69	complete	20	30	0.626175294	active	ARF
Loop7	complete	20	30	0.644071718	active	ARF
Loop70	complete	20	31	0.647722247	active	ARF
Loop71	complete	20	30	0.647726111	active	ARF
Loop72	complete	20	28	0.659836066	active	ARF
Loop73	complete	20	31	0.6611265	active	ARF
Loop74	complete	20	29	0.655172414	active	ARF
Loop75	complete	20	31	0.624860022	active	ARF
Loop76	complete	20	29	0.66751681	active	ARF
Loop77	complete	20	26	0.653047091	active	ARF
Loop78	complete	20	27	0.674185464	active	ARF
Loop79	complete	20	30	0.648199446	active	ARF
Loop8	complete	20	28	0.632881172	active	ARF
Loop80	complete	20	29	0.659088326	active	ARF
Loop81	complete	20	32	0.653878432	active	ARF
Loop82	complete	20	27	0.654788419	active	ARF
Loop83	complete	20	29	0.637668552	active	ARF
Loop84	complete	20	30	0.647323437	active	ARF
Loop85	complete	20	28	0.627956989	active	ARF
Loop86	complete	20	29	0.686736842	active	ARF
Loop87	complete	20	29	0.6426951	active	ARF
Loop88	complete	20	32	0.646994054	active	ARF
Loop89	complete	20	32	0.657785543	active	ARF
Loop9	complete	20	32	0.648672964	active	ARF
Loop90	complete	20	28	0.644764778	active	ARF
Loop91	complete	20	29	0.671052632	active	ARF
Loop92	complete	20	25	0.691247894	active	ARF
Loop93	complete	20	28	0.607104669	active	ARF
Loop94	complete	20	29	0.634707789	active	ARF
Loop95	complete	20	27	0.666590883	active	ARF
Loop96	complete	20	27	0.660307018	active	ARF
Loop97	complete	20	28	0.6401766	active	ARF
Loop98	complete	20	27	0.661350346	active	ARF
Loop99	complete	20	29	0.66252588	active	ARF
Loop1	complete	20	28	0.623810449	advanced	ARF
Loop10	complete	20	26	0.646552687	advanced	ARF
Loop100	complete	20	31	0.653394049	advanced	ARF
Loop11	complete	20	29	0.614934773	advanced	ARF
Loop12	complete	20	32	0.634881321	advanced	ARF
Loop13	complete	20	29	0.648163077	advanced	ARF
Loop14	complete	20	26	0.63664632	advanced	ARF
Loop15	complete	20	28	0.648625613	advanced	ARF
Loop16	complete	20	30	0.639813063	advanced	ARF
Loop17	complete	20	27	0.64020345	advanced	ARF
Loop18	complete	20	27	0.69111134	advanced	ARF
Loop19	complete	20	24	0.642337306	advanced	ARF
Loop2	complete	20	32	0.622093696	advanced	ARF
Loop20	complete	20	28	0.620782726	advanced	ARF
Loop21	complete	20	30	0.632022161	advanced	ARF
Loop22	complete	20	28	0.6486195	advanced	ARF
Loop23	complete	20	30	0.654257595	advanced	ARF
Loop24	complete	20	29	0.651045422	advanced	ARF
Loop25	complete	20	27	0.631358732	advanced	ARF
Loop26	complete	20	29	0.626709947	advanced	ARF
Loop27	complete	20	27	0.64516872	advanced	ARF
Loop28	complete	20	31	0.642105263	advanced	ARF
Loop29	complete	20	26	0.656630134	advanced	ARF
Loop3	complete	20	30	0.644324799	advanced	ARF
Loop30	complete	20	30	0.648142094	advanced	ARF
Loop31	complete	20	25	0.640094619	advanced	ARF
Loop32	complete	20	24	0.663039622	advanced	ARF
Loop33	complete	20	29	0.643899276	advanced	ARF
Loop34	complete	20	29	0.648919282	advanced	ARF
Loop35	complete	20	28	0.639799064	advanced	ARF
Loop36	complete	20	26	0.644818231	advanced	ARF
Loop37	complete	20	32	0.643584521	advanced	ARF
Loop38	complete	20	27	0.619782214	advanced	ARF
Loop39	complete	20	31	0.636374535	advanced	ARF
Loop4	complete	20	29	0.647293079	advanced	ARF
Loop40	complete	20	25	0.664254872	advanced	ARF
Loop41	complete	20	24	0.642772089	advanced	ARF
Loop42	complete	20	28	0.664819945	advanced	ARF
Loop43	complete	20	31	0.62962561	advanced	ARF
Loop44	complete	20	28	0.614416476	advanced	ARF
Loop45	complete	20	26	0.640017766	advanced	ARF
Loop46	complete	20	31	0.64576659	advanced	ARF
Loop47	complete	20	24	0.665499508	advanced	ARF
Loop48	complete	20	27	0.658052316	advanced	ARF
Loop49	complete	20	29	0.639865622	advanced	ARF
Loop5	complete	20	30	0.658786798	advanced	ARF
Loop50	complete	20	28	0.630495993	advanced	ARF
Loop51	complete	20	26	0.642524453	advanced	ARF
Loop52	complete	20	29	0.655594209	advanced	ARF
Loop53	complete	20	30	0.642058687	advanced	ARF
Loop54	complete	20	29	0.648584652	advanced	ARF
Loop55	complete	20	27	0.647488286	advanced	ARF
Loop56	complete	20	29	0.635201364	advanced	ARF
Loop57	complete	20	27	0.656177285	advanced	ARF
Loop58	complete	20	27	0.649550706	advanced	ARF
Loop59	complete	20	27	0.623621689	advanced	ARF
Loop6	complete	20	25	0.648795903	advanced	ARF
Loop60	complete	20	28	0.658284188	advanced	ARF
Loop61	complete	20	29	0.640842105	advanced	ARF
Loop62	complete	20	30	0.650845865	advanced	ARF
Loop63	complete	20	30	0.654035088	advanced	ARF
Loop64	complete	20	28	0.656281295	advanced	ARF
Loop65	complete	20	24	0.668504975	advanced	ARF
Loop66	complete	20	26	0.644056261	advanced	ARF
Loop67	complete	20	26	n/a	advanced	ARF
Loop68	complete	20	25	0.655800792	advanced	ARF
Loop69	complete	20	36	0.659244265	advanced	ARF
Loop7	complete	20	29	0.641148325	advanced	ARF
Loop70	complete	20	28	0.649085873	advanced	ARF
Loop71	complete	20	25	0.640930839	advanced	ARF
Loop72	complete	20	30	0.633201948	advanced	ARF
Loop73	complete	20	28	0.634668432	advanced	ARF
Loop74	complete	20	28	0.637811634	advanced	ARF
Loop75	complete	20	31	0.666311528	advanced	ARF
Loop76	complete	20	31	0.663761314	advanced	ARF
Loop77	complete	20	29	0.667906773	advanced	ARF
Loop78	complete	20	31	0.618902094	advanced	ARF
Loop79	complete	20	31	0.656384814	advanced	ARF
Loop8	complete	20	28	0.628531239	advanced	ARF
Loop80	complete	20	31	0.644275162	advanced	ARF
Loop81	complete	20	25	0.653739612	advanced	ARF
Loop82	complete	20	27	0.649270234	advanced	ARF
Loop83	complete	20	30	0.618083671	advanced	ARF
Loop84	complete	20	29	0.638187397	advanced	ARF
Loop85	complete	20	31	0.61582099	advanced	ARF
Loop86	complete	20	32	0.630419661	advanced	ARF
Loop87	complete	20	29	0.646866128	advanced	ARF
Loop88	complete	20	26	0.63798627	advanced	ARF
Loop89	complete	20	31	0.62745098	advanced	ARF
Loop9	complete	20	29	0.651287794	advanced	ARF
Loop90	complete	20	28	0.649793498	advanced	ARF
Loop91	complete	20	31	0.619195046	advanced	ARF
Loop92	complete	20	27	0.637756921	advanced	ARF
Loop93	complete	20	28	0.659388646	advanced	ARF
Loop94	complete	20	28	0.623309867	advanced	ARF
Loop95	complete	20	31	0.645542427	advanced	ARF
Loop96	complete	20	31	0.637569534	advanced	ARF
Loop97	complete	20	28	0.660470325	advanced	ARF
Loop98	complete	20	28	0.643117862	advanced	ARF
Loop99	complete	20	25	0.65042519	advanced	ARF
Loop1	complete	20	23	0.671659108	early	ARF
Loop10	complete	20	33	0.651032098	early	ARF
Loop100	complete	20	27	0.640562018	early	ARF
Loop11	complete	20	31	0.637681159	early	ARF
Loop12	complete	20	29	0.640575798	early	ARF
Loop13	complete	20	27	0.645598713	early	ARF
Loop14	complete	20	36	0.639417693	early	ARF
Loop15	complete	20	25	0.643574051	early	ARF
Loop16	complete	20	27	0.648004627	early	ARF
Loop17	complete	20	32	0.655651603	early	ARF
Loop18	complete	20	30	0.634717528	early	ARF
Loop19	complete	20	27	0.645154111	early	ARF
Loop2	complete	20	28	0.660939539	early	ARF
Loop20	complete	20	28	0.624485126	early	ARF
Loop21	complete	20	25	0.649617	early	ARF
Loop22	complete	20	28	0.645040274	early	ARF
Loop23	complete	20	29	0.662684549	early	ARF
Loop24	complete	20	30	0.613242784	early	ARF
Loop25	complete	20	27	0.659169951	early	ARF
Loop26	complete	20	28	0.660180518	early	ARF
Loop27	complete	20	31	0.63625731	early	ARF
Loop28	complete	20	26	0.648755781	early	ARF
Loop29	complete	20	28	0.649951367	early	ARF
Loop3	complete	20	27	0.624140651	early	ARF
Loop30	complete	20	34	0.622396417	early	ARF
Loop31	complete	20	31	0.629265471	early	ARF
Loop32	complete	20	28	0.630692521	early	ARF
Loop33	complete	20	25	0.646450563	early	ARF
Loop34	complete	20	27	0.646001507	early	ARF
Loop35	complete	20	31	0.637614679	early	ARF
Loop36	complete	20	33	0.665100886	early	ARF
Loop37	complete	20	29	0.643070558	early	ARF
Loop38	complete	20	31	0.659257706	early	ARF
Loop39	complete	20	27	0.659825665	early	ARF
Loop4	complete	20	31	0.650112867	early	ARF
Loop40	complete	20	28	0.64385586	early	ARF
Loop41	complete	20	31	0.646817489	early	ARF
Loop42	complete	20	28	0.67113644	early	ARF
Loop43	complete	20	24	0.643248921	early	ARF
Loop44	complete	20	30	0.661465773	early	ARF
Loop45	complete	20	28	0.669856459	early	ARF
Loop46	complete	20	33	0.654776234	early	ARF
Loop47	complete	20	30	0.629695043	early	ARF
Loop48	complete	20	29	0.622954445	early	ARF
Loop49	complete	20	27	0.654564984	early	ARF
Loop5	complete	20	25	0.649656751	early	ARF
Loop50	complete	20	27	0.639952153	early	ARF
Loop51	complete	20	28	0.650779309	early	ARF
Loop52	complete	20	32	0.636363636	early	ARF
Loop53	complete	20	31	0.664083522	early	ARF
Loop54	complete	20	29	0.643511613	early	ARF
Loop55	complete	20	25	0.621731043	early	ARF
Loop56	complete	20	33	0.643373762	early	ARF
Loop57	complete	20	29	0.635534557	early	ARF
Loop58	complete	20	29	0.647232305	early	ARF
Loop59	complete	20	27	0.645190563	early	ARF
Loop6	complete	20	30	0.628108733	early	ARF
Loop60	complete	20	29	0.644087798	early	ARF
Loop61	complete	20	28	0.634228592	early	ARF
Loop62	complete	20	31	0.629787234	early	ARF
Loop63	complete	20	32	0.630699923	early	ARF
Loop64	complete	20	32	0.622176356	early	ARF
Loop65	complete	20	30	0.653380313	early	ARF
Loop66	complete	20	30	0.629715883	early	ARF
Loop67	complete	20	26	0.648736378	early	ARF
Loop68	complete	20	29	0.65540775	early	ARF
Loop69	complete	20	30	0.671441918	early	ARF
Loop7	complete	20	32	0.614222923	early	ARF
Loop70	complete	20	27	0.640792353	early	ARF
Loop71	complete	20	29	0.652806653	early	ARF
Loop72	complete	20	27	0.65354502	early	ARF
Loop73	complete	20	26	0.652860412	early	ARF
Loop74	complete	20	28	0.657781794	early	ARF
Loop75	complete	20	26	0.660245385	early	ARF
Loop76	complete	20	31	0.643507377	early	ARF
Loop77	complete	20	26	0.650757328	early	ARF
Loop78	complete	20	29	0.659927966	early	ARF
Loop79	complete	20	29	0.677563474	early	ARF
Loop8	complete	20	27	0.643615275	early	ARF
Loop80	complete	20	28	0.679405034	early	ARF
Loop81	complete	20	29	0.610526316	early	ARF
Loop82	complete	20	31	0.636155606	early	ARF
Loop83	complete	20	30	0.645628014	early	ARF
Loop84	complete	20	31	0.650046168	early	ARF
Loop85	complete	20	30	0.639226271	early	ARF
Loop86	complete	20	30	0.629376789	early	ARF
Loop87	complete	20	31	0.643034691	early	ARF
Loop88	complete	20	29	0.639834881	early	ARF
Loop89	complete	20	24	0.63757495	early	ARF
Loop9	complete	20	25	0.66619883	early	ARF
Loop90	complete	20	28	0.644594132	early	ARF
Loop91	complete	20	26	0.597188335	early	ARF
Loop92	complete	20	28	0.650823093	early	ARF
Loop93	complete	20	28	0.622883295	early	ARF
Loop94	complete	20	30	0.642900157	early	ARF
Loop95	complete	20	32	0.641205399	early	ARF
Loop96	complete	20	27	0.656880296	early	ARF
Loop97	complete	20	29	0.631578947	early	ARF
Loop98	complete	20	26	0.649045179	early	ARF
Loop99	complete	20	28	0.660608921	early	ARF
