community	medium	size	mip	mro	stage	Facility
Loop31	complete	20	31	0.624831309	advanced	FIRS
Loop32	complete	20	29	0.649159433	advanced	FIRS
Loop33	complete	20	28	0.638042475	advanced	FIRS
Loop34	complete	20	32	0.634243837	advanced	FIRS
Loop35	complete	20	32	0.647124139	advanced	FIRS
Loop36	complete	20	25	0.6540603	advanced	FIRS
Loop37	complete	20	32	0.661803022	advanced	FIRS
Loop38	complete	20	27	0.659314261	advanced	FIRS
Loop39	complete	20	30	0.641209406	advanced	FIRS
Loop4	complete	20	31	0.614108801	advanced	FIRS
Loop40	complete	20	26	0.645744291	advanced	FIRS
Loop41	complete	20	26	0.640331683	advanced	FIRS
Loop42	complete	20	31	0.645670973	advanced	FIRS
Loop43	complete	20	30	0.65230911	advanced	FIRS
Loop44	complete	20	31	0.626891114	advanced	FIRS
Loop45	complete	20	28	0.647472072	advanced	FIRS
Loop46	complete	20	32	0.651911469	advanced	FIRS
Loop47	complete	20	31	0.66083151	advanced	FIRS
Loop48	complete	20	31	0.640260445	advanced	FIRS
Loop49	complete	20	28	0.644002711	advanced	FIRS
Loop5	complete	20	30	0.635167464	advanced	FIRS
Loop50	complete	20	28	0.645851918	advanced	FIRS
Loop51	complete	20	31	0.645972073	advanced	FIRS
Loop52	complete	20	30	0.663264221	advanced	FIRS
Loop53	complete	20	30	0.646141044	advanced	FIRS
Loop54	complete	20	26	0.649011063	advanced	FIRS
Loop55	complete	20	32	0.647032475	advanced	FIRS
Loop56	complete	20	24	0.645702306	advanced	FIRS
Loop57	complete	20	29	0.658593386	advanced	FIRS
Loop58	complete	20	29	0.650717703	advanced	FIRS
Loop59	complete	20	31	0.641843197	advanced	FIRS
Loop6	complete	20	31	0.650624616	advanced	FIRS
Loop60	complete	20	28	0.644928329	advanced	FIRS
Loop61	complete	20	32	0.641360978	advanced	FIRS
Loop62	complete	20	29	0.628330084	advanced	FIRS
Loop63	complete	20	26	0.655594209	advanced	FIRS
Loop64	complete	20	31	0.642729706	advanced	FIRS
Loop65	complete	20	30	0.622936288	advanced	FIRS
Loop66	complete	20	27	0.644013292	advanced	FIRS
Loop67	complete	20	26	0.659363	advanced	FIRS
Loop68	complete	20	28	0.645658733	advanced	FIRS
Loop69	complete	20	30	0.608114035	advanced	FIRS
Loop7	complete	20	30	0.66175285	advanced	FIRS
Loop70	complete	20	26	0.665150531	advanced	FIRS
Loop71	complete	20	29	0.673729291	advanced	FIRS
Loop72	complete	20	33	0.653154626	advanced	FIRS
Loop73	complete	20	29	0.634342969	advanced	FIRS
Loop74	complete	20	30	0.643200358	advanced	FIRS
Loop75	complete	20	28	0.678037041	advanced	FIRS
Loop76	complete	20	24	0.668782142	advanced	FIRS
Loop77	complete	20	26	0.659095872	advanced	FIRS
Loop78	complete	20	32	0.636785512	advanced	FIRS
Loop79	complete	20	25	0.646648199	advanced	FIRS
Loop8	complete	20	30	0.625451362	advanced	FIRS
Loop80	complete	20	29	0.64563047	advanced	FIRS
Loop81	complete	20	32	0.64424738	advanced	FIRS
Loop82	complete	20	26	0.642238508	advanced	FIRS
Loop83	complete	20	31	0.642791762	advanced	FIRS
Loop84	complete	20	31	0.654577621	advanced	FIRS
Loop85	complete	20	29	0.646364339	advanced	FIRS
Loop86	complete	20	29	0.679289688	advanced	FIRS
Loop87	complete	20	30	0.647040136	advanced	FIRS
Loop88	complete	20	30	0.656564488	advanced	FIRS
Loop89	complete	20	29	0.62827571	advanced	FIRS
Loop9	complete	20	29	0.661317929	advanced	FIRS
Loop90	complete	20	26	0.632500288	advanced	FIRS
Loop91	complete	20	28	0.641412448	advanced	FIRS
Loop92	complete	20	28	0.642610894	advanced	FIRS
Loop93	complete	20	30	0.648394846	advanced	FIRS
Loop94	complete	20	28	0.662591964	advanced	FIRS
Loop95	complete	20	30	0.649233146	advanced	FIRS
Loop96	complete	20	32	0.646680942	advanced	FIRS
Loop97	complete	20	30	0.644517544	advanced	FIRS
Loop98	complete	20	27	0.653764456	advanced	FIRS
Loop99	complete	20	29	0.651829976	advanced	FIRS
Loop1	complete	20	30	0.664208291	early	FIRS
Loop10	complete	20	30	0.628343399	early	FIRS
Loop100	complete	20	30	0.639981328	early	FIRS
Loop11	complete	20	26	0.664518439	early	FIRS
